core_local_id,state,weight,right_Mw_ratio,left_wM_ratio,right_pass,left_pass
144,d5:r146:podd:b0,5.581000000000000023e-03,6.315254173675971527e-01,1.029582817727073607e+00,no,yes
145,d5:r146:peven:b1,3.099999999999999891e-03,1.136949469138245128e+00,1.029767330776845347e+00,yes,yes
146,d5:r146:peven:b2,3.664000000000000156e-03,9.619386884084496492e-01,1.029601686515084991e+00,no,yes
147,d5:r149:podd:b0,5.581000000000000023e-03,2.006213084228249954e-01,1.029582817727073607e+00,no,yes
148,d5:r149:peven:b1,3.099999999999999891e-03,3.611830717121891077e-01,1.029767330776845347e+00,no,yes
149,d5:r149:peven:b2,3.664000000000000156e-03,3.055861141669722336e-01,1.029601686515084991e+00,no,yes
150,d5:r152:podd:b0,5.581000000000000023e-03,1.597000823789725965e+00,1.029582817727073607e+00,yes,yes
151,d5:r152:peven:b1,3.099999999999999891e-03,2.875116644377567532e+00,1.029767330776845347e+00,yes,yes
152,d5:r152:peven:b2,3.664000000000000156e-03,2.432549562655692998e+00,1.029601686515084991e+00,yes,yes
153,d5:r155:podd:b0,5.581000000000000023e-03,6.315254173675971527e-01,1.029582817727073607e+00,no,yes
154,d5:r155:peven:b1,3.099999999999999891e-03,1.136949469138245128e+00,1.029767330776845347e+00,yes,yes
155,d5:r155:peven:b2,3.664000000000000156e-03,9.619386884084496492e-01,1.029601686515084991e+00,no,yes
156,d5:r158:podd:b0,5.581000000000000023e-03,2.006213084228249954e-01,1.029582817727073607e+00,no,yes
157,d5:r158:peven:b1,3.099999999999999891e-03,3.611830717121891077e-01,1.029767330776845347e+00,no,yes
158,d5:r158:peven:b2,3.664000000000000156e-03,3.055861141669722336e-01,1.029601686515084991e+00,no,yes
159,d5:r161:podd:b0,5.581000000000000023e-03,1.597000823789725965e+00,1.029582817727073607e+00,yes,yes
160,d5:r161:peven:b1,3.099999999999999891e-03,2.875116644377567532e+00,1.029767330776845347e+00,yes,yes
161,d5:r161:peven:b2,3.664000000000000156e-03,2.432549562655692998e+00,1.029601686515084991e+00,yes,yes
162,d5:r164:podd:b0,5.581000000000000023e-03,6.315254173675971527e-01,1.029582817727073607e+00,no,yes
163,d5:r164:peven:b1,3.099999999999999891e-03,1.136949469138245128e+00,1.029767330776845347e+00,yes,yes
164,d5:r164:peven:b2,3.664000000000000156e-03,9.619386884084496492e-01,1.029601686515084991e+00,no,yes
165,d5:r167:podd:b0,5.581000000000000023e-03,2.006213084228249954e-01,1.029582817727073607e+00,no,yes
166,d5:r167:peven:b1,3.099999999999999891e-03,3.611830717121891077e-01,1.029767330776845347e+00,no,yes
167,d5:r167:peven:b2,3.664000000000000156e-03,3.055861141669722336e-01,1.029601686515084991e+00,no,yes
168,d5:r170:podd:b0,5.581000000000000023e-03,1.597000823789725965e+00,1.029582817727073607e+00,yes,yes
169,d5:r170:peven:b1,3.099999999999999891e-03,2.875116644377567532e+00,1.029767330776845347e+00,yes,yes
170,d5:r170:peven:b2,3.664000000000000156e-03,2.432549562655692998e+00,1.029601686515084991e+00,yes,yes
171,d5:r173:podd:b0,5.581000000000000023e-03,6.315254173675971527e-01,1.029582817727073607e+00,no,yes
172,d5:r173:peven:b1,3.099999999999999891e-03,1.136949469138245128e+00,1.029767330776845347e+00,yes,yes
173,d5:r173:peven:b2,3.664000000000000156e-03,9.619386884084496492e-01,1.029601686515084991e+00,no,yes
174,d5:r176:podd:b0,5.581000000000000023e-03,2.006213084228249954e-01,1.029582817727073607e+00,no,yes
175,d5:r176:peven:b1,3.099999999999999891e-03,3.611830717121891077e-01,1.029767330776845347e+00,no,yes
176,d5:r176:peven:b2,3.664000000000000156e-03,3.055861141669722336e-01,1.029601686515084991e+00,no,yes
177,d5:r179:podd:b0,5.581000000000000023e-03,1.597000823789725965e+00,1.029582817727073607e+00,yes,yes
178,d5:r179:peven:b1,3.099999999999999891e-03,2.875116644377567532e+00,1.029767330776845347e+00,yes,yes
179,d5:r179:peven:b2,3.664000000000000156e-03,2.432549562655692998e+00,1.029601686515084991e+00,yes,yes
180,d5:r182:podd:b0,5.581000000000000023e-03,6.315254173675971527e-01,1.029582817727073607e+00,no,yes
181,d5:r182:peven:b1,3.099999999999999891e-03,1.136949469138245128e+00,1.029767330776845347e+00,yes,yes
182,d5:r182:peven:b2,3.664000000000000156e-03,9.619386884084496492e-01,1.029601686515084991e+00,no,yes
183,d5:r185:podd:b0,5.581000000000000023e-03,2.006213084228249954e-01,1.029582817727073607e+00,no,yes
184,d5:r185:peven:b1,3.099999999999999891e-03,3.611830717121891077e-01,1.029767330776845347e+00,no,yes
185,d5:r185:peven:b2,3.664000000000000156e-03,3.055861141669722336e-01,1.029601686515084991e+00,no,yes
186,d5:r188:podd:b0,5.581000000000000023e-03,1.597000823789725965e+00,1.029582817727073607e+00,yes,yes
187,d5:r188:peven:b1,3.099999999999999891e-03,2.875116644377567532e+00,1.029767330776845347e+00,yes,yes
188,d5:r188:peven:b2,3.664000000000000156e-03,2.432549562655692998e+00,1.029601686515084991e+00,yes,yes
189,d5:r191:podd:b0,5.581000000000000023e-03,6.315254173675971527e-01,1.029582817727073607e+00,no,yes
190,d5:r191:peven:b1,3.099999999999999891e-03,1.136949469138244906e+00,1.029767330776845347e+00,yes,yes
191,d5:r191:peven:b2,3.664000000000000156e-03,9.619386884084495382e-01,1.029601686515084991e+00,no,yes
192,d5:r194:podd:b0,5.581000000000000023e-03,2.006213084228249954e-01,1.029582817727073607e+00,no,yes
193,d5:r194:peven:b1,3.099999999999999891e-03,3.611830717121891077e-01,1.029767330776845347e+00,no,yes
194,d5:r194:peven:b2,3.664000000000000156e-03,3.055861141669722336e-01,1.029601686515084991e+00,no,yes
195,d5:r197:podd:b0,5.581000000000000023e-03,1.597000823789725965e+00,1.029582817727073607e+00,yes,yes
196,d5:r197:peven:b1,3.099999999999999891e-03,2.875116644377567532e+00,1.029767330776845347e+00,yes,yes
197,d5:r197:peven:b2,3.664000000000000156e-03,2.432549562655692998e+00,1.029601686515084991e+00,yes,yes
198,d5:r200:podd:b0,5.581000000000000023e-03,6.315254173675971527e-01,1.029582817727073607e+00,no,yes
199,d5:r200:peven:b1,3.099999999999999891e-03,1.136949469138244906e+00,1.029767330776845347e+00,yes,yes
200,d5:r200:peven:b2,3.664000000000000156e-03,9.619386884084495382e-01,1.029601686515084991e+00,no,yes
201,d5:r203:podd:b0,5.581000000000000023e-03,2.006213084228249954e-01,1.029582817727073607e+00,no,yes
202,d5:r203:peven:b1,3.099999999999999891e-03,3.611830717121891077e-01,1.029767330776845347e+00,no,yes
203,d5:r203:peven:b2,3.664000000000000156e-03,3.055861141669722336e-01,1.029601686515084991e+00,no,yes
204,d5:r206:podd:b0,5.581000000000000023e-03,1.597000823789725965e+00,1.029582817727073607e+00,yes,yes
205,d5:r206:peven:b1,3.099999999999999891e-03,2.875116644377567532e+00,1.029767330776845347e+00,yes,yes
206,d5:r206:peven:b2,3.664000000000000156e-03,2.432549562655692998e+00,1.029601686515084991e+00,yes,yes
207,d5:r209:podd:b0,5.581000000000000023e-03,6.315254173675971527e-01,1.029582817727073607e+00,no,yes
208,d5:r209:peven:b1,3.099999999999999891e-03,1.136949469138244906e+00,1.029767330776845347e+00,yes,yes
209,d5:r209:peven:b2,3.664000000000000156e-03,9.619386884084495382e-01,1.029601686515084991e+00,no,yes
210,d5:r212:podd:b0,5.581000000000000023e-03,2.006213084228249954e-01,1.029582817727073607e+00,no,yes
211,d5:r212:peven:b1,3.099999999999999891e-03,3.611830717121891077e-01,1.029767330776845347e+00,no,yes
212,d5:r212:peven:b2,3.664000000000000156e-03,3.055861141669722336e-01,1.029601686515084991e+00,no,yes
213,d5:r215:podd:b0,5.581000000000000023e-03,1.597000823789725965e+00,1.029582817727073607e+00,yes,yes
214,d5:r215:peven:b1,3.099999999999999891e-03,2.875116644377567532e+00,1.029767330776845347e+00,yes,yes
215,d5:r215:peven:b2,3.664000000000000156e-03,2.432549562655692998e+00,1.029601686515084991e+00,yes,yes
216,d5:r218:podd:b0,5.581000000000000023e-03,6.315254173675971527e-01,1.029582817727073607e+00,no,yes
217,d5:r218:peven:b1,3.099999999999999891e-03,1.136949469138245128e+00,1.029767330776845347e+00,yes,yes
218,d5:r218:peven:b2,3.664000000000000156e-03,9.619386884084496492e-01,1.029601686515084991e+00,no,yes
219,d5:r221:podd:b0,5.581000000000000023e-03,2.006213084228249954e-01,1.029582817727073607e+00,no,yes
220,d5:r221:peven:b1,3.099999999999999891e-03,3.611830717121891077e-01,1.029767330776845347e+00,no,yes
221,d5:r221:peven:b2,3.664000000000000156e-03,3.055861141669722336e-01,1.029601686515084991e+00,no,yes
222,d5:r224:podd:b0,5.581000000000000023e-03,1.597000823789725965e+00,1.029582817727073607e+00,yes,yes
223,d5:r224:peven:b1,3.099999999999999891e-03,2.875116644377567532e+00,1.029767330776845347e+00,yes,yes
224,d5:r224:peven:b2,3.664000000000000156e-03,2.432549562655692998e+00,1.029601686515084991e+00,yes,yes
225,d5:r227:podd:b0,5.581000000000000023e-03,6.315254173675971527e-01,1.029582817727073607e+00,no,yes
226,d5:r227:peven:b1,3.099999999999999891e-03,1.136949469138245128e+00,1.029767330776845347e+00,yes,yes
227,d5:r227:peven:b2,3.664000000000000156e-03,9.619386884084496492e-01,1.029601686515084991e+00,no,yes
228,d5:r230:podd:b0,5.581000000000000023e-03,2.006213084228249954e-01,1.029582817727073607e+00,no,yes
229,d5:r230:peven:b1,3.099999999999999891e-03,3.611830717121891077e-01,1.029767330776845347e+00,no,yes
230,d5:r230:peven:b2,3.664000000000000156e-03,3.055861141669722336e-01,1.029601686515084991e+00,no,yes
231,d5:r233:podd:b0,5.581000000000000023e-03,1.597000823789725965e+00,1.029582817727073607e+00,yes,yes
232,d5:r233:peven:b1,3.099999999999999891e-03,2.875116644377567532e+00,1.029767330776845347e+00,yes,yes
233,d5:r233:peven:b2,3.664000000000000156e-03,2.432549562655692998e+00,1.029601686515084991e+00,yes,yes
234,d5:r236:podd:b0,5.581000000000000023e-03,6.315254173675971527e-01,1.029582817727073607e+00,no,yes
235,d5:r236:peven:b1,3.099999999999999891e-03,1.136949469138245128e+00,1.029767330776845347e+00,yes,yes
236,d5:r236:peven:b2,3.664000000000000156e-03,9.619386884084496492e-01,1.029601686515084991e+00,no,yes
237,d5:r239:podd:b0,5.581000000000000023e-03,2.006213084228249954e-01,1.029582817727073607e+00,no,yes
238,d5:r239:peven:b1,3.099999999999999891e-03,3.611830717121891077e-01,1.029767330776845347e+00,no,yes
239,d5:r239:peven:b2,3.664000000000000156e-03,3.055861141669722336e-01,1.029601686515084991e+00,no,yes
240,d5:r242:podd:b0,5.581000000000000023e-03,1.597000823789725965e+00,1.029582817727073607e+00,yes,yes
241,d5:r242:peven:b1,3.099999999999999891e-03,2.875116644377567532e+00,1.029767330776845347e+00,yes,yes
242,d5:r242:peven:b2,3.664000000000000156e-03,2.432549562655692998e+00,1.029601686515084991e+00,yes,yes
