phase,K,a,y,x,c,x_phase_a,source_type,retarded_type,advanced_route,advanced_type_or_tail,target_count,retarded_visible_count,advanced_full_count,advanced_phase_a_count,advanced_visible_phase_a_count,advanced_tail_phase_a_count,atom_tail_count,phase_loss_tail_count,visible_total,q_total,capture_fraction,tail_fraction,partition_pass,disjoint_pass,phase_subset_pass,route_pass,denominator_pass,all_hooks_pass
calibration,5,65,8,16640,43,11008,d5:r65:podd:b0,d5:r17:peven:b2,Q_K:T0,Q_K:T0,1017,410,605,436,0,436,2,169,410,607,0.403146509341,0.596853490659,yes,yes,yes,yes,yes,yes
calibration,5,65,9,33280,43,22016,d5:r65:podd:b0,d5:r17:peven:b2,Q_K:T0,Q_K:T0,2589,1278,1309,814,0,814,2,495,1278,1311,0.493626882966,0.506373117034,yes,yes,yes,yes,yes,yes
calibration,5,65,10,66560,43,44032,d5:r65:podd:b0,d5:r17:peven:b2,Q_K:T0,Q_K:T0,5192,2711,2479,1738,0,1738,2,741,2711,2481,0.522149460709,0.477850539291,yes,yes,yes,yes,yes,yes
calibration,5,68,8,17408,45,11520,d5:r68:peven:b2,d5:r29:peven:b2,Q_K:T0,Q_K:T0,221,210,9,9,0,9,2,0,210,11,0.950226244344,0.049773755656,yes,yes,yes,yes,yes,yes
calibration,5,68,9,34816,45,23040,d5:r68:peven:b2,d5:r29:peven:b2,Q_K:T0,Q_K:T0,391,379,10,10,0,10,2,0,379,12,0.969309462916,0.030690537084,yes,yes,yes,yes,yes,yes
calibration,5,68,10,69632,45,46080,d5:r68:peven:b2,d5:r29:peven:b2,Q_K:T0,Q_K:T0,759,746,11,11,0,11,2,0,746,13,0.982872200264,0.017127799736,yes,yes,yes,yes,yes,yes
calibration,5,71,8,18176,47,12032,d5:r71:podd:b0,d5:r41:peven:b2,visible,d4:r47:podd:b0,2248,127,2119,1410,1410,0,2,709,1537,711,0.683718861210,0.316281138790,yes,yes,yes,yes,yes,yes
calibration,5,71,9,36352,47,24064,d5:r71:podd:b0,d5:r41:peven:b2,visible,d4:r47:podd:b0,4400,227,4171,2849,2849,0,2,1322,3076,1324,0.699090909091,0.300909090909,yes,yes,yes,yes,yes,yes
calibration,5,71,10,72704,47,48128,d5:r71:podd:b0,d5:r41:peven:b2,visible,d4:r47:podd:b0,8809,408,8399,5549,5549,0,2,2850,5957,2852,0.676240208877,0.323759791123,yes,yes,yes,yes,yes,yes
calibration,5,74,8,18944,49,12544,d5:r74:peven:b1,d5:r53:peven:b2,Q_K:T0,Q_K:T0,1599,373,1224,841,0,841,2,383,373,1226,0.233270794246,0.766729205754,yes,yes,yes,yes,yes,yes
