mode,value,lift_indices,lift_slacks
329,18321227/5000000,109;19792;39475,1526209/100000000;11766291/50000000;0
332,98741103/20000000,110;19793;39476,8784647/100000000;0;62041363/100000000
335,392540357/100000000,111;19794;39477,1697041/20000000;37386197/100000000;0
338,267076437/100000000,112;19795;39478,0;6167689/100000000;16500767/100000000
341,864241079/100000000,113;19796;39479,50015061/100000000;0;20492489/50000000
344,119407989/10000000,114;19797;39480,93717839/100000000;8181651/5000000;0
347,61618593/50000000,115;19798;39481,2644693/100000000;0;3225987/100000000
350,2802410819/100000000,116;19799;39482,172409733/20000000;235826877/100000000;0
353,242235009/50000000,117;19800;39483,0;2234531/100000000;36016689/50000000
356,287419107/100000000,118;19801;39484,1074371/20000000;0;594183/20000000
359,16706471/5000000,119;19802;39485,1895887/5000000;0;35038573/100000000
362,253394433/50000000,120;19803;39486,0;526437/1562500;24720761/100000000
365,145552949/50000000,121;19804;39487,36286639/100000000;0;15430597/100000000
368,837534361/100000000,122;19805;39488,0;994067/6250000;57858651/100000000
371,439428719/50000000,123;19806;39489,4294767/100000000;1448081/25000000;0
374,32863973/20000000,124;19807;39490,0;618669/4000000;6113667/25000000
377,312772347/20000000,125;19808;39491,4680231/2500000;25135643/5000000;0
380,4943188/390625,126;19809;39492,0;20462641/10000000;45368021/20000000
383,6404781/3125000,127;19810;39493,5148467/25000000;32631563/100000000;0
386,540797081/100000000,128;19811;39494,6041671/25000000;0;49512627/100000000
389,402364669/100000000,129;19812;39495,10013071/20000000;4347649/50000000;0
392,129772293/100000000,130;19813;39496,0;4506727/100000000;1937971/20000000
395,1271896129/50000000,131;19814;39497,69634551/12500000;103492827/100000000;0
398,153408489/20000000,132;19815;39498,12208311/50000000;102206121/100000000;0
401,128302527/100000000,133;19816;39499,0;7137153/50000000;11314229/50000000
404,1215084031/100000000,134;19817;39500,238588419/100000000;0;2993513/6250000
407,210920401/20000000,135;19818;39501,0;75836041/100000000;12780073/100000000
410,609336601/50000000,136;19819;39502,0;54630867/12500000;10289297/5000000
413,205794253/50000000,137;19820;39503,0;1063521/5000000;4897149/12500000
416,574355117/100000000,138;19821;39504,144529/20000000;15145639/100000000;0
419,57792321/25000000,139;19822;39505,9582699/50000000;0;204151/2500000
422,801955601/100000000,140;19823;39506,45246587/100000000;0;10006769/25000000
425,880965059/50000000,141;19824;39507,33700433/10000000;11641587/6250000;0
428,82189917/50000000,142;19825;39508,12013911/100000000;42739/500000;0
431,892972087/100000000,143;19826;39509,8226041/12500000;0;18301841/20000000
434,204514299/50000000,144;19827;39510,0;18657429/100000000;2891489/12500000
437,120102821/50000000,145;19828;39511,724811/5000000;13408701/100000000;0
440,9276999/2500000,146;19829;39512,6675819/100000000;3922141/12500000;0
443,255643659/50000000,147;19830;39513,14642469/100000000;67705749/100000000;0
446,144083377/100000000,148;19831;39514,22761053/100000000;0;10198033/50000000
