mode,value,lift_indices,lift_slacks
8039,956729773/100000000,2679;22362;42045,0;5099589/20000000;124162533/100000000
8042,104313527/50000000,2680;22363;42046,0;410711/12500000;14506291/50000000
8045,109594049/12500000,2681;22364;42047,10694737/25000000;0;55862877/50000000
8048,899108727/100000000,2682;22365;42048,7676119/5000000;65916933/25000000;0
8051,178204441/100000000,2683;22366;42049,21588669/100000000;2559547/25000000;0
8054,10801667/3125000,2684;22367;42050,0;108639/2000000;3085003/10000000
8057,540647097/100000000,2685;22368;42051,17080059/100000000;0;12895739/50000000
8060,7887759/4000000,2686;22369;42052,0;505813/100000000;3397739/100000000
8063,439520201/50000000,2687;22370;42053,0;2567387/12500000;3759131/100000000
8066,35870899/5000000,2688;22371;42054,3286571/25000000;47756667/100000000;0
8069,75255253/50000000,2689;22372;42055,0;7312067/100000000;15451369/100000000
8072,375772237/100000000,2690;22373;42056,6678163/100000000;21783047/100000000;0
8075,327001069/50000000,2691;22374;42057,18385013/50000000;0;30353117/100000000
8078,46167433/12500000,2692;22375;42058,0;33007527/100000000;1744629/6250000
8081,117430013/25000000,2693;22376;42059,1864583/6250000;12691267/100000000;0
8084,10934561/2500000,2694;22377;42060,0;19848327/100000000;19895843/100000000
8087,12327937/10000000,2695;22378;42061,5280363/100000000;0;6283251/100000000
8090,992932067/100000000,2696;22379;42062,0;17593167/20000000;137023441/100000000
8093,588388541/100000000,2697;22380;42063,0;71058989/100000000;22347093/50000000
8096,189302581/100000000,2698;22381;42064,0;52963/781250;1090699/12500000
8099,172552521/25000000,2699;22382;42065,0;44706859/50000000;9139517/25000000
8102,18417357/3125000,2700;22383;42066,0;8207749/100000000;9513567/25000000
8105,75773767/25000000,2701;22384;42067,0;21768513/100000000;22696501/100000000
8108,37107769/4000000,2702;22385;42068,13731913/20000000;87632233/100000000;0
8111,253084131/50000000,2703;22386;42069,0;4670427/12500000;21275621/50000000
8114,380788293/100000000,2704;22387;42070,2017757/20000000;2825011/20000000;0
8117,410886227/50000000,2705;22388;42071,0;8953851/20000000;885597/100000000
8120,189386719/25000000,2706;22389;42072,0;45325663/50000000;79306701/100000000
8123,162345617/100000000,2707;22390;42073,1312427/25000000;0;41039/100000000
8126,1995584447/100000000,2708;22391;42074,233232427/100000000;0;18908283/4000000
8129,469668097/100000000,2709;22392;42075,189023/800000;0;26207447/50000000
8132,259554109/100000000,2710;22393;42076,6356503/50000000;0;16830799/50000000
8135,6765249/2000000,2711;22394;42077,2372073/50000000;0;20495249/100000000
8138,404764281/100000000,2712;22395;42078,0;40196299/100000000;2795769/12500000
8141,60052533/25000000,2713;22396;42079,1460757/25000000;18514703/100000000;0
8144,749444533/100000000,2714;22397;42080,27278499/100000000;0;1291113/6250000
8147,593112907/100000000,2715;22398;42081,20246087/50000000;18559037/100000000;0
8150,251216243/50000000,2716;22399;42082,17791921/50000000;38113363/100000000;0
8153,390476039/50000000,2717;22400;42083,0;15448077/25000000;80396553/100000000
8156,1666003757/100000000,2718;22401;42084,24955821/12500000;34724537/100000000;0
8159,197079783/100000000,2719;22402;42085,0;9068341/50000000;172021/5000000
8162,413441647/100000000,2720;22403;42086,810479/12500000;49378761/100000000;0
8165,28563061/6250000,2721;22404;42087,0;8969177/100000000;5395501/20000000
8168,187267661/100000000,2722;22405;42088,0;14448459/50000000;24389533/100000000
8171,179937579/10000000,2723;22406;42089,7075101/50000000;0;19980651/25000000
8174,539057341/50000000,2724;22407;42090,0;13241593/25000000;117228441/100000000
8177,122883471/100000000,2725;22408;42091,10117/20000000;0;2972327/100000000
8180,2847554631/100000000,2726;22409;42092,24362079/4000000;90133361/100000000;0
8183,792968263/100000000,2727;22410;42093,18941389/100000000;0;11961287/25000000
8186,759591997/100000000,2728;22411;42094,126487189/100000000;0;669241/3125000
8189,55140951/6250000,2729;22412;42095,52381679/100000000;0;55884041/20000000
8192,475326139/100000000,2730;22413;42096,5468093/50000000;21142373/100000000;0
8195,76236197/25000000,2731;22414;42097,2044717/25000000;60071683/100000000;0
8198,783607881/100000000,2732;22415;42098,43239651/100000000;0;19328857/100000000
8201,3510064883/100000000,2733;22416;42099,702331593/100000000;41217133/25000000;0
8204,127260959/100000000,2734;22417;42100,0;3429333/100000000;4621789/50000000
8207,847662623/50000000,2735;22418;42101,0;253128241/100000000;100351991/100000000
8210,473376351/100000000,2736;22419;42102,10228067/20000000;7553697/50000000;0
8213,60482683/25000000,2737;22420;42103,0;3897769/20000000;4035143/25000000
8216,83064181/25000000,2738;22421;42104,48086487/100000000;0;1884521/20000000
8219,459536147/100000000,2739;22422;42105,0;20235017/50000000;8081049/100000000
8222,84635953/50000000,2740;22423;42106,4861891/100000000;2994059/100000000;0
8225,1372758781/100000000,2741;22424;42107,0;93581833/50000000;8465739/25000000
8228,699127971/100000000,2742;22425;42108,2216151/12500000;91699527/100000000;0
8231,144241543/100000000,2743;22426;42109,1634627/100000000;0;1463963/25000000
8234,120638299/20000000,2744;22427;42110,25135069/100000000;0;5115069/25000000
8237,91514947/12500000,2745;22428;42111,96057749/100000000;87231373/100000000;0
8240,504864689/100000000,2746;22429;42112,0;34707487/100000000;617033/6250000
8243,437632257/100000000,2747;22430;42113,0;32592499/100000000;15473241/50000000
8246,536440017/100000000,2748;22431;42114,11636643/100000000;0;32122033/100000000
8249,35690111/25000000,2749;22432;42115,6414293/100000000;1160649/5000000;0
8252,1216864663/100000000,2750;22433;42116,0;33332119/100000000;149420769/100000000
8255,9811513/781250,2751;22434;42117,0;5835201/20000000;120939761/100000000
8258,51501561/25000000,2752;22435;42118,30140793/100000000;0;1816691/20000000
8261,954485791/50000000,2753;22436;42119,95286457/100000000;0;12895893/12500000
8264,32030239/5000000,2754;22437;42120,0;135531/10000000;34848423/100000000
8267,121365043/20000000,2755;22438;42121,42722961/100000000;2693399/100000000;0
8270,983402/78125,2756;22439;42122,18543/62500;95751497/50000000;0
8273,119724641/25000000,2757;22440;42123,0;259889/800000;24082689/100000000
8276,25139989/10000000,2758;22441;42124,397997/5000000;2556947/20000000;0
8279,195427077/20000000,2759;22442;42125,247672531/100000000;0;42452863/25000000
8282,1588065513/100000000,2760;22443;42126,7325009/20000000;2050213/5000000;0
8285,140542193/100000000,2761;22444;42127,22580983/100000000;0;8204671/100000000
8288,309243277/25000000,2762;22445;42128,0;4777831/20000000;22489489/10000000
8291,393577537/100000000,2763;22446;42129,7279159/100000000;9684047/50000000;0
8294,30453437/12500000,2764;22447;42130,795399/20000000;0;10722251/50000000
8297,32216371/12500000,2765;22448;42131,2741773/25000000;0;673263/5000000
8300,507559037/50000000,2766;22449;42132,111548123/50000000;0;48073519/50000000
8303,40946991/12500000,2767;22450;42133,38383971/50000000;0;4352967/50000000
8306,702958951/100000000,2768;22451;42134,0;11543529/50000000;19040347/50000000
8309,130911351/20000000,2769;22452;42135,0;13938167/50000000;16405481/100000000
8312,46970201/25000000,2770;22453;42136,28445961/100000000;4212039/50000000;0
8315,129517127/25000000,2771;22454;42137,4992149/20000000;4673597/20000000;0
8318,275044543/25000000,2772;22455;42138,4466559/100000000;0;12607383/50000000
8321,133844277/25000000,2773;22456;42139,37159277/100000000;2792727/6250000;0
8324,28795447/10000000,2774;22457;42140,0;21197021/100000000;677791/20000000
8327,185260537/25000000,2775;22458;42141,3571379/25000000;9031863/50000000;0
8330,26179639/20000000,2776;22459;42142,3753309/25000000;10283279/100000000;0
8333,109767129/10000000,2777;22460;42143,8759829/12500000;0;6363119/20000000
8336,128929129/20000000,2778;22461;42144,42332111/100000000;0;9021557/12500000
8339,15900763/10000000,2779;22462;42145,5641947/50000000;0;2955221/50000000
8342,456486013/50000000,2780;22463;42146,92778917/100000000;0;97023009/100000000
8345,28380999/6250000,2781;22464;42147,15902567/50000000;879937/4000000;0
8348,162475693/50000000,2782;22465;42148,8131347/100000000;0;6557367/20000000
8351,371722077/100000000,2783;22466;42149,0;1094001/12500000;43825731/100000000
8354,259199363/50000000,2784;22467;42150,0;1947949/20000000;73638813/100000000
8357,515443/156250,2785;22468;42151,64728937/100000000;0;50682077/100000000
8360,787829621/100000000,2786;22469;42152,0;4364161/25000000;7828649/6250000
8363,1286658351/100000000,2787;22470;42153,49637889/50000000;0;74969797/25000000
8366,174848511/100000000,2788;22471;42154,1350111/100000000;0;2564047/100000000
8369,128429339/10000000,2789;22472;42155,19925113/50000000;115925671/100000000;0
8372,41944589/6250000,2790;22473;42156,0;53525203/100000000;5179209/10000000
8375,187779523/50000000,2791;22474;42157,874173/2500000;36846019/50000000;0
8378,153477953/50000000,2792;22475;42158,0;19391621/100000000;7575909/50000000
8381,1192492923/100000000,2793;22476;42159,294855239/100000000;1666433/4000000;0
8384,31480883/12500000,2794;22477;42160,6735107/50000000;19393769/50000000;0
8387,899201651/100000000,2795;22478;42161,101613947/100000000;0;46134399/100000000
8390,183068773/20000000,2796;22479;42162,0;29961779/100000000;10403517/20000000
8393,186735447/100000000,2797;22480;42163,3614589/20000000;0;17996089/100000000
8396,191294923/25000000,2798;22481;42164,67527/2500000;0;89809559/100000000
8399,1156187623/100000000,2799;22482;42165,71327321/100000000;2855603/50000000;0
8402,190088287/100000000,2800;22483;42166,0;2882779/25000000;10782447/100000000
8405,460463397/100000000,2801;22484;42167,356933/781250;0;346813/20000000
8408,184071783/50000000,2802;22485;42168,0;23203173/100000000;26433009/50000000
8411,123693319/100000000,2803;22486;42169,185827/25000000;0;5270273/100000000
8414,1024296827/50000000,2804;22487;42170,0;423280653/100000000;62204201/50000000
8417,332887083/50000000,2805;22488;42171,0;2589413/25000000;154977/100000000
8420,108132267/100000000,2806;22489;42172,427731/10000000;116913/5000000;0
8423,122341661/6250000,2807;22490;42173,59571113/100000000;31854349/6250000;0
8426,611957801/100000000,2808;22491;42174,0;32757041/100000000;8318901/100000000
8429,775253041/100000000,2809;22492;42175,248955049/100000000;0;1305243/2000000
8432,1196687/250000,2810;22493;42176,1915261/100000000;11519867/50000000;0
8435,57243139/12500000,2811;22494;42177,19986401/50000000;0;40600743/100000000
8438,124755779/50000000,2812;22495;42178,2981319/20000000;392539/2000000;0
8441,66470689/6250000,2813;22496;42179,29605403/100000000;18102697/100000000;0
8444,87744609/6250000,2814;22497;42180,993203/25000000;0;34203579/100000000
8447,165394707/100000000,2815;22498;42181,2569839/100000000;7413283/50000000;0
8450,45019009/5000000,2816;22499;42182,10649653/10000000;0;40872763/25000000
8453,106357619/25000000,2817;22500;42183,11727657/100000000;0;15023003/100000000
8456,51421291/25000000,2818;22501;42184,2276059/50000000;0;12641129/50000000
8459,168176819/50000000,2819;22502;42185,0;21716991/50000000;11261717/100000000
8462,510941511/100000000,2820;22503;42186,0;12154423/50000000;73850951/100000000
8465,38968617/20000000,2821;22504;42187,2723261/10000000;8898431/50000000;0
8468,1235050787/100000000,2822;22505;42188,14313871/25000000;0;38880427/100000000
8471,666035091/50000000,2823;22506;42189,0;26603103/50000000;106714923/50000000
8474,206937959/100000000,2824;22507;42190,4671921/100000000;0;414967/10000000
8477,687918787/100000000,2825;22508;42191,45336321/100000000;0;10081257/6250000
8480,359574967/50000000,2826;22509;42192,0;521793/625000;11139779/10000000
8483,51587419/20000000,2827;22510;42193,5376571/25000000;476127/20000000;0
8486,134325069/25000000,2828;22511;42194,9662513/100000000;0;54581183/100000000
8489,28208137/6250000,2829;22512;42195,0;1459419/6250000;15643091/50000000
8492,82258063/50000000,2830;22513;42196,169541/2500000;5244193/20000000;0
8495,961842837/100000000,2831;22514;42197,0;177117399/100000000;106510499/100000000
8498,1031869279/50000000,2832;22515;42198,0;156366159/100000000;308296151/100000000
8501,163287253/100000000,2833;22516;42199,0;12371927/100000000;189137/6250000
8504,1541007207/100000000,2834;22517;42200,268230519/100000000;0;1667797/12500000
8507,147497451/12500000,2835;22518;42201,0;202445389/100000000;110507/250000
8510,268850811/50000000,2836;22519;42202,4132747/5000000;12396679/50000000;0
8513,116180921/25000000,2837;22520;42203,10230201/10000000;0;65960609/100000000
8516,100930583/25000000,2838;22521;42204,10073789/100000000;0;7851993/50000000
8519,285012703/100000000,2839;22522;42205,11945241/100000000;481443/1562500;0
8522,350625193/50000000,2840;22523;42206,0;19538681/50000000;43112917/100000000
8525,255576599/25000000,2841;22524;42207,0;41382701/100000000;29660801/100000000
8528,166600851/100000000,2842;22525;42208,210579/781250;0;2548959/100000000
8531,176935397/20000000,2843;22526;42209,2118949/4000000;0;65565073/100000000
8534,12754659/2500000,2844;22527;42210,0;39101783/100000000;43880971/50000000
8537,201038413/100000000,2845;22528;42211,0;11495559/100000000;3603839/100000000
8540,273971209/100000000,2846;22529;42212,3358691/100000000;0;1854347/10000000
8543,1054772147/100000000,2847;22530;42213,6335143/4000000;0;14166383/50000000
8546,179556291/50000000,2848;22531;42214,0;4038673/25000000;3908977/50000000
8549,835946033/100000000,2849;22532;42215,124755031/100000000;46493573/100000000;0
8552,850367279/100000000,2850;22533;42216,25084301/50000000;0;31216747/50000000
8555,33934241/25000000,2851;22534;42217,983169/100000000;4551383/100000000;0
8558,25964751/6250000,2852;22535;42218,0;18198369/50000000;10057651/100000000
8561,1360611299/100000000,2853;22536;42219,0;4053913/25000000;4777241/50000000
8564,296385343/100000000,2854;22537;42220,49823/500000;0;191513/10000000
8567,433468373/100000000,2855;22538;42221,0;8617791/25000000;10262183/25000000
8570,511463033/100000000,2856;22539;42222,869177/2500000;0;1544311/3125000
8573,322012229/100000000,2857;22540;42223,4723633/25000000;0;3572401/12500000
8576,183746417/20000000,2858;22541;42224,15208121/12500000;0;57752241/100000000
8579,799235591/100000000,2859;22542;42225,0;59284969/100000000;89934701/50000000
8582,70197123/50000000,2860;22543;42226,9022217/100000000;550831/25000000;0
8585,243289769/25000000,2861;22544;42227,123917531/100000000;16896581/12500000;0
8588,123802217/20000000,2862;22545;42228,126427/12500000;0;12603707/50000000
8591,276787747/100000000,2863;22546;42229,0;9286497/100000000;198537/10000000
8594,369913797/100000000,2864;22547;42230,14031847/50000000;6763311/100000000;0
8597,192395091/50000000,2865;22548;42231,0;4631913/50000000;17361337/100000000
8600,583457503/100000000,2866;22549;42232,0;56463131/100000000;133756391/100000000
8603,683324521/100000000,2867;22550;42233,8275753/100000000;23683509/100000000;0
8606,293478883/25000000,2868;22551;42234,876401/3125000;51130517/100000000;0
8609,10772647/6250000,2869;22552;42235,12087077/100000000;0;2084063/20000000
8612,2387425843/50000000,2870;22553;42236,332725457/100000000;12287157/2000000;0
8615,224233297/50000000,2871;22554;42237,18075117/100000000;0;3975539/20000000
8618,208451783/100000000,2872;22555;42238,1479273/25000000;18500337/100000000;0
8621,80419309/20000000,2873;22556;42239,572161/2000000;0;89864353/100000000
8624,503738463/100000000,2874;22557;42240,6069171/12500000;14131867/12500000;0
8627,222292863/100000000,2875;22558;42241,21710559/100000000;812851/12500000;0
8630,118173081/10000000,2876;22559;42242,6628227/100000000;0;7748139/10000000
8633,81136223/12500000,2877;22560;42243,0;3574937/50000000;3991879/12500000
8636,60258849/20000000,2878;22561;42244,5818553/20000000;5047387/50000000;0
8639,556998601/100000000,2879;22562;42245,0;38684919/100000000;185667/400000
8642,876409311/100000000,2880;22563;42246,12612261/25000000;40941793/50000000;0
8645,188193441/100000000,2881;22564;42247,0;5989767/50000000;2958387/25000000
8648,109729167/25000000,2882;22565;42248,44937271/100000000;0;14474737/50000000
8651,86567433/25000000,2883;22566;42249,0;13228041/100000000;9332463/25000000
8654,38977487/20000000,2884;22567;42250,7959181/50000000;0;4102611/25000000
8657,2009823081/100000000,2885;22568;42251,110706261/100000000;27176849/100000000;0
8660,240727149/25000000,2886;22569;42252,27660089/100000000;0;3336229/25000000
8663,69928513/50000000,2887;22570;42253,824557/20000000;0;11392797/100000000
8666,2936473809/100000000,2888;22571;42254,398754251/100000000;752269321/100000000;0
8669,792267879/100000000,2889;22572;42255,0;22171859/20000000;20815023/100000000
8672,62915451/12500000,2890;22573;42256,40286117/50000000;0;1424619/6250000
8675,45245893/10000000,2891;22574;42257,79102717/100000000;0;749649/12500000
8678,548319583/100000000,2892;22575;42258,0;30227741/50000000;5216881/100000000
8681,93948459/50000000,2893;22576;42259,5988069/50000000;7461761/100000000;0
8684,73540073/12500000,2894;22577;42260,0;201983/20000000;45025341/100000000
8687,843791951/50000000,2895;22578;42261,0;15346851/50000000;10493181/6250000
8690,117924001/100000000,2896;22579;42262,0;1087811/25000000;3682277/50000000
8693,1733826929/100000000,2897;22580;42263,40304759/100000000;180826681/100000000;0
8696,425997637/100000000,2898;22581;42264,5289651/100000000;21247319/100000000;0
8699,64995733/25000000,2899;22582;42265,3300883/50000000;1250737/4000000;0
8702,156476969/50000000,2900;22583;42266,0;570281/100000000;6614617/50000000
8705,223234359/50000000,2901;22584;42267,3096281/25000000;0;10750327/25000000
8708,21810751/12500000,2902;22585;42268,15121003/100000000;5824/78125;0
8711,589843563/50000000,2903;22586;42269,0;5439141/6250000;665663/1250000
8714,393475799/25000000,2904;22587;42270,0;237007101/50000000;285885493/100000000
8717,143752957/100000000,2905;22588;42271,1318541/12500000;0;782511/5000000
8720,2397942/390625,2906;22589;42272,5115349/25000000;0;37990831/100000000
8723,1259525571/100000000,2907;22590;42273,0;329958869/100000000;153480769/100000000
8726,55041177/12500000,2908;22591;42274,9693759/10000000;68624713/100000000;0
8729,58400837/12500000,2909;22592;42275,24249737/50000000;0;486993/100000000
8732,111321583/25000000,2910;22593;42276,0;1914783/5000000;26240959/100000000
8735,10267271/6250000,2911;22594;42277,3569861/50000000;0;1226837/20000000
8738,20639487/1562500,2912;22595;42278,1467301/2000000;0;4868467/12500000
8741,1615452971/100000000,2913;22596;42279,122255741/100000000;158997899/100000000;0
8744,7883417/6250000,2914;22597;42280,4707033/50000000;0;4771259/100000000
8747,698308619/20000000,2915;22598;42281,896339487/100000000;0;34659411/50000000
8750,617882773/100000000,2916;22599;42282,875673/2000000;0;16744019/50000000
8753,82348131/25000000,2917;22600;42283,2896291/6250000;0;23659607/100000000
8756,56312123/12500000,2918;22601;42284,49456449/100000000;0;2202873/20000000
8759,225543573/50000000,2919;22602;42285,9503149/12500000;47997329/50000000;0
8762,92433/50000,2920;22603;42286,0;660051/12500000;10891329/100000000
8765,195185437/25000000,2921;22604;42287,31883919/25000000;52717673/50000000;0
8768,1060002477/100000000,2922;22605;42288,33548247/100000000;0;47348147/100000000
8771,79386137/50000000,2923;22606;42289,0;489057/12500000;19958591/100000000
8774,933254701/100000000,2924;22607;42290,1699423/2500000;0;47475229/50000000
8777,544038567/100000000,2925;22608;42291,78694971/100000000;36922837/100000000;0
8780,7023619/4000000,2926;22609;42292,0;68051/12500000;2120653/50000000
8783,66119863/25000000,2927;22610;42293,9891339/100000000;0;6279737/50000000
8786,234275321/50000000,2928;22611;42294,26072627/100000000;3182553/12500000;0
8789,220895583/100000000,2929;22612;42295,9156073/50000000;0;2262527/25000000
8792,121382981/12500000,2930;22613;42296,45868617/20000000;0;36212287/50000000
8795,907570009/100000000,2931;22614;42297,0;3408671/50000000;14130577/10000000
8798,152004891/100000000,2932;22615;42298,0;2929257/20000000;8050297/100000000
8801,4842101/1250000,2933;22616;42299,7531123/100000000;0;6441877/50000000
8804,633411941/100000000,2934;22617;42300,0;16518729/50000000;13152411/25000000
8807,122523767/25000000,2935;22618;42301,95549129/100000000;2420283/20000000;0
8810,230056249/50000000,2936;22619;42302,0;70800951/100000000;20048149/100000000
8813,95921239/20000000,2937;22620;42303,30907891/100000000;0;10577887/25000000
8816,94476351/50000000,2938;22621;42304,1320531/5000000;0;9880347/100000000
8819,1027728969/100000000,2939;22622;42305,0;62616979/50000000;3794249/25000000
8822,101067629/12500000,2940;22623;42306,51924581/50000000;27205859/100000000;0
8825,210544803/100000000,2941;22624;42307,0;6606557/50000000;4677583/100000000
8828,600767713/100000000,2942;22625;42308,0;25254259/50000000;67603723/100000000
8831,554516933/100000000,2943;22626;42309,0;17590747/25000000;234657/2500000
8834,338363819/100000000,2944;22627;42310,9170771/12500000;0;2787401/12500000
8837,599331267/100000000,2945;22628;42311,615937/100000000;0;52161173/100000000
8840,216588703/50000000,2946;22629;42312,0;1469923/5000000;906451/2500000
8843,347077963/100000000,2947;22630;42313,2669853/4000000;0;87809427/100000000
8846,827235099/100000000,2948;22631;42314,141707751/100000000;32306683/20000000;0
8849,1193458939/100000000,2949;22632;42315,402841/10000000;0;31618013/20000000
8852,102636003/50000000,2950;22633;42316,0;4025531/50000000;24410833/100000000
8855,820253357/50000000,2951;22634;42317,28489701/100000000;282593101/100000000;0
8858,102761981/25000000,2952;22635;42318,963773/25000000;17221901/50000000;0
8861,219396781/100000000,2953;22636;42319,2616963/100000000;11735597/50000000;0
8864,168284957/50000000,2954;22637;42320,0;207701/50000000;11423/50000000
8867,440646341/100000000,2955;22638;42321,7143939/100000000;0;24169817/100000000
8870,340509101/100000000,2956;22639;42322,39045701/100000000;0;17980679/20000000
8873,907350957/100000000,2957;22640;42323,0;4408101/4000000;26993989/100000000
8876,5286399/781250,2958;22641;42324,13961287/20000000;0;1479441/2500000
8879,197041023/50000000,2959;22642;42325,7813907/100000000;63089043/100000000;0
8882,280851683/20000000,2960;22643;42326,0;9810117/6250000;517044853/100000000
8885,1703419557/100000000,2961;22644;42327,0;487473/800000;231519/4000000
8888,252089063/100000000,2962;22645;42328,53529577/100000000;0;1207451/25000000
8891,393939523/50000000,2963;22646;42329,54848823/100000000;102289507/50000000;0
8894,197639089/50000000,2964;22647;42330,0;1991279/12500000;18716649/100000000
8897,73511927/50000000,2965;22648;42331,451011/50000000;0;3940477/100000000
8900,251426937/20000000,2966;22649;42332,40737421/25000000;0;1345357/50000000
8903,1232750123/100000000,2967;22650;42333,0;15968867/100000000;1071341/3125000
8906,70009809/50000000,2968;22651;42334,3109071/100000000;0;7724831/100000000
8909,981471241/50000000,2969;22652;42335,18740399/50000000;0;66788861/100000000
8912,167281011/25000000,2970;22653;42336,8954783/100000000;0;4573357/50000000
8915,385038729/50000000,2971;22654;42337,0;32162991/100000000;48019293/50000000
8918,455523703/100000000,2972;22655;42338,0;52558549/100000000;67926093/100000000
8921,482019741/100000000,2973;22656;42339,22740983/100000000;0;47403187/100000000
8924,344367/160000,2974;22657;42340,0;659/2500000;1036689/50000000
8927,106510127/20000000,2975;22658;42341,86156571/100000000;0;57791787/100000000
8930,2781595039/100000000,2976;22659;42342,0;88680173/100000000;396964663/100000000
8933,34058301/25000000,2977;22660;42343,7717313/100000000;145351/6250000;0
8936,487484739/50000000,2978;22661;42344,0;8860651/10000000;27468799/50000000
8939,165466899/25000000,2979;22662;42345,29608801/100000000;12995779/10000000;0
8942,217507363/100000000,2980;22663;42346,316189/12500000;0;1478989/20000000
8945,512725371/100000000,2981;22664;42347,785269/12500000;0;5921257/25000000
8948,616674163/100000000,2982;22665;42348,2399039/10000000;25120787/100000000;0
8951,44067907/20000000,2983;22666;42349,0;974867/12500000;23098067/100000000
8954,405847783/25000000,2984;22667;42350,6048929/12500000;10855721/6250000;0
8957,384390073/50000000,2985;22668;42351,0;3211893/12500000;100788513/100000000
8960,56135019/50000000,2986;22669;42352,9576563/100000000;0;764981/10000000
8963,636806499/100000000,2987;22670;42353,0;9083161/12500000;60121651/100000000
8966,796878649/100000000,2988;22671;42354,0;1128921/20000000;56221573/100000000
8969,91063549/25000000,2989;22672;42355,1340007/5000000;0;2208757/6250000
8972,362527401/100000000,2990;22673;42356,4628979/50000000;0;3607149/25000000
8975,734555757/100000000,2991;22674;42357,35182301/25000000;0;53591743/100000000
8978,113012981/100000000,2992;22675;42358,145001/2500000;2632537/25000000;0
8981,48179267/3125000,2993;22676;42359,0;356029/6250000;18768113/12500000
8984,257412863/20000000,2994;22677;42360,4370523/10000000;0;519003/50000000
8987,86589531/50000000,2995;22678;42361,0;13845599/100000000;19665649/100000000
8990,2500838017/100000000,2996;22679;42362,0;688531837/100000000;131049073/100000000
8993,586535173/100000000,2997;22680;42363,10341499/20000000;0;25007483/100000000
8996,157213847/12500000,2998;22681;42364,43468899/10000000;0;79034469/100000000
8999,116661479/12500000,2999;22682;42365,9289157/50000000;0;56363917/50000000
9002,12250521/3125000,3000;22683;42366,15930541/100000000;10379593/50000000;0
9005,289016207/100000000,3001;22684;42367,0;11867751/100000000;790743/6250000
9008,93967499/12500000,3002;22685;42368,1358347/1562500;0;76521577/100000000
9011,860894199/50000000,3003;22686;42369,12391799/12500000;0;84793257/100000000
9014,40204843/25000000,3004;22687;42370,291269/10000000;0;1324097/50000000
9017,187275593/12500000,3005;22688;42371,0;180839897/50000000;260277/390625
9020,264277667/50000000,3006;22689;42372,1744843/25000000;26148247/100000000;0
9023,50711457/25000000,3007;22690;42373,2439757/20000000;461429/20000000;0
9026,246718671/100000000,3008;22691;42374,2917513/50000000;748649/5000000;0
9029,610477051/100000000,3009;22692;42375,22810901/25000000;11090089/12500000;0
9032,189058351/100000000,3010;22693;42376,14819617/50000000;0;24046489/100000000
9035,667306713/100000000,3011;22694;42377,4920337/20000000;28670177/100000000;0
9038,97881527/12500000,3012;22695;42378,0;238421/800000;11095371/12500000
9041,140365381/100000000,3013;22696;42379,0;249563/20000000;17937649/100000000
9044,154222869/25000000,3014;22697;42380,2890223/20000000;0;42231929/50000000
9047,45925783/5000000,3015;22698;42381,0;38267617/100000000;14909657/100000000
9050,371345283/100000000,3016;22699;42382,7823183/100000000;0;2237889/4000000
9053,16258551/4000000,3017;22700;42383,1533671/100000000;0;1927053/5000000
9056,102874027/12500000,3018;22701;42384,0;54152707/50000000;33439053/50000000
9059,178861693/100000000,3019;22702;42385,14146399/100000000;0;34995913/100000000
9062,1167746637/100000000,3020;22703;42386,59109187/25000000;0;124863979/100000000
9065,757980783/100000000,3021;22704;42387,305301/1250000;0;13301931/50000000
9068,278915331/100000000,3022;22705;42388,0;17463037/20000000;25769747/100000000
9071,246285691/20000000,3023;22706;42389,0;35160853/10000000;120608169/50000000
9074,240533821/50000000,3024;22707;42390,65441579/100000000;0;14388109/100000000
9077,405156871/100000000,3025;22708;42391,0;11526879/100000000;5230551/50000000
9080,741963819/100000000,3026;22709;42392,0;66438349/50000000;5489821/20000000
9083,434871803/100000000,3027;22710;42393,3917793/100000000;0;12823221/100000000
9086,18252607/6250000,3028;22711;42394,4216089/25000000;0;45054857/100000000
9089,636315337/100000000,3029;22712;42395,24755147/50000000;0;2678343/12500000
9092,1022539039/100000000,3030;22713;42396,0;6739361/6250000;71875007/50000000
9095,156202751/100000000,3031;22714;42397,0;4495149/12500000;569591/6250000
9098,139327003/10000000,3032;22715;42398,318654263/100000000;28632651/25000000;0
9101,587710103/100000000,3033;22716;42399,0;18816117/20000000;848383/6250000
9104,42718833/10000000,3034;22717;42400,4802037/4000000;1337413/6250000;0
9107,100951943/25000000,3035;22718;42401,0;190353/400000;18525609/25000000
9110,654942601/100000000,3036;22719;42402,125413329/100000000;25904739/50000000;0
9113,128805419/50000000,3037;22720;42403,4073107/25000000;0;19538121/100000000
9116,900912233/100000000,3038;22721;42404,527799/781250;0;47347319/100000000
9119,141915321/20000000,3039;22722;42405,8632093/50000000;0;4065067/50000000
9122,246074821/100000000,3040;22723;42406,24486267/100000000;71128357/100000000;0
9125,73300721/6250000,3041;22724;42407,28091751/50000000;227369503/100000000;0
9128,694800363/50000000,3042;22725;42408,35446271/12500000;15221847/20000000;0
9131,206052961/100000000,3043;22726;42409,0;6853147/50000000;232519/3125000
9134,406164379/100000000,3044;22727;42410,0;2154499/20000000;8669641/100000000
9137,23789151/4000000,3045;22728;42411,36983799/100000000;0;1309017/50000000
9140,28974617/20000000,3046;22729;42412,0;7856627/100000000;21625627/100000000
9143,1220261819/50000000,3047;22730;42413,0;18680751/12500000;27841201/6250000
9146,700223439/100000000,3048;22731;42414,25118439/25000000;17353507/100000000;0
