a,c,x,qAdv,xAdv,target_count,retarded_count,advanced_full_count,advanced_window_count,e5_numerator,e5_gap,deterministic_atom_gap,advanced_window_gap,closure_percent,partition_ok,pairwise_disjoint_ok,advanced_subset_ok,gap_identity_ok,route_hooks_ok,window_hooks_ok,all_hooks_ok,target_sha256,retarded_sha256,advanced_full_sha256,advanced_window_sha256,advanced_boundary_examples
512,341,262144,256,261888,6048,132,5914,5914,6047,1,1,0,99.983465608,yes,yes,yes,yes,yes,yes,yes,8b309f9c9891514c100fda166f015743b73ea05e2ce3098b6257f189bbafe77f,f6ffa90f2db297a6e258a76f7766d932f4ccc8dd4eccd9f86597eb3ac4accb87,991b25d519a5b551a816e0cdad872764fbb8201c29b33c81145823a6f9ef293d,991b25d519a5b551a816e0cdad872764fbb8201c29b33c81145823a6f9ef293d,
521,347,266752,256,266496,601,164,435,435,600,1,1,0,99.833610649,yes,yes,yes,yes,yes,yes,yes,d1fbab4e13bb5bafa3d62d7e9edb75ce5b9139eea9c46facf8a8dac9fb658103,a701d3a449d775ec9780f476d5be5dd70b8c8f2e88090e9f68eec16b059a3586,a307bb6d22023cb05f6657b13c92f5359a3187bc1bb0b14cee034ed13b881ff3,a307bb6d22023cb05f6657b13c92f5359a3187bc1bb0b14cee034ed13b881ff3,
530,353,271360,256,271104,3000,188,2810,2810,2999,1,1,0,99.966666667,yes,yes,yes,yes,yes,yes,yes,a748f75c446bf39536af09cbd433840276c71446063e67fe2774f1f36bc35c62,29847b00ca4b397b626f868a3514558ea395c556b464d36fa3c4b7ab53141da7,a611565ae6011d2b332e1409384856809c72939f06189ba6d28e0170ff28b2bf,a611565ae6011d2b332e1409384856809c72939f06189ba6d28e0170ff28b2bf,
539,359,275968,256,275712,4253,150,4101,4101,4252,1,1,0,99.976487186,yes,yes,yes,yes,yes,yes,yes,7081fd3c9775e753017506939b88902b7665a660717c11ec0876c443b69ec699,92dded5375c710ec252f576101a7e56cadccf01b35071b4268c46c826f9cdbb2,cfeaa0e9c02c22ba31fb2b242c09abe702743162135547f75e1653cb3dc7ecb7,cfeaa0e9c02c22ba31fb2b242c09abe702743162135547f75e1653cb3dc7ecb7,
548,365,280576,256,280320,3057,277,2778,2778,3056,1,1,0,99.967288191,yes,yes,yes,yes,yes,yes,yes,3f07b12e9db6dac35b7e3dbfa3c00bac13bb01696b810276ed2c68fca1356d8f,771547483d2ee0c5a81098528e180ef63790652da69f9bc8e2584b05fdbf8941,e97c41098a8a7a3445e0e1a72517682a9758e364d95ef2cbc70a9758cc4ac302,e97c41098a8a7a3445e0e1a72517682a9758e364d95ef2cbc70a9758cc4ac302,
557,371,285184,256,284928,4257,154,4101,4101,4256,1,1,0,99.976509279,yes,yes,yes,yes,yes,yes,yes,8dfd1c3e56eb1613155b9a2e473cd3052eb899033038954d085090f4aae51568,a1e28d42336ee4261323b4a8f17e4c9b9d619d64cba53494bfdb837617ba41ab,a4906926c87a0d57ea79b574b74453134b842665c36f585f014bd1527a139000,a4906926c87a0d57ea79b574b74453134b842665c36f585f014bd1527a139000,
566,377,289792,256,289536,58975,211,58762,58756,58968,7,1,6,99.988130564,yes,yes,yes,yes,yes,yes,yes,8f7cb2b9d7684f84864a60ff9339cca632f6d274bd91118aec08ff82667ad60a,593cc95fc06e4a27b7b714cc6c7ffcac4ae5b279e8e6a5e06459ea5521434dc3,b9c4515d1e529e8994706733ee5b5e30278a686e4f5c95207b1e3308fc6980bc,9d1aa8788327d3a24f143ebbf4078835eaffb1c95ee3633a5960d09a71c6487a,128683 171577 193025 257366 289538 289708
575,383,294400,256,294144,1147,164,981,981,1146,1,1,0,99.912816042,yes,yes,yes,yes,yes,yes,yes,a259d8829d65fc80614e6f9ba87df2dd93623808b4bc287f2b29ab5e75aeefe0,024ad4da869c8424c6a7cb2e7885e70ef3391cd54d9ee278288e7362c336305c,6dfba8ced90a00870565bc6f98d78b5638c576d82cbe2dc41759441ecf0d288f,6dfba8ced90a00870565bc6f98d78b5638c576d82cbe2dc41759441ecf0d288f,
584,389,299008,256,298752,2638,124,2512,2512,2637,1,1,0,99.962092494,yes,yes,yes,yes,yes,yes,yes,bfae8af9570c2d469ad49f4d257426b80cebfd590eac71263930aca60046442c,cae482a7e5fa0e78104775529974ccde58b837f025ee6bdb2ab725c92c5bdd83,d5a18bc1755fe6e2ed1abac5148602bd290b31076e89297cd4dbcb5930f19afd,d5a18bc1755fe6e2ed1abac5148602bd290b31076e89297cd4dbcb5930f19afd,
593,395,303616,256,303360,58884,98,58784,58738,58837,47,1,46,99.920182053,yes,yes,yes,yes,yes,yes,yes,9e56b08db605ed0acc9fe3a144cfef47385790d5a85f076d83d59d45c90b50eb,1e81869e81454fcb05c77d70ced1706e1d6182aef50efb09310db3517251e6e6,6992cd55927395d89d7c15a9fe93934e5e8e31c841370c9c304d1888c3e0386e,99d064ac7468131d90290fcf9a541be3a16e4646748fd9815d07bf35d6e4fa36,79911 119867 134835 134851 134883 159822 179801 202245 202253 202257 202261 202269
602,401,308224,256,307968,1577,902,673,673,1576,1,1,0,99.936588459,yes,yes,yes,yes,yes,yes,yes,1984ea02daa5b262393af6138f70de1e7a498b879c9295aaf6260243c7eff80e,0c9bf63001bb82517f86ecff57e9704499e6e8c87d643d773c399a032bc1c0b7,2b8395aea82164a0d4c9d0949db94fa0b2936899dcee46f2afb157096e4ac51f,2b8395aea82164a0d4c9d0949db94fa0b2936899dcee46f2afb157096e4ac51f,
611,407,312832,256,312576,9979,530,9447,9447,9978,1,1,0,99.989978956,yes,yes,yes,yes,yes,yes,yes,d3dd897768a0ccd7cfb6dfcff46a3585a87eedd72e8f06737c44eb8f78ec19d0,e3d4f06984b6a4e0b8d9e46ccd13815273d48862d55e16ff5b3a384839a35f77,2aee66f8f6aa7fcf6276dc5550b20c427a9504a873ce4117c53a47d556b4c272,2aee66f8f6aa7fcf6276dc5550b20c427a9504a873ce4117c53a47d556b4c272,
620,413,317440,256,317184,1849,212,1635,1635,1848,1,1,0,99.945916712,yes,yes,yes,yes,yes,yes,yes,1df1bc1e381bc0783240e30955f3c4698f468c670e1af9e4bf3dbbdecfb08d33,10be24c97cb00652a77689098efe2c1d74d22a67af85bcc6ed7a15f76efe9eac,8463a4986c1fbc30a1c05c28b64045a40435195b2d863ad2cb00c48fc2034ec7,8463a4986c1fbc30a1c05c28b64045a40435195b2d863ad2cb00c48fc2034ec7,
629,419,322048,256,321792,2419,1095,1322,1322,2418,1,1,0,99.958660604,yes,yes,yes,yes,yes,yes,yes,cb1a55b3a06fed3a7b738ab483026fa56ec5134cc0412dedd5025fada2b3d895,537800a9c057534c611385c07bebe46c122dd3d1c9c3731a65af4db60abe1ea8,9ed546e556b0da447432626d891d571ebe9e493ed3f96777a749a5330545946f,9ed546e556b0da447432626d891d571ebe9e493ed3f96777a749a5330545946f,
638,425,326656,256,326400,69517,502,69013,68979,69482,35,1,34,99.949652603,yes,yes,yes,yes,yes,yes,yes,013b8e5277290e9712034314e24bed7e9f30771d15502a80fc06b474e89fc743,7de29f24d6ca0090902674cdf7502b5ad7ac9011207e1f3ed3a349613efb704e,bd933d3531ebca5529c1d05039e31cf0fca574fdda82ca8cf5efd21523ca4b63,697a01c15bfdda770c7d2aece1a880a94e7a9e4d1e569059c553114699da6080,96759 145139 145155 193518 217629 217633 217665 217669 217677 217709 217733 290278
647,431,331264,256,331008,5615,91,5522,5522,5614,1,1,0,99.982190561,yes,yes,yes,yes,yes,yes,yes,03f5e043d3cd5865020557e40067957d595dde34a4286d8291e11d947487543f,81b648b4f3caad85e5853c15c699ed5c0a85640ab1497e51856362b4fef2d632,772012bdc2c56b075838d48fb9434e1f7aa0ef6dd6bae5fa3b04b086482d9fde,772012bdc2c56b075838d48fb9434e1f7aa0ef6dd6bae5fa3b04b086482d9fde,
656,437,335872,256,335616,1862,398,1462,1462,1861,1,1,0,99.946294307,yes,yes,yes,yes,yes,yes,yes,901b5a577ff404996892849c152d28e1fd3d21830ca0437634205f242600900f,6314a45e1e0e8778954ffa115076ca29d9ab0d9d83135f0cc27503278d4af79c,94fc82167f2f926190fb8af7b7c2c3a55c2503f5dfe49148ad12c27243699725,94fc82167f2f926190fb8af7b7c2c3a55c2503f5dfe49148ad12c27243699725,
665,443,340480,256,340224,3823,406,3415,3415,3822,1,1,0,99.973842532,yes,yes,yes,yes,yes,yes,yes,6229324bd3d44d0be406fe2b9cb1a927d62874c367e4e3e2ca652b32defda45c,c429051209f42e55d8f884438a92b80cbb1b25a311b6e6cf15dd37d6c9bc4bda,065ac4ce4549196468677383ec54ce619f8ed1d7f7c7bede94aa61ce2e8c1992,065ac4ce4549196468677383ec54ce619f8ed1d7f7c7bede94aa61ce2e8c1992,
674,449,345088,256,344832,7852,139,7711,7711,7851,1,1,0,99.987264391,yes,yes,yes,yes,yes,yes,yes,48f82ba14c19f996d6a917729c092817e55e24efa48a913840c2b3512404c663,7b9fcb9ed004a311c42d9593b46cae3fbf48e3ffdaf87717724a2577d1e0f3be,7f2fa723957e3ecf9e90d80d71c24ce350ca4ad32b8987237fe08376142d2769,7f2fa723957e3ecf9e90d80d71c24ce350ca4ad32b8987237fe08376142d2769,
683,455,349696,256,349440,2264,334,1928,1928,2263,1,1,0,99.955830389,yes,yes,yes,yes,yes,yes,yes,49521b2db8a0444e4c10a99dd6419164221a769b75e304ff97872434b00d9759,0d191dac1cd6d3da31d317dde38c3e17e5bfbd06f518c6e1d800d746b7729314,b3a03ba9ad763fc2e0ca0dc8befb006ea4c70fc746b3b1123295327b25d88c38,b3a03ba9ad763fc2e0ca0dc8befb006ea4c70fc746b3b1123295327b25d88c38,
692,461,354304,256,354048,12533,6297,6234,6234,12532,1,1,0,99.992021064,yes,yes,yes,yes,yes,yes,yes,1da87d38bb7e71b9d3a55b94c1e0b9bde43b9cca424c8fbf2878662456e65340,f8367e33bb806e0c64593cf246f34f8982d6596bc8da4378024c5cb199314994,dd03470eedbcdbf5bf9a0c88ca86d9d54babd760ccc19e135227d5c16d947417,dd03470eedbcdbf5bf9a0c88ca86d9d54babd760ccc19e135227d5c16d947417,
701,467,358912,256,358656,2196,245,1949,1949,2195,1,1,0,99.954462659,yes,yes,yes,yes,yes,yes,yes,786f9d1c02c13444968126e4434b728aa00e1085aee713df020b36c6614ff59f,bb9d1a17bd9a5c3fd0269820641ea7b0d7ae58d997ee9d8ec47d54febf4267ad,46fca9c2cb8de4636546dc2c903278570795f2e2a8045a40f6bf328214b0fc46,46fca9c2cb8de4636546dc2c903278570795f2e2a8045a40f6bf328214b0fc46,
