source_id,source,branch,target_id,target,weight_decimal,weight_formula,multiplicity,rule_derived
203,d5:r67:peven:b2,retarded_return,77,d5:r25:peven:b2,0.308641975308642,rho_star^(-2),1,yes
204,d5:r68:podd:b0,retarded_return,89,d5:r29:peven:b2,0.308641975308642,rho_star^(-2),1,yes
204,d5:r68:podd:b0,advanced_rebased_return,135,d5:r45:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
204,d5:r68:podd:b0,advanced_rebased_return,378,d5:r126:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
204,d5:r68:podd:b0,advanced_rebased_return,621,d5:r207:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
205,d5:r68:peven:b1,retarded_return,89,d5:r29:peven:b2,0.308641975308642,rho_star^(-2),1,yes
205,d5:r68:peven:b1,advanced_rebased_return,135,d5:r45:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
205,d5:r68:peven:b1,advanced_rebased_return,378,d5:r126:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
205,d5:r68:peven:b1,advanced_rebased_return,621,d5:r207:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
206,d5:r68:peven:b2,retarded_return,89,d5:r29:peven:b2,0.308641975308642,rho_star^(-2),1,yes
206,d5:r68:peven:b2,advanced_rebased_return,135,d5:r45:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
206,d5:r68:peven:b2,advanced_rebased_return,378,d5:r126:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
206,d5:r68:peven:b2,advanced_rebased_return,621,d5:r207:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
207,d5:r69:podd:b0,retarded_return,101,d5:r33:peven:b2,0.308641975308642,rho_star^(-2),1,yes
208,d5:r69:peven:b1,retarded_return,101,d5:r33:peven:b2,0.308641975308642,rho_star^(-2),1,yes
209,d5:r69:peven:b2,retarded_return,101,d5:r33:peven:b2,0.308641975308642,rho_star^(-2),1,yes
210,d5:r70:podd:b0,retarded_return,113,d5:r37:peven:b2,0.308641975308642,rho_star^(-2),1,yes
211,d5:r70:peven:b1,retarded_return,113,d5:r37:peven:b2,0.308641975308642,rho_star^(-2),1,yes
212,d5:r70:peven:b2,retarded_return,113,d5:r37:peven:b2,0.308641975308642,rho_star^(-2),1,yes
213,d5:r71:podd:b0,retarded_return,125,d5:r41:peven:b2,0.308641975308642,rho_star^(-2),1,yes
213,d5:r71:podd:b0,advanced_rebased_return,141,d5:r47:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
213,d5:r71:podd:b0,advanced_rebased_return,384,d5:r128:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
213,d5:r71:podd:b0,advanced_rebased_return,627,d5:r209:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
214,d5:r71:peven:b1,retarded_return,125,d5:r41:peven:b2,0.308641975308642,rho_star^(-2),1,yes
214,d5:r71:peven:b1,advanced_rebased_return,141,d5:r47:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
214,d5:r71:peven:b1,advanced_rebased_return,384,d5:r128:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
214,d5:r71:peven:b1,advanced_rebased_return,627,d5:r209:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
215,d5:r71:peven:b2,retarded_return,125,d5:r41:peven:b2,0.308641975308642,rho_star^(-2),1,yes
215,d5:r71:peven:b2,advanced_rebased_return,141,d5:r47:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
215,d5:r71:peven:b2,advanced_rebased_return,384,d5:r128:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
215,d5:r71:peven:b2,advanced_rebased_return,627,d5:r209:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
216,d5:r72:podd:b0,retarded_return,137,d5:r45:peven:b2,0.308641975308642,rho_star^(-2),1,yes
217,d5:r72:peven:b1,retarded_return,137,d5:r45:peven:b2,0.308641975308642,rho_star^(-2),1,yes
218,d5:r72:peven:b2,retarded_return,137,d5:r45:peven:b2,0.308641975308642,rho_star^(-2),1,yes
219,d5:r73:podd:b0,retarded_return,149,d5:r49:peven:b2,0.308641975308642,rho_star^(-2),1,yes
220,d5:r73:peven:b1,retarded_return,149,d5:r49:peven:b2,0.308641975308642,rho_star^(-2),1,yes
221,d5:r73:peven:b2,retarded_return,149,d5:r49:peven:b2,0.308641975308642,rho_star^(-2),1,yes
222,d5:r74:podd:b0,retarded_return,161,d5:r53:peven:b2,0.308641975308642,rho_star^(-2),1,yes
222,d5:r74:podd:b0,advanced_rebased_return,147,d5:r49:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
222,d5:r74:podd:b0,advanced_rebased_return,390,d5:r130:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
222,d5:r74:podd:b0,advanced_rebased_return,633,d5:r211:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
223,d5:r74:peven:b1,retarded_return,161,d5:r53:peven:b2,0.308641975308642,rho_star^(-2),1,yes
223,d5:r74:peven:b1,advanced_rebased_return,147,d5:r49:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
223,d5:r74:peven:b1,advanced_rebased_return,390,d5:r130:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
223,d5:r74:peven:b1,advanced_rebased_return,633,d5:r211:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
224,d5:r74:peven:b2,retarded_return,161,d5:r53:peven:b2,0.308641975308642,rho_star^(-2),1,yes
224,d5:r74:peven:b2,advanced_rebased_return,147,d5:r49:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
224,d5:r74:peven:b2,advanced_rebased_return,390,d5:r130:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
224,d5:r74:peven:b2,advanced_rebased_return,633,d5:r211:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
225,d5:r75:podd:b0,retarded_return,173,d5:r57:peven:b2,0.308641975308642,rho_star^(-2),1,yes
226,d5:r75:peven:b1,retarded_return,173,d5:r57:peven:b2,0.308641975308642,rho_star^(-2),1,yes
227,d5:r75:peven:b2,retarded_return,173,d5:r57:peven:b2,0.308641975308642,rho_star^(-2),1,yes
228,d5:r76:podd:b0,retarded_return,185,d5:r61:peven:b2,0.308641975308642,rho_star^(-2),1,yes
229,d5:r76:peven:b1,retarded_return,185,d5:r61:peven:b2,0.308641975308642,rho_star^(-2),1,yes
230,d5:r76:peven:b2,retarded_return,185,d5:r61:peven:b2,0.308641975308642,rho_star^(-2),1,yes
231,d5:r77:podd:b0,retarded_return,197,d5:r65:peven:b2,0.308641975308642,rho_star^(-2),1,yes
231,d5:r77:podd:b0,advanced_rebased_return,153,d5:r51:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
231,d5:r77:podd:b0,advanced_rebased_return,396,d5:r132:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
231,d5:r77:podd:b0,advanced_rebased_return,639,d5:r213:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
232,d5:r77:peven:b1,retarded_return,197,d5:r65:peven:b2,0.308641975308642,rho_star^(-2),1,yes
232,d5:r77:peven:b1,advanced_rebased_return,153,d5:r51:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
232,d5:r77:peven:b1,advanced_rebased_return,396,d5:r132:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
232,d5:r77:peven:b1,advanced_rebased_return,639,d5:r213:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
233,d5:r77:peven:b2,retarded_return,197,d5:r65:peven:b2,0.308641975308642,rho_star^(-2),1,yes
