core_local_id,state_id,state,residue_mod_9,parity,bucket,integer_weight_over_D,rational_weight_decimal,lhs_wM_decimal,rhs_1_plus_delta_w_decimal,ratio_lhs_over_rhs,passes
96,467,d5:r155:peven:b2,2,even,2,264,2.640000000000000202e-04,2.685185185185185743e-04,2.666400000000000085e-04,1.007045148959340608e+00,yes
97,475,d5:r158:peven:b1,5,even,1,474,4.739999999999999747e-04,4.803002496383943941e-04,4.787399999999999598e-04,1.003259075152263202e+00,yes
98,476,d5:r158:peven:b2,5,even,2,3032,3.031999999999999973e-03,3.076543209876543387e-03,3.062319999999999886e-03,1.004644586417011709e+00,yes
99,483,d5:r161:podd:b0,8,odd,0,6639,6.638999999999999936e-03,6.737209994356762807e-03,6.705390000000000308e-03,1.004745435292617284e+00,yes
100,485,d5:r161:peven:b2,8,even,2,3329,3.328999999999999928e-03,3.378395061728395581e-03,3.362289999999999984e-03,1.004789908582661040e+00,yes
101,494,d5:r164:peven:b2,2,even,2,25531,2.553100000000000161e-02,2.590833333333333877e-02,2.578631000000000326e-02,1.004732097509621891e+00,yes
102,503,d5:r167:peven:b2,5,even,2,684,6.840000000000000377e-04,6.941358024691359754e-04,6.908400000000000738e-04,1.004770717487603271e+00,yes
103,511,d5:r170:peven:b1,8,even,1,196,1.959999999999999937e-04,1.990151115956805363e-04,1.979600000000000088e-04,1.005329923194991482e+00,yes
104,512,d5:r170:peven:b2,8,even,2,7765,7.765000000000000201e-03,7.879938271604939454e-03,7.842649999999999622e-03,1.004754550006048852e+00,yes
105,521,d5:r173:peven:b2,2,even,2,443,4.429999999999999802e-04,4.496913580246913837e-04,4.474299999999999632e-04,1.005054104607852494e+00,yes
106,530,d5:r176:peven:b2,5,even,2,1798,1.797999999999999902e-03,1.825000000000000233e-03,1.815980000000000025e-03,1.004967015055231894e+00,yes
107,539,d5:r179:peven:b2,8,even,2,134,1.340000000000000045e-04,1.361111111111111278e-04,1.353400000000000154e-04,1.005697584683841628e+00,yes
108,547,d5:r182:peven:b1,2,even,1,4231,4.231000000000000386e-03,4.292928332412336914e-03,4.273310000000000650e-03,1.004590898486731998e+00,yes
109,548,d5:r182:peven:b2,2,even,2,208,2.079999999999999872e-04,2.111111111111111619e-04,2.100799999999999944e-04,1.004908183126005161e+00,yes
110,557,d5:r185:peven:b2,5,even,2,4738,4.738000000000000024e-03,4.808333333333333730e-03,4.785379999999999669e-03,1.004796553948345661e+00,yes
111,566,d5:r188:peven:b2,8,even,2,20401,2.040099999999999900e-02,2.070216049382716389e-02,2.060500999999999999e-02,1.004714896708478467e+00,yes
112,575,d5:r191:peven:b2,2,even,2,116,1.160000000000000007e-04,1.179012345679012575e-04,1.171599999999999964e-04,1.006326686308477880e+00,yes
113,583,d5:r194:peven:b1,5,even,1,21718,2.171800000000000119e-02,2.203896479906811839e-02,2.193518000000000204e-02,1.004731431384110696e+00,yes
114,584,d5:r194:peven:b2,5,even,2,2421,2.420999999999999975e-03,2.457098765432099222e-03,2.445210000000000179e-03,1.004862063148808993e+00,yes
115,593,d5:r197:peven:b2,8,even,2,10660,1.065999999999999934e-02,1.081759259259259393e-02,1.076659999999999943e-02,1.004736183436980568e+00,yes
116,602,d5:r200:peven:b2,2,even,2,3637,3.637000000000000042e-03,3.691358024691358385e-03,3.673370000000000021e-03,1.004896872542476949e+00,yes
117,611,d5:r203:peven:b2,5,even,2,56,5.599999999999999916e-05,5.740740740740741242e-05,5.656000000000000057e-05,1.014982450626014998e+00,yes
118,619,d5:r206:peven:b1,8,even,1,404,4.040000000000000080e-04,4.097830841123658251e-04,4.080400000000000303e-04,1.004271846172840377e+00,yes
119,620,d5:r206:peven:b2,8,even,2,134,1.340000000000000045e-04,1.367283950617284170e-04,1.353400000000000154e-04,1.010258571462453014e+00,yes
120,629,d5:r209:peven:b2,2,even,2,5668,5.668000000000000295e-03,5.751851851851852611e-03,5.724680000000000220e-03,1.004746440299169929e+00,yes
121,638,d5:r212:peven:b2,5,even,2,1406,1.405999999999999915e-03,1.426543209876543396e-03,1.420059999999999899e-03,1.004565447851881954e+00,yes
122,647,d5:r215:peven:b2,8,even,2,3532,3.531999999999999983e-03,3.584567901234568185e-03,3.567320000000000126e-03,1.004834974500344202e+00,yes
