source_id,source,branch,target,target_id,multiplicity_fraction,route,rule_derived
357,d4:r80:podd:b0,retarded,d4:r77:peven:b2,350,1,VISIBLE,yes
357,d4:r80:podd:b0,advanced,d3:r26:podd:b0,114,1/1,VISIBLE,yes
358,d4:r80:peven:b1,retarded,d4:r77:peven:b2,350,1,VISIBLE,yes
358,d4:r80:peven:b1,advanced,d3:r26:podd:b0,114,1/1,VISIBLE,yes
359,d4:r80:peven:b2,retarded,d4:r77:peven:b2,350,1,VISIBLE,yes
359,d4:r80:peven:b2,advanced,d3:r26:podd:b0,114,1/1,VISIBLE,yes
360,d5:r0:podd:b0,retarded,d5:r0:peven:b2,362,1,VISIBLE,yes
361,d5:r0:peven:b1,retarded,d5:r0:peven:b2,362,1,VISIBLE,yes
362,d5:r0:peven:b2,retarded,d5:r0:peven:b2,362,1,VISIBLE,yes
363,d5:r1:podd:b0,retarded,d5:r4:peven:b2,374,1,VISIBLE,yes
364,d5:r1:peven:b1,retarded,d5:r4:peven:b2,374,1,VISIBLE,yes
365,d5:r1:peven:b2,retarded,d5:r4:peven:b2,374,1,VISIBLE,yes
366,d5:r2:podd:b0,retarded,d5:r8:peven:b2,386,1,VISIBLE,yes
366,d5:r2:podd:b0,advanced,d4:r1:podd:b0,120,1/1,VISIBLE,yes
367,d5:r2:peven:b1,retarded,d5:r8:peven:b2,386,1,VISIBLE,yes
367,d5:r2:peven:b1,advanced,d4:r1:podd:b0,120,1/1,VISIBLE,yes
368,d5:r2:peven:b2,retarded,d5:r8:peven:b2,386,1,VISIBLE,yes
368,d5:r2:peven:b2,advanced,d4:r1:podd:b0,120,1/1,VISIBLE,yes
369,d5:r3:podd:b0,retarded,d5:r12:peven:b2,398,1,VISIBLE,yes
370,d5:r3:peven:b1,retarded,d5:r12:peven:b2,398,1,VISIBLE,yes
371,d5:r3:peven:b2,retarded,d5:r12:peven:b2,398,1,VISIBLE,yes
372,d5:r4:podd:b0,retarded,d5:r16:peven:b2,410,1,VISIBLE,yes
373,d5:r4:peven:b1,retarded,d5:r16:peven:b2,410,1,VISIBLE,yes
374,d5:r4:peven:b2,retarded,d5:r16:peven:b2,410,1,VISIBLE,yes
375,d5:r5:podd:b0,retarded,d5:r20:peven:b2,422,1,VISIBLE,yes
375,d5:r5:podd:b0,advanced,d4:r3:podd:b0,126,1/1,VISIBLE,yes
376,d5:r5:peven:b1,retarded,d5:r20:peven:b2,422,1,VISIBLE,yes
376,d5:r5:peven:b1,advanced,d4:r3:podd:b0,126,1/1,VISIBLE,yes
377,d5:r5:peven:b2,retarded,d5:r20:peven:b2,422,1,VISIBLE,yes
377,d5:r5:peven:b2,advanced,d4:r3:podd:b0,126,1/1,VISIBLE,yes
378,d5:r6:podd:b0,retarded,d5:r24:peven:b2,434,1,VISIBLE,yes
379,d5:r6:peven:b1,retarded,d5:r24:peven:b2,434,1,VISIBLE,yes
380,d5:r6:peven:b2,retarded,d5:r24:peven:b2,434,1,VISIBLE,yes
381,d5:r7:podd:b0,retarded,d5:r28:peven:b2,446,1,VISIBLE,yes
382,d5:r7:peven:b1,retarded,d5:r28:peven:b2,446,1,VISIBLE,yes
383,d5:r7:peven:b2,retarded,d5:r28:peven:b2,446,1,VISIBLE,yes
384,d5:r8:podd:b0,retarded,d5:r32:peven:b2,458,1,VISIBLE,yes
384,d5:r8:podd:b0,advanced,d4:r5:podd:b0,132,1/1,VISIBLE,yes
385,d5:r8:peven:b1,retarded,d5:r32:peven:b2,458,1,VISIBLE,yes
385,d5:r8:peven:b1,advanced,d4:r5:podd:b0,132,1/1,VISIBLE,yes
386,d5:r8:peven:b2,retarded,d5:r32:peven:b2,458,1,VISIBLE,yes
386,d5:r8:peven:b2,advanced,d4:r5:podd:b0,132,1/1,VISIBLE,yes
387,d5:r9:podd:b0,retarded,d5:r36:peven:b2,470,1,VISIBLE,yes
388,d5:r9:peven:b1,retarded,d5:r36:peven:b2,470,1,VISIBLE,yes
389,d5:r9:peven:b2,retarded,d5:r36:peven:b2,470,1,VISIBLE,yes
390,d5:r10:podd:b0,retarded,d5:r40:peven:b2,482,1,VISIBLE,yes
391,d5:r10:peven:b1,retarded,d5:r40:peven:b2,482,1,VISIBLE,yes
392,d5:r10:peven:b2,retarded,d5:r40:peven:b2,482,1,VISIBLE,yes
393,d5:r11:podd:b0,retarded,d5:r44:peven:b2,494,1,VISIBLE,yes
393,d5:r11:podd:b0,advanced,d4:r7:podd:b0,138,1/1,VISIBLE,yes
394,d5:r11:peven:b1,retarded,d5:r44:peven:b2,494,1,VISIBLE,yes
394,d5:r11:peven:b1,advanced,d4:r7:podd:b0,138,1/1,VISIBLE,yes
395,d5:r11:peven:b2,retarded,d5:r44:peven:b2,494,1,VISIBLE,yes
395,d5:r11:peven:b2,advanced,d4:r7:podd:b0,138,1/1,VISIBLE,yes
396,d5:r12:podd:b0,retarded,d5:r48:peven:b2,506,1,VISIBLE,yes
397,d5:r12:peven:b1,retarded,d5:r48:peven:b2,506,1,VISIBLE,yes
398,d5:r12:peven:b2,retarded,d5:r48:peven:b2,506,1,VISIBLE,yes
399,d5:r13:podd:b0,retarded,d5:r52:peven:b2,518,1,VISIBLE,yes
400,d5:r13:peven:b1,retarded,d5:r52:peven:b2,518,1,VISIBLE,yes
401,d5:r13:peven:b2,retarded,d5:r52:peven:b2,518,1,VISIBLE,yes
402,d5:r14:podd:b0,retarded,d5:r56:peven:b2,530,1,VISIBLE,yes
402,d5:r14:podd:b0,advanced,d4:r9:podd:b0,144,1/1,VISIBLE,yes
403,d5:r14:peven:b1,retarded,d5:r56:peven:b2,530,1,VISIBLE,yes
403,d5:r14:peven:b1,advanced,d4:r9:podd:b0,144,1/1,VISIBLE,yes
404,d5:r14:peven:b2,retarded,d5:r56:peven:b2,530,1,VISIBLE,yes
404,d5:r14:peven:b2,advanced,d4:r9:podd:b0,144,1/1,VISIBLE,yes
405,d5:r15:podd:b0,retarded,d5:r60:peven:b2,542,1,VISIBLE,yes
406,d5:r15:peven:b1,retarded,d5:r60:peven:b2,542,1,VISIBLE,yes
407,d5:r15:peven:b2,retarded,d5:r60:peven:b2,542,1,VISIBLE,yes
408,d5:r16:podd:b0,retarded,d5:r64:peven:b2,554,1,VISIBLE,yes
409,d5:r16:peven:b1,retarded,d5:r64:peven:b2,554,1,VISIBLE,yes
410,d5:r16:peven:b2,retarded,d5:r64:peven:b2,554,1,VISIBLE,yes
411,d5:r17:podd:b0,retarded,d5:r68:peven:b2,566,1,VISIBLE,yes
411,d5:r17:podd:b0,advanced,d4:r11:podd:b0,150,1/1,VISIBLE,yes
412,d5:r17:peven:b1,retarded,d5:r68:peven:b2,566,1,VISIBLE,yes
412,d5:r17:peven:b1,advanced,d4:r11:podd:b0,150,1/1,VISIBLE,yes
413,d5:r17:peven:b2,retarded,d5:r68:peven:b2,566,1,VISIBLE,yes
413,d5:r17:peven:b2,advanced,d4:r11:podd:b0,150,1/1,VISIBLE,yes
414,d5:r18:podd:b0,retarded,d5:r72:peven:b2,578,1,VISIBLE,yes
415,d5:r18:peven:b1,retarded,d5:r72:peven:b2,578,1,VISIBLE,yes
416,d5:r18:peven:b2,retarded,d5:r72:peven:b2,578,1,VISIBLE,yes
417,d5:r19:podd:b0,retarded,d5:r76:peven:b2,590,1,VISIBLE,yes
418,d5:r19:peven:b1,retarded,d5:r76:peven:b2,590,1,VISIBLE,yes
419,d5:r19:peven:b2,retarded,d5:r76:peven:b2,590,1,VISIBLE,yes
420,d5:r20:podd:b0,retarded,d5:r80:peven:b2,602,1,VISIBLE,yes
