source_id,source,branch,target,target_id,multiplicity_fraction,route,rule_derived
511,d5:r50:peven:b1,retarded,d5:r200:peven:b2,962,1,VISIBLE,yes
511,d5:r50:peven:b1,advanced,d4:r33:podd:b0,216,1/1,VISIBLE,yes
512,d5:r50:peven:b2,retarded,d5:r200:peven:b2,962,1,VISIBLE,yes
512,d5:r50:peven:b2,advanced,d4:r33:podd:b0,216,1/1,VISIBLE,yes
513,d5:r51:podd:b0,retarded,d5:r204:peven:b2,974,1,VISIBLE,yes
514,d5:r51:peven:b1,retarded,d5:r204:peven:b2,974,1,VISIBLE,yes
515,d5:r51:peven:b2,retarded,d5:r204:peven:b2,974,1,VISIBLE,yes
516,d5:r52:podd:b0,retarded,d5:r208:peven:b2,986,1,VISIBLE,yes
517,d5:r52:peven:b1,retarded,d5:r208:peven:b2,986,1,VISIBLE,yes
518,d5:r52:peven:b2,retarded,d5:r208:peven:b2,986,1,VISIBLE,yes
519,d5:r53:podd:b0,retarded,d5:r212:peven:b2,998,1,VISIBLE,yes
519,d5:r53:podd:b0,advanced,d4:r35:podd:b0,222,1/1,VISIBLE,yes
520,d5:r53:peven:b1,retarded,d5:r212:peven:b2,998,1,VISIBLE,yes
520,d5:r53:peven:b1,advanced,d4:r35:podd:b0,222,1/1,VISIBLE,yes
521,d5:r53:peven:b2,retarded,d5:r212:peven:b2,998,1,VISIBLE,yes
521,d5:r53:peven:b2,advanced,d4:r35:podd:b0,222,1/1,VISIBLE,yes
522,d5:r54:podd:b0,retarded,d5:r216:peven:b2,1010,1,VISIBLE,yes
523,d5:r54:peven:b1,retarded,d5:r216:peven:b2,1010,1,VISIBLE,yes
524,d5:r54:peven:b2,retarded,d5:r216:peven:b2,1010,1,VISIBLE,yes
525,d5:r55:podd:b0,retarded,d5:r220:peven:b2,1022,1,VISIBLE,yes
526,d5:r55:peven:b1,retarded,d5:r220:peven:b2,1022,1,VISIBLE,yes
527,d5:r55:peven:b2,retarded,d5:r220:peven:b2,1022,1,VISIBLE,yes
528,d5:r56:podd:b0,retarded,d5:r224:peven:b2,1034,1,VISIBLE,yes
528,d5:r56:podd:b0,advanced,d4:r37:podd:b0,228,1/1,VISIBLE,yes
529,d5:r56:peven:b1,retarded,d5:r224:peven:b2,1034,1,VISIBLE,yes
529,d5:r56:peven:b1,advanced,d4:r37:podd:b0,228,1/1,VISIBLE,yes
530,d5:r56:peven:b2,retarded,d5:r224:peven:b2,1034,1,VISIBLE,yes
530,d5:r56:peven:b2,advanced,d4:r37:podd:b0,228,1/1,VISIBLE,yes
531,d5:r57:podd:b0,retarded,d5:r228:peven:b2,1046,1,VISIBLE,yes
532,d5:r57:peven:b1,retarded,d5:r228:peven:b2,1046,1,VISIBLE,yes
533,d5:r57:peven:b2,retarded,d5:r228:peven:b2,1046,1,VISIBLE,yes
534,d5:r58:podd:b0,retarded,d5:r232:peven:b2,1058,1,VISIBLE,yes
535,d5:r58:peven:b1,retarded,d5:r232:peven:b2,1058,1,VISIBLE,yes
536,d5:r58:peven:b2,retarded,d5:r232:peven:b2,1058,1,VISIBLE,yes
537,d5:r59:podd:b0,retarded,d5:r236:peven:b2,1070,1,VISIBLE,yes
537,d5:r59:podd:b0,advanced,d4:r39:podd:b0,234,1/1,VISIBLE,yes
538,d5:r59:peven:b1,retarded,d5:r236:peven:b2,1070,1,VISIBLE,yes
538,d5:r59:peven:b1,advanced,d4:r39:podd:b0,234,1/1,VISIBLE,yes
539,d5:r59:peven:b2,retarded,d5:r236:peven:b2,1070,1,VISIBLE,yes
539,d5:r59:peven:b2,advanced,d4:r39:podd:b0,234,1/1,VISIBLE,yes
540,d5:r60:podd:b0,retarded,d5:r240:peven:b2,1082,1,VISIBLE,yes
541,d5:r60:peven:b1,retarded,d5:r240:peven:b2,1082,1,VISIBLE,yes
542,d5:r60:peven:b2,retarded,d5:r240:peven:b2,1082,1,VISIBLE,yes
543,d5:r61:podd:b0,retarded,d5:r1:peven:b2,365,1,VISIBLE,yes
544,d5:r61:peven:b1,retarded,d5:r1:peven:b2,365,1,VISIBLE,yes
545,d5:r61:peven:b2,retarded,d5:r1:peven:b2,365,1,VISIBLE,yes
546,d5:r62:podd:b0,retarded,d5:r5:peven:b2,377,1,VISIBLE,yes
546,d5:r62:podd:b0,advanced,d4:r41:podd:b0,240,1/1,VISIBLE,yes
547,d5:r62:peven:b1,retarded,d5:r5:peven:b2,377,1,VISIBLE,yes
547,d5:r62:peven:b1,advanced,d4:r41:podd:b0,240,1/1,VISIBLE,yes
548,d5:r62:peven:b2,retarded,d5:r5:peven:b2,377,1,VISIBLE,yes
548,d5:r62:peven:b2,advanced,d4:r41:podd:b0,240,1/1,VISIBLE,yes
549,d5:r63:podd:b0,retarded,d5:r9:peven:b2,389,1,VISIBLE,yes
550,d5:r63:peven:b1,retarded,d5:r9:peven:b2,389,1,VISIBLE,yes
551,d5:r63:peven:b2,retarded,d5:r9:peven:b2,389,1,VISIBLE,yes
552,d5:r64:podd:b0,retarded,d5:r13:peven:b2,401,1,VISIBLE,yes
553,d5:r64:peven:b1,retarded,d5:r13:peven:b2,401,1,VISIBLE,yes
554,d5:r64:peven:b2,retarded,d5:r13:peven:b2,401,1,VISIBLE,yes
555,d5:r65:podd:b0,retarded,d5:r17:peven:b2,413,1,VISIBLE,yes
555,d5:r65:podd:b0,advanced,d4:r43:podd:b0,246,1/1,VISIBLE,yes
556,d5:r65:peven:b1,retarded,d5:r17:peven:b2,413,1,VISIBLE,yes
556,d5:r65:peven:b1,advanced,d4:r43:podd:b0,246,1/1,VISIBLE,yes
557,d5:r65:peven:b2,retarded,d5:r17:peven:b2,413,1,VISIBLE,yes
557,d5:r65:peven:b2,advanced,d4:r43:podd:b0,246,1/1,VISIBLE,yes
558,d5:r66:podd:b0,retarded,d5:r21:peven:b2,425,1,VISIBLE,yes
559,d5:r66:peven:b1,retarded,d5:r21:peven:b2,425,1,VISIBLE,yes
560,d5:r66:peven:b2,retarded,d5:r21:peven:b2,425,1,VISIBLE,yes
561,d5:r67:podd:b0,retarded,d5:r25:peven:b2,437,1,VISIBLE,yes
562,d5:r67:peven:b1,retarded,d5:r25:peven:b2,437,1,VISIBLE,yes
563,d5:r67:peven:b2,retarded,d5:r25:peven:b2,437,1,VISIBLE,yes
564,d5:r68:podd:b0,retarded,d5:r29:peven:b2,449,1,VISIBLE,yes
564,d5:r68:podd:b0,advanced,d4:r45:podd:b0,252,1/1,VISIBLE,yes
565,d5:r68:peven:b1,retarded,d5:r29:peven:b2,449,1,VISIBLE,yes
565,d5:r68:peven:b1,advanced,d4:r45:podd:b0,252,1/1,VISIBLE,yes
566,d5:r68:peven:b2,retarded,d5:r29:peven:b2,449,1,VISIBLE,yes
566,d5:r68:peven:b2,advanced,d4:r45:podd:b0,252,1/1,VISIBLE,yes
567,d5:r69:podd:b0,retarded,d5:r33:peven:b2,461,1,VISIBLE,yes
568,d5:r69:peven:b1,retarded,d5:r33:peven:b2,461,1,VISIBLE,yes
569,d5:r69:peven:b2,retarded,d5:r33:peven:b2,461,1,VISIBLE,yes
570,d5:r70:podd:b0,retarded,d5:r37:peven:b2,473,1,VISIBLE,yes
571,d5:r70:peven:b1,retarded,d5:r37:peven:b2,473,1,VISIBLE,yes
572,d5:r70:peven:b2,retarded,d5:r37:peven:b2,473,1,VISIBLE,yes
573,d5:r71:podd:b0,retarded,d5:r41:peven:b2,485,1,VISIBLE,yes
573,d5:r71:podd:b0,advanced,d4:r47:podd:b0,258,1/1,VISIBLE,yes
574,d5:r71:peven:b1,retarded,d5:r41:peven:b2,485,1,VISIBLE,yes
574,d5:r71:peven:b1,advanced,d4:r47:podd:b0,258,1/1,VISIBLE,yes
575,d5:r71:peven:b2,retarded,d5:r41:peven:b2,485,1,VISIBLE,yes
575,d5:r71:peven:b2,advanced,d4:r47:podd:b0,258,1/1,VISIBLE,yes
576,d5:r72:podd:b0,retarded,d5:r45:peven:b2,497,1,VISIBLE,yes
577,d5:r72:peven:b1,retarded,d5:r45:peven:b2,497,1,VISIBLE,yes
578,d5:r72:peven:b2,retarded,d5:r45:peven:b2,497,1,VISIBLE,yes
579,d5:r73:podd:b0,retarded,d5:r49:peven:b2,509,1,VISIBLE,yes
580,d5:r73:peven:b1,retarded,d5:r49:peven:b2,509,1,VISIBLE,yes
581,d5:r73:peven:b2,retarded,d5:r49:peven:b2,509,1,VISIBLE,yes
582,d5:r74:podd:b0,retarded,d5:r53:peven:b2,521,1,VISIBLE,yes
582,d5:r74:podd:b0,advanced,d4:r49:podd:b0,264,1/1,VISIBLE,yes
583,d5:r74:peven:b1,retarded,d5:r53:peven:b2,521,1,VISIBLE,yes
583,d5:r74:peven:b1,advanced,d4:r49:podd:b0,264,1/1,VISIBLE,yes
584,d5:r74:peven:b2,retarded,d5:r53:peven:b2,521,1,VISIBLE,yes
584,d5:r74:peven:b2,advanced,d4:r49:podd:b0,264,1/1,VISIBLE,yes
585,d5:r75:podd:b0,retarded,d5:r57:peven:b2,533,1,VISIBLE,yes
586,d5:r75:peven:b1,retarded,d5:r57:peven:b2,533,1,VISIBLE,yes
587,d5:r75:peven:b2,retarded,d5:r57:peven:b2,533,1,VISIBLE,yes
588,d5:r76:podd:b0,retarded,d5:r61:peven:b2,545,1,VISIBLE,yes
589,d5:r76:peven:b1,retarded,d5:r61:peven:b2,545,1,VISIBLE,yes
590,d5:r76:peven:b2,retarded,d5:r61:peven:b2,545,1,VISIBLE,yes
591,d5:r77:podd:b0,retarded,d5:r65:peven:b2,557,1,VISIBLE,yes
591,d5:r77:podd:b0,advanced,d4:r51:podd:b0,270,1/1,VISIBLE,yes
592,d5:r77:peven:b1,retarded,d5:r65:peven:b2,557,1,VISIBLE,yes
592,d5:r77:peven:b1,advanced,d4:r51:podd:b0,270,1/1,VISIBLE,yes
593,d5:r77:peven:b2,retarded,d5:r65:peven:b2,557,1,VISIBLE,yes
593,d5:r77:peven:b2,advanced,d4:r51:podd:b0,270,1/1,VISIBLE,yes
594,d5:r78:podd:b0,retarded,d5:r69:peven:b2,569,1,VISIBLE,yes
595,d5:r78:peven:b1,retarded,d5:r69:peven:b2,569,1,VISIBLE,yes
596,d5:r78:peven:b2,retarded,d5:r69:peven:b2,569,1,VISIBLE,yes
597,d5:r79:podd:b0,retarded,d5:r73:peven:b2,581,1,VISIBLE,yes
598,d5:r79:peven:b1,retarded,d5:r73:peven:b2,581,1,VISIBLE,yes
599,d5:r79:peven:b2,retarded,d5:r73:peven:b2,581,1,VISIBLE,yes
600,d5:r80:podd:b0,retarded,d5:r77:peven:b2,593,1,VISIBLE,yes
600,d5:r80:podd:b0,advanced,d4:r53:podd:b0,276,1/1,VISIBLE,yes
601,d5:r80:peven:b1,retarded,d5:r77:peven:b2,593,1,VISIBLE,yes
601,d5:r80:peven:b1,advanced,d4:r53:podd:b0,276,1/1,VISIBLE,yes
602,d5:r80:peven:b2,retarded,d5:r77:peven:b2,593,1,VISIBLE,yes
602,d5:r80:peven:b2,advanced,d4:r53:podd:b0,276,1/1,VISIBLE,yes
603,d5:r81:podd:b0,retarded,d5:r81:peven:b2,605,1,VISIBLE,yes
604,d5:r81:peven:b1,retarded,d5:r81:peven:b2,605,1,VISIBLE,yes
605,d5:r81:peven:b2,retarded,d5:r81:peven:b2,605,1,VISIBLE,yes
606,d5:r82:podd:b0,retarded,d5:r85:peven:b2,617,1,VISIBLE,yes
607,d5:r82:peven:b1,retarded,d5:r85:peven:b2,617,1,VISIBLE,yes
608,d5:r82:peven:b2,retarded,d5:r85:peven:b2,617,1,VISIBLE,yes
609,d5:r83:podd:b0,retarded,d5:r89:peven:b2,629,1,VISIBLE,yes
609,d5:r83:podd:b0,advanced,d4:r55:podd:b0,282,1/1,VISIBLE,yes
610,d5:r83:peven:b1,retarded,d5:r89:peven:b2,629,1,VISIBLE,yes
610,d5:r83:peven:b1,advanced,d4:r55:podd:b0,282,1/1,VISIBLE,yes
611,d5:r83:peven:b2,retarded,d5:r89:peven:b2,629,1,VISIBLE,yes
611,d5:r83:peven:b2,advanced,d4:r55:podd:b0,282,1/1,VISIBLE,yes
612,d5:r84:podd:b0,retarded,d5:r93:peven:b2,641,1,VISIBLE,yes
613,d5:r84:peven:b1,retarded,d5:r93:peven:b2,641,1,VISIBLE,yes
614,d5:r84:peven:b2,retarded,d5:r93:peven:b2,641,1,VISIBLE,yes
615,d5:r85:podd:b0,retarded,d5:r97:peven:b2,653,1,VISIBLE,yes
616,d5:r85:peven:b1,retarded,d5:r97:peven:b2,653,1,VISIBLE,yes
617,d5:r85:peven:b2,retarded,d5:r97:peven:b2,653,1,VISIBLE,yes
618,d5:r86:podd:b0,retarded,d5:r101:peven:b2,665,1,VISIBLE,yes
618,d5:r86:podd:b0,advanced,d4:r57:podd:b0,288,1/1,VISIBLE,yes
619,d5:r86:peven:b1,retarded,d5:r101:peven:b2,665,1,VISIBLE,yes
619,d5:r86:peven:b1,advanced,d4:r57:podd:b0,288,1/1,VISIBLE,yes
620,d5:r86:peven:b2,retarded,d5:r101:peven:b2,665,1,VISIBLE,yes
620,d5:r86:peven:b2,advanced,d4:r57:podd:b0,288,1/1,VISIBLE,yes
621,d5:r87:podd:b0,retarded,d5:r105:peven:b2,677,1,VISIBLE,yes
622,d5:r87:peven:b1,retarded,d5:r105:peven:b2,677,1,VISIBLE,yes
623,d5:r87:peven:b2,retarded,d5:r105:peven:b2,677,1,VISIBLE,yes
624,d5:r88:podd:b0,retarded,d5:r109:peven:b2,689,1,VISIBLE,yes
625,d5:r88:peven:b1,retarded,d5:r109:peven:b2,689,1,VISIBLE,yes
626,d5:r88:peven:b2,retarded,d5:r109:peven:b2,689,1,VISIBLE,yes
627,d5:r89:podd:b0,retarded,d5:r113:peven:b2,701,1,VISIBLE,yes
627,d5:r89:podd:b0,advanced,d4:r59:podd:b0,294,1/1,VISIBLE,yes
628,d5:r89:peven:b1,retarded,d5:r113:peven:b2,701,1,VISIBLE,yes
628,d5:r89:peven:b1,advanced,d4:r59:podd:b0,294,1/1,VISIBLE,yes
629,d5:r89:peven:b2,retarded,d5:r113:peven:b2,701,1,VISIBLE,yes
629,d5:r89:peven:b2,advanced,d4:r59:podd:b0,294,1/1,VISIBLE,yes
630,d5:r90:podd:b0,retarded,d5:r117:peven:b2,713,1,VISIBLE,yes
631,d5:r90:peven:b1,retarded,d5:r117:peven:b2,713,1,VISIBLE,yes
632,d5:r90:peven:b2,retarded,d5:r117:peven:b2,713,1,VISIBLE,yes
633,d5:r91:podd:b0,retarded,d5:r121:peven:b2,725,1,VISIBLE,yes
634,d5:r91:peven:b1,retarded,d5:r121:peven:b2,725,1,VISIBLE,yes
635,d5:r91:peven:b2,retarded,d5:r121:peven:b2,725,1,VISIBLE,yes
636,d5:r92:podd:b0,retarded,d5:r125:peven:b2,737,1,VISIBLE,yes
636,d5:r92:podd:b0,advanced,d4:r61:podd:b0,300,1/1,VISIBLE,yes
637,d5:r92:peven:b1,retarded,d5:r125:peven:b2,737,1,VISIBLE,yes
637,d5:r92:peven:b1,advanced,d4:r61:podd:b0,300,1/1,VISIBLE,yes
638,d5:r92:peven:b2,retarded,d5:r125:peven:b2,737,1,VISIBLE,yes
638,d5:r92:peven:b2,advanced,d4:r61:podd:b0,300,1/1,VISIBLE,yes
639,d5:r93:podd:b0,retarded,d5:r129:peven:b2,749,1,VISIBLE,yes
640,d5:r93:peven:b1,retarded,d5:r129:peven:b2,749,1,VISIBLE,yes
641,d5:r93:peven:b2,retarded,d5:r129:peven:b2,749,1,VISIBLE,yes
642,d5:r94:podd:b0,retarded,d5:r133:peven:b2,761,1,VISIBLE,yes
643,d5:r94:peven:b1,retarded,d5:r133:peven:b2,761,1,VISIBLE,yes
644,d5:r94:peven:b2,retarded,d5:r133:peven:b2,761,1,VISIBLE,yes
645,d5:r95:podd:b0,retarded,d5:r137:peven:b2,773,1,VISIBLE,yes
645,d5:r95:podd:b0,advanced,d4:r63:podd:b0,306,1/1,VISIBLE,yes
646,d5:r95:peven:b1,retarded,d5:r137:peven:b2,773,1,VISIBLE,yes
646,d5:r95:peven:b1,advanced,d4:r63:podd:b0,306,1/1,VISIBLE,yes
647,d5:r95:peven:b2,retarded,d5:r137:peven:b2,773,1,VISIBLE,yes
647,d5:r95:peven:b2,advanced,d4:r63:podd:b0,306,1/1,VISIBLE,yes
648,d5:r96:podd:b0,retarded,d5:r141:peven:b2,785,1,VISIBLE,yes
649,d5:r96:peven:b1,retarded,d5:r141:peven:b2,785,1,VISIBLE,yes
650,d5:r96:peven:b2,retarded,d5:r141:peven:b2,785,1,VISIBLE,yes
651,d5:r97:podd:b0,retarded,d5:r145:peven:b2,797,1,VISIBLE,yes
652,d5:r97:peven:b1,retarded,d5:r145:peven:b2,797,1,VISIBLE,yes
653,d5:r97:peven:b2,retarded,d5:r145:peven:b2,797,1,VISIBLE,yes
654,d5:r98:podd:b0,retarded,d5:r149:peven:b2,809,1,VISIBLE,yes
654,d5:r98:podd:b0,advanced,d4:r65:podd:b0,312,1/1,VISIBLE,yes
655,d5:r98:peven:b1,retarded,d5:r149:peven:b2,809,1,VISIBLE,yes
655,d5:r98:peven:b1,advanced,d4:r65:podd:b0,312,1/1,VISIBLE,yes
656,d5:r98:peven:b2,retarded,d5:r149:peven:b2,809,1,VISIBLE,yes
656,d5:r98:peven:b2,advanced,d4:r65:podd:b0,312,1/1,VISIBLE,yes
657,d5:r99:podd:b0,retarded,d5:r153:peven:b2,821,1,VISIBLE,yes
658,d5:r99:peven:b1,retarded,d5:r153:peven:b2,821,1,VISIBLE,yes
659,d5:r99:peven:b2,retarded,d5:r153:peven:b2,821,1,VISIBLE,yes
660,d5:r100:podd:b0,retarded,d5:r157:peven:b2,833,1,VISIBLE,yes
661,d5:r100:peven:b1,retarded,d5:r157:peven:b2,833,1,VISIBLE,yes
662,d5:r100:peven:b2,retarded,d5:r157:peven:b2,833,1,VISIBLE,yes
663,d5:r101:podd:b0,retarded,d5:r161:peven:b2,845,1,VISIBLE,yes
663,d5:r101:podd:b0,advanced,d4:r67:podd:b0,318,1/1,VISIBLE,yes
664,d5:r101:peven:b1,retarded,d5:r161:peven:b2,845,1,VISIBLE,yes
664,d5:r101:peven:b1,advanced,d4:r67:podd:b0,318,1/1,VISIBLE,yes
665,d5:r101:peven:b2,retarded,d5:r161:peven:b2,845,1,VISIBLE,yes
665,d5:r101:peven:b2,advanced,d4:r67:podd:b0,318,1/1,VISIBLE,yes
666,d5:r102:podd:b0,retarded,d5:r165:peven:b2,857,1,VISIBLE,yes
667,d5:r102:peven:b1,retarded,d5:r165:peven:b2,857,1,VISIBLE,yes
668,d5:r102:peven:b2,retarded,d5:r165:peven:b2,857,1,VISIBLE,yes
669,d5:r103:podd:b0,retarded,d5:r169:peven:b2,869,1,VISIBLE,yes
670,d5:r103:peven:b1,retarded,d5:r169:peven:b2,869,1,VISIBLE,yes
671,d5:r103:peven:b2,retarded,d5:r169:peven:b2,869,1,VISIBLE,yes
672,d5:r104:podd:b0,retarded,d5:r173:peven:b2,881,1,VISIBLE,yes
672,d5:r104:podd:b0,advanced,d4:r69:podd:b0,324,1/1,VISIBLE,yes
673,d5:r104:peven:b1,retarded,d5:r173:peven:b2,881,1,VISIBLE,yes
673,d5:r104:peven:b1,advanced,d4:r69:podd:b0,324,1/1,VISIBLE,yes
674,d5:r104:peven:b2,retarded,d5:r173:peven:b2,881,1,VISIBLE,yes
674,d5:r104:peven:b2,advanced,d4:r69:podd:b0,324,1/1,VISIBLE,yes
675,d5:r105:podd:b0,retarded,d5:r177:peven:b2,893,1,VISIBLE,yes
676,d5:r105:peven:b1,retarded,d5:r177:peven:b2,893,1,VISIBLE,yes
677,d5:r105:peven:b2,retarded,d5:r177:peven:b2,893,1,VISIBLE,yes
678,d5:r106:podd:b0,retarded,d5:r181:peven:b2,905,1,VISIBLE,yes
679,d5:r106:peven:b1,retarded,d5:r181:peven:b2,905,1,VISIBLE,yes
680,d5:r106:peven:b2,retarded,d5:r181:peven:b2,905,1,VISIBLE,yes
681,d5:r107:podd:b0,retarded,d5:r185:peven:b2,917,1,VISIBLE,yes
681,d5:r107:podd:b0,advanced,d4:r71:podd:b0,330,1/1,VISIBLE,yes
682,d5:r107:peven:b1,retarded,d5:r185:peven:b2,917,1,VISIBLE,yes
682,d5:r107:peven:b1,advanced,d4:r71:podd:b0,330,1/1,VISIBLE,yes
683,d5:r107:peven:b2,retarded,d5:r185:peven:b2,917,1,VISIBLE,yes
683,d5:r107:peven:b2,advanced,d4:r71:podd:b0,330,1/1,VISIBLE,yes
684,d5:r108:podd:b0,retarded,d5:r189:peven:b2,929,1,VISIBLE,yes
685,d5:r108:peven:b1,retarded,d5:r189:peven:b2,929,1,VISIBLE,yes
686,d5:r108:peven:b2,retarded,d5:r189:peven:b2,929,1,VISIBLE,yes
687,d5:r109:podd:b0,retarded,d5:r193:peven:b2,941,1,VISIBLE,yes
688,d5:r109:peven:b1,retarded,d5:r193:peven:b2,941,1,VISIBLE,yes
689,d5:r109:peven:b2,retarded,d5:r193:peven:b2,941,1,VISIBLE,yes
690,d5:r110:podd:b0,retarded,d5:r197:peven:b2,953,1,VISIBLE,yes
690,d5:r110:podd:b0,advanced,d4:r73:podd:b0,336,1/1,VISIBLE,yes
691,d5:r110:peven:b1,retarded,d5:r197:peven:b2,953,1,VISIBLE,yes
691,d5:r110:peven:b1,advanced,d4:r73:podd:b0,336,1/1,VISIBLE,yes
692,d5:r110:peven:b2,retarded,d5:r197:peven:b2,953,1,VISIBLE,yes
692,d5:r110:peven:b2,advanced,d4:r73:podd:b0,336,1/1,VISIBLE,yes
693,d5:r111:podd:b0,retarded,d5:r201:peven:b2,965,1,VISIBLE,yes
694,d5:r111:peven:b1,retarded,d5:r201:peven:b2,965,1,VISIBLE,yes
695,d5:r111:peven:b2,retarded,d5:r201:peven:b2,965,1,VISIBLE,yes
696,d5:r112:podd:b0,retarded,d5:r205:peven:b2,977,1,VISIBLE,yes
697,d5:r112:peven:b1,retarded,d5:r205:peven:b2,977,1,VISIBLE,yes
698,d5:r112:peven:b2,retarded,d5:r205:peven:b2,977,1,VISIBLE,yes
699,d5:r113:podd:b0,retarded,d5:r209:peven:b2,989,1,VISIBLE,yes
699,d5:r113:podd:b0,advanced,d4:r75:podd:b0,342,1/1,VISIBLE,yes
700,d5:r113:peven:b1,retarded,d5:r209:peven:b2,989,1,VISIBLE,yes
700,d5:r113:peven:b1,advanced,d4:r75:podd:b0,342,1/1,VISIBLE,yes
701,d5:r113:peven:b2,retarded,d5:r209:peven:b2,989,1,VISIBLE,yes
701,d5:r113:peven:b2,advanced,d4:r75:podd:b0,342,1/1,VISIBLE,yes
702,d5:r114:podd:b0,retarded,d5:r213:peven:b2,1001,1,VISIBLE,yes
703,d5:r114:peven:b1,retarded,d5:r213:peven:b2,1001,1,VISIBLE,yes
704,d5:r114:peven:b2,retarded,d5:r213:peven:b2,1001,1,VISIBLE,yes
705,d5:r115:podd:b0,retarded,d5:r217:peven:b2,1013,1,VISIBLE,yes
706,d5:r115:peven:b1,retarded,d5:r217:peven:b2,1013,1,VISIBLE,yes
707,d5:r115:peven:b2,retarded,d5:r217:peven:b2,1013,1,VISIBLE,yes
708,d5:r116:podd:b0,retarded,d5:r221:peven:b2,1025,1,VISIBLE,yes
708,d5:r116:podd:b0,advanced,d4:r77:podd:b0,348,1/1,VISIBLE,yes
709,d5:r116:peven:b1,retarded,d5:r221:peven:b2,1025,1,VISIBLE,yes
709,d5:r116:peven:b1,advanced,d4:r77:podd:b0,348,1/1,VISIBLE,yes
710,d5:r116:peven:b2,retarded,d5:r221:peven:b2,1025,1,VISIBLE,yes
710,d5:r116:peven:b2,advanced,d4:r77:podd:b0,348,1/1,VISIBLE,yes
711,d5:r117:podd:b0,retarded,d5:r225:peven:b2,1037,1,VISIBLE,yes
712,d5:r117:peven:b1,retarded,d5:r225:peven:b2,1037,1,VISIBLE,yes
713,d5:r117:peven:b2,retarded,d5:r225:peven:b2,1037,1,VISIBLE,yes
714,d5:r118:podd:b0,retarded,d5:r229:peven:b2,1049,1,VISIBLE,yes
715,d5:r118:peven:b1,retarded,d5:r229:peven:b2,1049,1,VISIBLE,yes
716,d5:r118:peven:b2,retarded,d5:r229:peven:b2,1049,1,VISIBLE,yes
717,d5:r119:podd:b0,retarded,d5:r233:peven:b2,1061,1,VISIBLE,yes
717,d5:r119:podd:b0,advanced,d4:r79:podd:b0,354,1/1,VISIBLE,yes
718,d5:r119:peven:b1,retarded,d5:r233:peven:b2,1061,1,VISIBLE,yes
718,d5:r119:peven:b1,advanced,d4:r79:podd:b0,354,1/1,VISIBLE,yes
719,d5:r119:peven:b2,retarded,d5:r233:peven:b2,1061,1,VISIBLE,yes
719,d5:r119:peven:b2,advanced,d4:r79:podd:b0,354,1/1,VISIBLE,yes
720,d5:r120:podd:b0,retarded,d5:r237:peven:b2,1073,1,VISIBLE,yes
721,d5:r120:peven:b1,retarded,d5:r237:peven:b2,1073,1,VISIBLE,yes
722,d5:r120:peven:b2,retarded,d5:r237:peven:b2,1073,1,VISIBLE,yes
723,d5:r121:podd:b0,retarded,d5:r241:peven:b2,1085,1,VISIBLE,yes
724,d5:r121:peven:b1,retarded,d5:r241:peven:b2,1085,1,VISIBLE,yes
725,d5:r121:peven:b2,retarded,d5:r241:peven:b2,1085,1,VISIBLE,yes
726,d5:r122:podd:b0,retarded,d5:r2:peven:b2,368,1,VISIBLE,yes
726,d5:r122:podd:b0,advanced,d4:r0:podd:b0,117,1/1,VISIBLE,yes
727,d5:r122:peven:b1,retarded,d5:r2:peven:b2,368,1,VISIBLE,yes
727,d5:r122:peven:b1,advanced,d4:r0:podd:b0,117,1/1,VISIBLE,yes
728,d5:r122:peven:b2,retarded,d5:r2:peven:b2,368,1,VISIBLE,yes
728,d5:r122:peven:b2,advanced,d4:r0:podd:b0,117,1/1,VISIBLE,yes
729,d5:r123:podd:b0,retarded,d5:r6:peven:b2,380,1,VISIBLE,yes
730,d5:r123:peven:b1,retarded,d5:r6:peven:b2,380,1,VISIBLE,yes
731,d5:r123:peven:b2,retarded,d5:r6:peven:b2,380,1,VISIBLE,yes
732,d5:r124:podd:b0,retarded,d5:r10:peven:b2,392,1,VISIBLE,yes
733,d5:r124:peven:b1,retarded,d5:r10:peven:b2,392,1,VISIBLE,yes
734,d5:r124:peven:b2,retarded,d5:r10:peven:b2,392,1,VISIBLE,yes
735,d5:r125:podd:b0,retarded,d5:r14:peven:b2,404,1,VISIBLE,yes
735,d5:r125:podd:b0,advanced,d4:r2:podd:b0,123,1/1,VISIBLE,yes
736,d5:r125:peven:b1,retarded,d5:r14:peven:b2,404,1,VISIBLE,yes
736,d5:r125:peven:b1,advanced,d4:r2:podd:b0,123,1/1,VISIBLE,yes
737,d5:r125:peven:b2,retarded,d5:r14:peven:b2,404,1,VISIBLE,yes
737,d5:r125:peven:b2,advanced,d4:r2:podd:b0,123,1/1,VISIBLE,yes
738,d5:r126:podd:b0,retarded,d5:r18:peven:b2,416,1,VISIBLE,yes
739,d5:r126:peven:b1,retarded,d5:r18:peven:b2,416,1,VISIBLE,yes
740,d5:r126:peven:b2,retarded,d5:r18:peven:b2,416,1,VISIBLE,yes
741,d5:r127:podd:b0,retarded,d5:r22:peven:b2,428,1,VISIBLE,yes
742,d5:r127:peven:b1,retarded,d5:r22:peven:b2,428,1,VISIBLE,yes
743,d5:r127:peven:b2,retarded,d5:r22:peven:b2,428,1,VISIBLE,yes
744,d5:r128:podd:b0,retarded,d5:r26:peven:b2,440,1,VISIBLE,yes
744,d5:r128:podd:b0,advanced,d4:r4:podd:b0,129,1/1,VISIBLE,yes
