phase,modulus,parent_class,parent_residue,y,roots_lift0,roots_lift1,roots_lift2,target_mass_lift0,target_mass_lift1,target_mass_lift2,target_mass_total,advanced_mass_lift0,advanced_mass_lift1,advanced_mass_lift2,advanced_mass_total,advanced_share_lift0_fraction,advanced_share_lift1_fraction,advanced_share_lift2_fraction,advanced_share_lift0,advanced_share_lift1,advanced_share_lift2,min_advanced_share,max_advanced_share,advanced_capture_fraction,advanced_total_nonzero
calibration,108,8,80,9,32,32,32,1306704,297408,98933,1703045,1301600,292149,91105,1684854,650800/842427,32461/187206,91105/1684854,0.772529845316,0.173397220175,0.054072934509,0.054072934509,0.772529845316,1684854/1703045,True
calibration,108,8,80,10,32,32,32,2609772,587985,196461,3394218,2600249,578174,180842,3359265,2600249/3359265,25138/146055,180842/3359265,0.774052955036,0.172113245010,0.053833799953,0.053833799953,0.774052955036,1119755/1131406,True
calibration,108,8,89,8,32,32,32,43273,27433,39551,110257,38704,21034,22928,82666,19352/41333,10517/41333,11464/41333,0.468197324172,0.254445600368,0.277357075460,0.254445600368,0.468197324172,82666/110257,True
calibration,108,8,89,9,32,32,32,86290,53645,82985,222920,76685,41220,50320,168225,15337/33645,2748/11215,10064/33645,0.455847822856,0.245028979046,0.299123198098,0.245028979046,0.455847822856,33645/44584,True
calibration,108,8,89,10,32,32,32,170222,108352,166359,444933,150472,83493,101274,335239,150472/335239,83493/335239,101274/335239,0.448849924979,0.249055151698,0.302094923323,0.249055151698,0.448849924979,335239/444933,True
calibration,108,8,98,8,32,32,32,61639,104413,183705,349757,59121,98906,179754,337781,59121/337781,98906/337781,179754/337781,0.175027606645,0.292811022526,0.532161370829,0.175027606645,0.532161370829,337781/349757,True
calibration,108,8,98,9,32,32,32,125384,208914,367145,701443,120823,198402,357709,676934,120823/676934,99201/338467,357709/676934,0.178485642618,0.293089134244,0.528425223138,0.178485642618,0.528425223138,676934/701443,True
calibration,108,8,98,10,32,32,32,249240,416224,734464,1399928,240177,395352,715983,1351512,80059/450504,5491/18771,238661/450504,0.177709853853,0.292525704544,0.529764441603,0.177709853853,0.529764441603,168939/174991,True
calibration,108,8,107,8,32,32,32,326729,51488,289172,667389,323789,48630,286602,659021,323789/659021,48630/659021,286602/659021,0.491318182577,0.073791275240,0.434890542183,0.073791275240,0.491318182577,659021/667389,True
calibration,108,8,107,9,32,32,32,651346,109945,574765,1336056,645923,104304,569330,1319557,645923/1319557,104304/1319557,33490/77621,0.489499885189,0.079044709702,0.431455405109,0.079044709702,0.489499885189,1319557/1336056,True
calibration,108,8,107,10,32,32,32,1301371,220324,1153822,2675517,1290870,209497,1141701,2642068,645435/1321034,209497/2642068,103791/240188,0.488583185596,0.079292811540,0.432124002864,0.079292811540,0.488583185596,6556/6639,True
