phase,interval_lower,interval_upper_exclusive,modulus,parent_class,parent_residue,lift,a,c,advanced_child,y,x,xAdv,target_count,advanced_count,interval_hook,root_residue_hook,lift_index_hook,integral_c_hook,route_hook,window_hook,member_count_transfer_hook,all_hooks
calibration,1,10369,36,2,2,0,2270,1513,3026,10,2324480,2323968,4043,2135,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,2378,1585,3170,8,608768,608640,1181,1060,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,2378,1585,3170,9,1217536,1217280,2263,2043,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,2378,1585,3170,10,2435072,2434560,4490,4048,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,2486,1657,3314,8,636416,636288,2612,2109,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,2486,1657,3314,9,1272832,1272576,5281,4249,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,2486,1657,3314,10,2545664,2545152,10138,8166,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,2594,1729,3458,8,664064,663936,2086,1862,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,2594,1729,3458,9,1328128,1327872,4144,3742,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,2594,1729,3458,10,2656256,2655744,8068,7324,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,2702,1801,3602,8,691712,691584,749,611,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,2702,1801,3602,9,1383424,1383168,1431,1148,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,2702,1801,3602,10,2766848,2766336,2868,2274,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,2810,1873,3746,8,719360,719232,1878,1429,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,2810,1873,3746,9,1438720,1438464,3838,2968,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,2810,1873,3746,10,2877440,2876928,7683,5873,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,2918,1945,3890,8,747008,746880,1504,1125,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,2918,1945,3890,9,1494016,1493760,2876,2158,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,2918,1945,3890,10,2988032,2987520,6356,4619,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,3026,2017,4034,8,774656,774528,721,575,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,3026,2017,4034,9,1549312,1549056,1463,1193,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,3026,2017,4034,10,3098624,3098112,2740,2238,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,3134,2089,4178,8,802304,802176,2529,1893,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,3134,2089,4178,9,1604608,1604352,4854,3690,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,3134,2089,4178,10,3209216,3208704,9173,7074,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,3242,2161,4322,8,829952,829824,620,444,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,3242,2161,4322,9,1659904,1659648,1167,861,True,True,True,True,True,True,True,True
