mode,row_kind,retarded_mode,auxiliary_mode,target,slack
8726,D2,15221,,347353089/100000000,842303370877/165491750700000000
8729,D3,15233,5819,358106793/100000000,8672768519440955387001756601/1654917507000000000000000000000000
8732,D1,15245,5081,40922663/10000000,185944366466436689235997/31029703256250000000000000000
8735,D2,15257,,38736897/25000000,282163532663/124118813025000000
8738,D3,15269,5825,295920873/25000000,28697917646423944983128356271/1654917507000000000000000000000000
8741,D1,15281,5093,1309014237/100000000,88094401378577319828293/4596993075000000000000000000
8744,D2,15293,,7306387/6250000,53122348373/31029703256250000
8747,D3,15305,5831,1490085717/50000000,72218360179204896120145308661/1654917507000000000000000000000000
8750,D1,15317,5105,136483073/25000000,124077895252524666478327/15514851628125000000000000000
8753,D2,15329,,14026891/5000000,101945957789/24823762605000000
8756,D3,15341,5837,421512487/100000000,3828846012712250197464712997/620594065125000000000000000000000
8759,D1,15353,5117,219322607/50000000,9838170457580859988449/1532331025000000000000000000
8762,D2,15365,,89028589/50000000,646721177131/248237626050000000
8765,D3,15377,5843,43193119/6250000,5026825508856489876457459357/496475252100000000000000000000000
8768,D1,15389,5129,461869019/50000000,279893743744716327466489/20686468837500000000000000000
8771,D2,15401,,1461719/1000000,10637756401/4964752521000000
8774,D3,15413,5849,214418841/25000000,31176055186155799161325410217/2482376260500000000000000000000000
8777,D1,15425,5141,122949523/25000000,59595153552101900660423/8274587535000000000000000000
8780,D2,15437,,40869869/25000000,296449310251/124118813025000000
8783,D3,15449,5855,58415751/25000000,3399141784754727960655089121/992950504200000000000000000000000
8786,D1,15461,5153,445268431/100000000,1053064099908823189787/161613037792968750000000000
8789,D2,15473,,99658433/50000000,723524340407/248237626050000000
8792,D3,15485,5861,829968269/100000000,60315971513342741265691156759/4964752521000000000000000000000000
8795,D1,15497,5165,86135783/12500000,31309547541213601918291/3102970325625000000000000000
8798,D2,15509,,14899583/10000000,4005144491/1838797230000000
8801,D3,15521,5867,347660797/100000000,25304619907993129427051071243/4964752521000000000000000000000000
8804,D1,15533,5177,593972219/100000000,1079836498055463762773629/124118813025000000000000000000
8807,D2,15545,,89898241/25000000,653361784439/124118813025000000
8810,D3,15557,5873,9013757/2000000,10934652683873880906104298719/1654917507000000000000000000000000
8813,D1,15569,5189,88208723/20000000,200558795330662970193139/31029703256250000000000000000
8816,D2,15581,,158443759/100000000,1149668033561/496475252100000000
8819,D3,15593,5879,965837401/100000000,35116899486994270811650463329/2482376260500000000000000000000000
8822,D1,15605,5201,141415667/20000000,214099127602695608067719/20686468837500000000000000000
8825,D2,15617,,195623591/100000000,1422615677089/496475252100000000
8828,D3,15629,5885,136963819/25000000,4971834404724439448303689163/620594065125000000000000000000000
8831,D1,15641,5213,232283233/50000000,168872454488913262896989/24823762605000000000000000000
8834,D2,15653,,302484309/100000000,2198729307011/496475252100000000
8837,D3,15665,5891,21274173/4000000,4291966694178603846668804119/551639169000000000000000000000000
8840,D1,15677,5225,422255309/100000000,127887783631941661699151/20686468837500000000000000000
8843,D2,15689,,338474543/100000000,2462546427097/496475252100000000
8846,D3,15701,5897,340424669/50000000,6192240296507431849025572597/620594065125000000000000000000000
8849,D1,15713,5237,175693717/20000000,53219582703555001276621/4137293767500000000000000000
8852,D2,15725,,193167569/100000000,467477269517/165491750700000000
8855,D3,15737,5903,1274720091/100000000,10299910261806101516443250179/551639169000000000000000000000000
8858,D1,15749,5249,72337931/20000000,43831602816127048127527/8274587535000000000000000000
8861,D2,15761,,184217253/100000000,1339956555187/496475252100000000
8864,D3,15773,5909,294553979/100000000,21424242079356978436170064733/4964752521000000000000000000000000
8867,D1,15785,5261,387705979/100000000,352516179105240332537611/62059406512500000000000000000
8870,D2,15797,,279100737/100000000,2029166292023/496475252100000000
8873,D3,15809,5915,786099679/100000000,9527071110230200921283341657/827458753500000000000000000000000
8876,D1,15821,5273,294821403/50000000,214215291391202971833403/24823762605000000000000000000
8879,D2,15833,,70423869/25000000,511643676251/124118813025000000
8882,D3,15845,5921,1011047597/100000000,18384310982180943405420157763/1241188130250000000000000000000000
8885,D1,15857,5285,691649903/50000000,1256486067575083489545197/62059406512500000000000000000
8888,D2,15869,,50872533/25000000,370338594307/124118813025000000
8891,D3,15881,5927,66713859/10000000,215564015822564643341808043/22065566760000000000000000000000
8894,D1,15893,5297,87088679/25000000,632348287957258974675599/124118813025000000000000000000
8897,D2,15905,,34963171/25000000,254235595909/124118813025000000
8900,D3,15917,5933,1120561513/100000000,81489142855171548912465335549/4964752521000000000000000000000000
8903,D1,15929,5309,224448327/20000000,2039856207833328492989677/124118813025000000000000000000
8906,D2,15941,,27017907/20000000,196349606453/99295050420000000
8909,D3,15953,5939,1761871031/100000000,1581405172919544962451628259/61293241000000000000000000000000
8912,D1,15965,5321,15479177/2500000,1125340853044308268657717/124118813025000000000000000000
8915,D2,15977,,175162661/25000000,1272815181619/124118813025000000
8918,D3,15989,5945,407901083/100000000,29642419489480362344002014719/4964752521000000000000000000000000
8921,D1,16001,5333,209950649/50000000,42364140183140653180249/6895489612500000000000000000
8924,D2,16013,,196768999/100000000,476320034507/165491750700000000
8927,D3,16025,5951,5015507/1000000,3648823663943488113363414403/496475252100000000000000000000000
8930,D1,16037,5345,1046420341/50000000,1901656375743352070040833/62059406512500000000000000000
8933,D2,16049,,120476097/100000000,873699009463/496475252100000000
8936,D3,16061,5957,917361197/100000000,823388063519505502081965341/61293241000000000000000000000000
8939,D1,16073,5357,124662719/25000000,25150629047300776981231/3447744806250000000000000000
8942,D2,16085,,82507/40000,598629853/198590100840000
8945,D3,16097,5963,241282477/50000000,38959827026041890588860233/5516391690000000000000000000000
8948,D1,16109,5369,34546591/6250000,251141089707473825462897/31029703256250000000000000000
8951,D2,16121,,92564327/50000000,672172081633/248237626050000000
8954,D3,16133,5969,735109281/50000000,106882100777535773905521415469/4964752521000000000000000000000000
8957,D1,16145,5381,290685371/50000000,351981137165864464415123/41372937675000000000000000000
8960,D2,16157,,27246343/25000000,21989191033/13790979225000000
8963,D3,16169,5975,610488177/100000000,346899602765236863278872793/38787129070312500000000000000000
8966,D1,16181,5393,346383943/50000000,419617371084179761063571/41372937675000000000000000000
8969,D2,16193,,172484351/50000000,1253939701129/248237626050000000
8972,D3,16205,5981,172361329/50000000,835458177282057083843961971/165491750700000000000000000000000
8975,D1,16217,5405,294743057/50000000,1070478910774191286206017/124118813025000000000000000000
8978,D2,16229,,112957233/100000000,273566021869/165491750700000000
8981,D3,16241,5987,1340543587/100000000,9744042483645953285523951983/496475252100000000000000000000000
8984,D1,16253,5417,1032035753/100000000,937669718744907122016847/62059406512500000000000000000
8987,D2,16265,,162366583/100000000,1179324594257/496475252100000000
8990,D3,16277,5993,2281051001/100000000,2763519850920592861013270939/82745875350000000000000000000000
8993,D1,16289,5429,265543029/50000000,483040494550059251290099/62059406512500000000000000000
8996,D2,16301,,8376373/1000000,60887413667/4964752521000000
8999,D3,16313,5999,799906403/100000000,14544314380099059131449183237/1241188130250000000000000000000000
9002,D1,16325,5441,72772987/20000000,660612484128588512412301/124118813025000000000000000000
9005,D2,16337,,282081931/100000000,2052339201949/496475252100000000
9008,D3,16349,6005,2007763/312500,324625219723503254292862853/34477448062500000000000000000000
9011,D1,16361,5453,1533196091/100000000,929004553924526600995769/41372937675000000000000000000
9014,D2,16373,,154612323/100000000,374269361239/165491750700000000
9017,D3,16385,6011,1282494037/100000000,9321888997576324345793268307/496475252100000000000000000000000
9020,D1,16397,5465,474026583/100000000,561178098230499044129/80806518896484375000000000
9023,D2,16409,,190158843/100000000,1384025306797/496475252100000000
9026,D3,16421,6017,235962413/100000000,8604200493513865423210848811/2482376260500000000000000000000000
9029,D1,16433,5477,253257741/50000000,76729646641978402619737/10343234418750000000000000000
9032,D2,16445,,175185919/100000000,1271801048201/496475252100000000
9035,D3,16457,6023,595222639/100000000,43308018441483950775352071689/4964752521000000000000000000000000
9038,D1,16469,5489,618016037/100000000,56159955467169535326067/6205940651250000000000000000
9041,D2,16481,,67894421/50000000,6091091539/3064662050000000
9044,D3,16493,6029,121854413/25000000,1312718386848685280986204429/183879723000000000000000000000000
9047,D1,16505,5501,185410069/25000000,1347422624484148309495043/124118813025000000000000000000
9050,D2,16517,,322140807/100000000,2339529775553/496475252100000000
9053,D3,16529,6035,88998591/25000000,38374158847923529166078731/7355188920000000000000000000000
9056,D1,16541,5513,85165597/12500000,16508091239598615887801/1654917507000000000000000000
9059,D2,16553,,72508269/50000000,527088903851/248237626050000000
9062,D3,16565,6041,12260887/1250000,14268282483612304744574009393/992950504200000000000000000000000
9065,D1,16577,5525,71225949/10000000,647334555619246633025171/62059406512500000000000000000
9068,D2,16589,,217773347/100000000,1581675142213/496475252100000000
9071,D3,16601,6047,124271113/12500000,72277144843029853441134346757/4964752521000000000000000000000000
9074,D1,16613,5537,434725411/100000000,24685923582088799294063/3878712907031250000000000000
9077,D2,16625,,90514917/25000000,658436144243/124118813025000000
9080,D3,16637,6053,22104083/4000000,1488993541499423610385431097/183879723000000000000000000000000
9083,D1,16649,5549,51345529/12500000,373492088724365101730849/62059406512500000000000000000
9086,D2,16661,,139471221/50000000,337844433953/82745875350000000
9089,D3,16673,6059,605974761/100000000,44089240986578351765775929951/4964752521000000000000000000000000
9092,D1,16685,5561,187820327/20000000,740910979182872188189/53871012597656250000000000
9095,D2,16697,,33000387/25000000,239847774373/124118813025000000
9098,D3,16709,6065,314653641/25000000,91453309923262474221930156319/4964752521000000000000000000000000
9101,D1,16721,5573,477270011/100000000,433595225485829394627631/62059406512500000000000000000
9104,D2,16733,,160383903/50000000,1166852930537/248237626050000000
9107,D3,16745,6071,5774829/1562500,8948355809080023023231763577/1654917507000000000000000000000000
9110,D1,16757,5585,527078139/100000000,319440785564224219497349/41372937675000000000000000000
9113,D2,16769,,248443307/100000000,602548724351/165491750700000000
9116,D3,16781,6077,829109827/100000000,60230981052222096266077009409/4964752521000000000000000000000000
9119,D1,16793,5597,645823053/100000000,130413360300480430321559/13790979225000000000000000000
9122,D2,16805,,96500181/50000000,77944810411/27581958450000000
9125,D3,16817,6083,533975877/50000000,77612448319754189890881318289/4964752521000000000000000000000000
9128,D1,16829,5609,111962207/10000000,2035622147218837364785069/124118813025000000000000000000
9131,D2,16841,,90491061/50000000,657572285219/248237626050000000
9134,D3,16853,6089,374220457/100000000,5437303811551458900332263273/992950504200000000000000000000000
9137,D1,16865,5621,47307247/10000000,860337222308013469158217/124118813025000000000000000000
9140,D2,16877,,136943889/100000000,331817235277/165491750700000000
9143,D3,16889,6095,917385089/50000000,26674838701411128121666300967/992950504200000000000000000000000
9146,D1,16901,5633,660395549/100000000,1199998848623209273277309/124118813025000000000000000000
9149,D2,16913,,119863467/100000000,96670661077/55163916900000000
9152,D3,16925,6101,860485959/50000000,41703272017736758893466124171/1654917507000000000000000000000000
9155,D1,16937,5645,174561679/25000000,1268574415690862572676299/124118813025000000000000000000
9158,D2,16949,,42252561/6250000,307056543719/31029703256250000
9161,D3,16961,6107,70632869/20000000,2141794851541829604008785499/413729376750000000000000000000000
9164,D1,16973,5657,582502971/100000000,176433945800121064231477/20686468837500000000000000000
9167,D2,16985,,223766433/100000000,1624848072407/496475252100000000
9170,D3,16997,6113,1267735153/100000000,30734150456278461641969844163/1654917507000000000000000000000000
9173,D1,17009,5669,10901443/1000000,15471961184012753700907/969678226757812500000000000
9176,D2,17021,,126751311/100000000,921972694969/496475252100000000
9179,D3,17033,6119,827614947/100000000,60174986437960625292622933357/4964752521000000000000000000000000
9182,D1,17045,5681,97486287/25000000,35448873664986596264663/6205940651250000000000000000
9185,D2,17057,,14012363/6250000,101770582877/31029703256250000
9188,D3,17069,6125,471688377/100000000,5722936693273529226290329631/827458753500000000000000000000000
9191,D1,17081,5693,79422629/20000000,24049841829168529530499/4137293767500000000000000000
9194,D2,17093,,7757441/6250000,56438741239/31029703256250000
9197,D3,17105,6131,1168768617/100000000,16995936702570718799889438943/992950504200000000000000000000000
9200,D1,17117,5705,283574059/50000000,1030895875381007715429457/124118813025000000000000000000
9203,D2,17129,,219908457/100000000,1596120029903/496475252100000000
9206,D3,17141,6137,91334073/20000000,8310858504579354606824047283/1241188130250000000000000000000000
9209,D1,17153,5717,159617089/25000000,1159377202213279723713247/124118813025000000000000000000
9212,D2,17165,,196133917/100000000,1426720645243/496475252100000000
9215,D3,17177,6143,4980781/1562500,5790486247347619954845115109/1241188130250000000000000000000000
9218,D1,17189,5729,14454051/3125000,420387086448364546394129/62059406512500000000000000000
9221,D2,17201,,137924517/100000000,334172180881/165491750700000000
9224,D3,17213,6149,500061367/50000000,4543484530905331825707837781/310297032562500000000000000000000
9227,D1,17225,5741,2527817689/100000000,4594761301779348009217481/124118813025000000000000000000
9230,D2,17237,,126404889/100000000,919070524831/496475252100000000
9233,D3,17249,6155,125126893/12500000,2695516450531206294047009903/183879723000000000000000000000000
9236,D1,17261,5753,707496133/100000000,160741827507077410375949/15514851628125000000000000000
9239,D2,17273,,356680807/100000000,2593854435553/496475252100000000
9242,D3,17285,6161,112343291/25000000,8161020727006630454389403021/1241188130250000000000000000000000
9245,D1,17297,5765,180831921/50000000,65708337503858778018697/12411881302500000000000000000
9248,D2,17309,,287987903/100000000,2095763246537/496475252100000000
9251,D3,17321,6167,298979307/50000000,2174410739531514086760531517/248237626050000000000000000000000
9254,D1,17333,5777,1548250311/100000000,281308362394216150646851/12411881302500000000000000000
9257,D2,17345,,13650621/10000000,99537034459/49647525210000000
9260,D3,17357,6173,82872171/10000000,15059233973414053593639528293/1241188130250000000000000000000000
9263,D1,17369,5789,362207637/100000000,82206359278946134932203/15514851628125000000000000000
9266,D2,17381,,193276539/100000000,1402949595181/496475252100000000
9269,D3,17393,6179,261680977/100000000,19039497722549971693980318833/4964752521000000000000000000000000
9272,D1,17405,5801,853824859/100000000,96991690818187782524111/7757425814062500000000000000
9275,D2,17417,,60954327/25000000,147520297211/41372937675000000
9278,D3,17429,6185,324185103/50000000,5235741387196167559984267541/551639169000000000000000000000000
9281,D1,17441,5813,332014021/50000000,603172793538573240326551/62059406512500000000000000000
9284,D2,17453,,71856433/50000000,521913182407/248237626050000000
9287,D3,17465,6191,427437599/100000000,1035556827032877344346106399/165491750700000000000000000000000
9290,D1,17477,5825,372704791/50000000,1355146981297842060847633/124118813025000000000000000000
9293,D2,17489,,46563737/12500000,338142069023/62059406512500000
9296,D3,17501,6197,318875663/100000000,2897403775625485316211618199/620594065125000000000000000000000
9299,D1,17513,5837,196985281/50000000,29824498889237232345859/5171617209375000000000000000
9302,D2,17525,,83006227/50000000,603643051733/248237626050000000
9305,D3,17537,6203,5173299/400000,11749607075410555044887638817/620594065125000000000000000000000
9308,D1,17549,5849,4397727/781250,511662940380272876645597/62059406512500000000000000000
9311,D2,17561,,134750619/100000000,326337813167/165491750700000000
9314,D3,17573,6209,914584993/100000000,16618821622317292895142552877/1241188130250000000000000000000000
9317,D1,17585,5861,573402823/100000000,1041537852904564234338019/124118813025000000000000000000
9320,D2,17597,,73718149/25000000,59545421819/13790979225000000
9323,D3,17609,6215,343098931/100000000,830744860320543285637119143/165491750700000000000000000000000
9326,D1,17621,5873,382294929/100000000,77306202745421983584793/13790979225000000000000000000
9329,D2,17633,,14346259/2500000,34740943687/4137293767500000
9332,D3,17645,6221,1162629/200000,10568774989820385990624451337/1241188130250000000000000000000000
9335,D1,17657,5885,154424631/20000000,175284218751561594066983/15514851628125000000000000000
9338,D2,17669,,126783637/100000000,307527567041/165491750700000000
9341,D3,17681,6227,90436209/5000000,4868341050575949676169956339/183879723000000000000000000000000
9344,D1,17693,5897,120637541/25000000,109696935183971512241177/15514851628125000000000000000
9347,D2,17705,,42280097/25000000,307831125463/124118813025000000
9350,D3,17717,6233,31539733/12500000,1836873585555637150246071719/496475252100000000000000000000000
9353,D1,17729,5909,537578171/100000000,977546095640911152072353/124118813025000000000000000000
9356,D2,17741,,159497169/100000000,1159314886951/496475252100000000
9359,D3,17753,6239,548413353/50000000,19930665421115881409223315281/1241188130250000000000000000000000
9362,D1,17765,5921,886660053/100000000,402936391354489985139583/31029703256250000000000000000
9365,D2,17777,,43154811/25000000,314094471469/124118813025000000
9368,D3,17789,6245,58267119/12500000,2116941100628324484279660127/310297032562500000000000000000000
9371,D1,17801,5933,723443743/100000000,1314562225477436853897409/124118813025000000000000000000
9374,D2,17813,,294348899/100000000,2140836175621/496475252100000000
9377,D3,17825,6251,10919567/2500000,15897956152146395693465246851/2482376260500000000000000000000000
9380,D1,17837,5945,215373147/50000000,87036290438151852078931/13790979225000000000000000000
9383,D2,17849,,65332011/50000000,158428583423/82745875350000000
9386,D3,17861,6257,451475117/25000000,131322228241891247932094400713/4964752521000000000000000000000000
9389,D1,17873,5957,383156269/50000000,1393189307090853112624561/124118813025000000000000000000
9392,D2,17885,,562738/390625,1363195834/646452151171875
9395,D3,17897,6263,326984711/25000000,10560548896946104329567287267/551639169000000000000000000000000
9398,D1,17909,5969,36707381/4000000,1667533563736585027966129/124118813025000000000000000000
9401,D2,17921,,35252947/10000000,256109070613/49647525210000000
9404,D3,17933,6269,163868971/50000000,7925030492543370626764498001/1654917507000000000000000000000000
9407,D1,17945,5981,239160039/50000000,28992516847953327852911/4137293767500000000000000000
9410,D2,17957,,12683219/6250000,30731784967/10343234418750000
9413,D3,17969,6275,133457703/20000000,48474112856898530180007269713/4964752521000000000000000000000000
9416,D1,17981,5993,32206421/2000000,146325835551328436412197/6205940651250000000000000000
9419,D2,17993,,14019943/12500000,101846473697/62059406512500000
9422,D3,18005,6281,1875590889/100000000,27269215187438145604173089719/992950504200000000000000000000000
9425,D1,18017,6005,106586317/25000000,48427503592028827665457/7757425814062500000000000000
9428,D2,18029,,109515759/50000000,797015521561/248237626050000000
9431,D3,18041,6287,33993447/10000000,4123301489585946313405357147/827458753500000000000000000000000
9434,D1,18053,6017,416354213/100000000,378873358053661547497351/62059406512500000000000000000
9437,D2,18065,,357561/200000,2594238719/992950504200000
9440,D3,18077,6293,1074412593/100000000,78112768226027256296025011891/4964752521000000000000000000000000
9443,D1,18089,6029,795383433/100000000,1445282519693627103456203/124118813025000000000000000000
9446,D2,18101,,98486261/50000000,714616386019/248237626050000000
9449,D3,18113,6299,166447243/25000000,1615114518859063747872817219/165491750700000000000000000000000
9452,D1,18125,6041,15738057/2500000,228898229846406817169413/24823762605000000000000000000
9455,D2,18137,,288845767/100000000,2099706571393/496475252100000000
9458,D3,18149,6305,317924559/100000000,2565685615238233435893016693/551639169000000000000000000000000
9461,D1,18161,6053,48060207/10000000,873936184751930429321279/124118813025000000000000000000
9464,D2,18173,,23505497/20000000,171391892063/99295050420000000
9467,D3,18185,6311,1795139457/100000000,3626456716125170269980325069/137909792250000000000000000000000
9470,D1,18197,6065,878223023/100000000,531744196024108766891993/41372937675000000000000000000
9473,D2,18209,,66047433/50000000,480507671407/248237626050000000
9476,D3,18221,6317,359645999/25000000,6971123259153694560798051211/330983501400000000000000000000000
9479,D1,18233,6077,663835587/100000000,1206288631888892926811669/124118813025000000000000000000
9482,D2,18245,,289201549/100000000,2102925144971/496475252100000000
9485,D3,18257,6323,612254893/100000000,14849587092741131575310271581/1654917507000000000000000000000000
9488,D1,18269,6089,169905607/50000000,123490023521757741166493/24823762605000000000000000000
9491,D2,18281,,240036179/100000000,193686504749/55163916900000000
9494,D3,18293,6329,135627927/25000000,4927053578442633885680593529/620594065125000000000000000000000
9497,D1,18305,6101,583719677/50000000,2121235007756808847169333/124118813025000000000000000000
9500,D2,18317,,156645069/100000000,1141180031051/496475252100000000
9503,D3,18329,6335,221943201/25000000,6454863610854024307133969611/496475252100000000000000000000000
9506,D1,18341,6113,153479909/20000000,17222070876059179515629/1532331025000000000000000000
9509,D2,18353,,24549661/12500000,178660554619/62059406512500000
9512,D3,18365,6341,24106597/10000000,3503066638159726357270242421/992950504200000000000000000000000
9515,D1,18377,6125,734917859/100000000,668334018357627308778913/62059406512500000000000000000
9518,D2,18389,,3778233/2000000,9150774869/3309835014000000
9521,D3,18401,6347,689521063/100000000,25069399705908266739871322819/2482376260500000000000000000000000
9524,D1,18413,6137,153097571/25000000,92736551922558894787301/10343234418750000000000000000
9527,D2,18425,,493259/400000,3590644061/1985901008400000
9530,D3,18437,6353,369528049/100000000,4481389312092788327184150419/827458753500000000000000000000000
9533,D1,18449,6149,65158717/10000000,73958843777116832992121/7757425814062500000000000000
9536,D2,18461,,283264891/100000000,2062296959789/496475252100000000
9539,D3,18473,6359,91259777/20000000,76805508910217745591365971/11492482687500000000000000000000
9542,D1,18485,6161,397654339/100000000,180687815781010708290961/31029703256250000000000000000
9545,D2,18497,,185000371/100000000,1344891814709/496475252100000000
9548,D3,18509,6365,648406151/50000000,1472798783013084546725335777/77574258140625000000000000000000
9551,D1,18521,6173,582831397/100000000,264708332806346773834313/31029703256250000000000000000
9554,D2,18533,,166768729/100000000,134519253799/55163916900000000
9557,D3,18545,6371,632902783/100000000,46027799119338771433863744151/4964752521000000000000000000000000
9560,D1,18557,6185,463428491/100000000,842143387444767889894529/124118813025000000000000000000
9563,D2,18569,,27032323/6250000,65512421239/10343234418750000
9566,D3,18581,6377,24766267/5000000,36008466343497069006355322269/4964752521000000000000000000000000
9569,D1,18593,6197,115959601/25000000,105328542715055317001059/15514851628125000000000000000
9572,D2,18605,,254854897/100000000,1853230054663/496475252100000000
9575,D3,18617,6383,140935221/20000000,1897871947227739542586617089/183879723000000000000000000000000
9578,D1,18629,6209,230603553/25000000,139711135279693824220219/10343234418750000000000000000
9581,D2,18641,,49310381/20000000,358738779499/99295050420000000
9584,D3,18653,6389,1220536013/100000000,5547851749298868856484741959/310297032562500000000000000000000
9587,D1,18665,6221,40115773/10000000,60780919481674568747839/10343234418750000000000000000
9590,D2,18677,,102063409/50000000,247221798637/82745875350000000
9593,D3,18689,6395,34665449/12500000,1681433595820636584580543109/413729376750000000000000000000000
9596,D1,18701,6233,346403129/100000000,21012292172353161915793/4137293767500000000000000000
9599,D2,18713,,5891041/3125000,14264645213/5171617209375000
9602,D3,18725,6401,168847561/20000000,6134594367633056490599909197/496475252100000000000000000000000
9605,D1,18737,6245,284530191/50000000,21551123989100917010969/2585808604687500000000000000
9608,D2,18749,,23371831/10000000,169842364049/49647525210000000
9611,D3,18761,6407,238530051/50000000,11547086831509265776267463273/1654917507000000000000000000000000
9614,D1,18773,6257,546054419/50000000,661863656357026480048511/41372937675000000000000000000
9617,D2,18785,,44200049/25000000,321698926471/124118813025000000
9620,D3,18797,6413,542594213/100000000,13159556527538668041673051651/1654917507000000000000000000000000
9623,D1,18809,6269,159018547/50000000,577362259651361865149423/124118813025000000000000000000
9626,D2,18821,,159212879/100000000,1160009082041/496475252100000000
9629,D3,18833,6419,242169277/20000000,88011217043788287434426945593/4964752521000000000000000000000000
9632,D1,18845,6281,318511693/25000000,154408994782492721761793/8274587535000000000000000000
9635,D2,18857,,20697829/12500000,150293023091/62059406512500000
9638,D3,18869,6425,3294575223/100000000,119745706807924716635263561969/2482376260500000000000000000000000
9641,D1,18881,6293,20024839/3125000,129353930176672019187959/13790979225000000000000000000
9644,D2,18893,,379502919/100000000,919389297067/165491750700000000
9647,D3,18905,6431,45157787/12500000,26256556619388417521569879439/4964752521000000000000000000000000
9650,D1,18917,6305,53657297/12500000,779869430361257815288417/124118813025000000000000000000
9653,D2,18929,,5881999/3125000,14228743507/5171617209375000
9656,D3,18941,6437,600448317/100000000,2183358016922057568698043469/248237626050000000000000000000000
9659,D1,18953,6317,734180323/50000000,533702196905957017107253/24823762605000000000000000000
9662,D2,18965,,149423211/100000000,361763945023/165491750700000000
9665,D3,18977,6443,714592349/50000000,103926100666137732875928015497/4964752521000000000000000000000000
9668,D1,18989,6329,88936357/25000000,8971745985834254663621/1723872403125000000000000000
9671,D2,19001,,45779949/20000000,333350998571/99295050420000000
9674,D3,19013,6449,252057581/50000000,12221054643597905567897759671/1654917507000000000000000000000000
9677,D1,19025,6341,192342859/50000000,139824655639008507646361/24823762605000000000000000000
9680,D2,19037,,159614987/100000000,1161302367773/496475252100000000
9683,D3,19049,6455,603053599/50000000,43834707723212137842218169413/2482376260500000000000000000000000
9686,D1,19061,6353,699793219/100000000,635828322700068621032237/62059406512500000000000000000
9689,D2,19073,,6932191/6250000,50356696489/31029703256250000
9692,D3,19085,6461,153449111/25000000,22315071913487157536514078263/2482376260500000000000000000000000
9695,D1,19097,6365,51902451/6250000,7862790528311974516519/646452151171875000000000000
9698,D2,19109,,308666403/100000000,748252582679/165491750700000000
9701,D3,19121,6467,21829361/6250000,5078090466620925824519337283/992950504200000000000000000000000
9704,D1,19133,6377,244760019/50000000,889449330750150430824929/124118813025000000000000000000
9707,D2,19145,,35388007/25000000,256633584353/124118813025000000
9710,D3,19157,6473,354307479/25000000,103039442822572995878505925171/4964752521000000000000000000000000
9713,D1,19169,6389,177148513/20000000,100638039498759362851219/7757425814062500000000000000
9716,D2,19181,,8624391/6250000,62740660289/31029703256250000
9719,D3,19193,6479,1261781467/50000000,30571630182189003308805476089/827458753500000000000000000000000
9722,D1,19205,6401,344939317/50000000,125302911588432432701777/12411881302500000000000000000
9725,D2,19217,,403720993/100000000,2934222626647/496475252100000000
9728,D3,19229,6485,157841499/25000000,637954660317997318797774211/68954896125000000000000000000000
9731,D1,19241,6413,442830047/100000000,804677751061550040093373/124118813025000000000000000000
9734,D2,19253,,135341289/50000000,983041860431/248237626050000000
9737,D3,19265,6491,102101941/12500000,59401019724379448817995089709/4964752521000000000000000000000000
9740,D1,19277,6425,1036688749/50000000,1884276184731898843122629/62059406512500000000000000000
9743,D2,19289,,7798453/6250000,18902783329/10343234418750000
9746,D3,19301,6497,154438993/20000000,56100313573674560686408707281/4964752521000000000000000000000000
9749,D1,19313,6437,206269077/50000000,37490858070033552514129/6205940651250000000000000000
9752,D2,19325,,1110423/390625,2687124539/646452151171875
9755,D3,19337,6503,235048773/100000000,1067860569714642512787945889/310297032562500000000000000000000
9758,D1,19349,6449,672085439/100000000,1221660388445709001485833/124118813025000000000000000000
9761,D2,19361,,118042411/50000000,856802831869/248237626050000000
9764,D3,19373,6509,676080737/100000000,49172662812470255667551545727/4964752521000000000000000000000000
9767,D1,19385,6461,114959989/20000000,522158923354900610430083/62059406512500000000000000000
9770,D2,19397,,72553849/50000000,528068996671/248237626050000000
9773,D3,19409,6515,205170701/50000000,2487079924773434440282840801/413729376750000000000000000000000
9776,D1,19421,6473,919022917/100000000,1669736536393501392664111/124118813025000000000000000000
9779,D2,19433,,402288397/100000000,2927625201163/496475252100000000
9782,D3,19445,6521,94254271/25000000,338557484936622580828994641/61293241000000000000000000000000
9785,D1,19457,6485,511614109/100000000,38747758581791034936253/5171617209375000000000000000
9788,D2,19469,,142611779/100000000,38380942783/18387972300000000
9791,D3,19481,6527,23105233/1562500,26880813905172329316560873747/1241188130250000000000000000000000
9794,D1,19493,6497,34207363/6250000,994417838528118373091621/124118813025000000000000000000
9797,D2,19505,,42897211/25000000,311543881069/124118813025000000
9800,D3,19517,6533,192261909/25000000,149094690326465975789278643/13239340056000000000000000000000
9803,D1,19529,6509,237173137/50000000,862445859545058360902507/124118813025000000000000000000
9806,D2,19541,,274943283/100000000,1999393733557/496475252100000000
9809,D3,19553,6539,1983636/390625,2306001715696965854490456779/310297032562500000000000000000000
9812,D1,19565,6521,461540739/100000000,839533258170668728759861/124118813025000000000000000000
9815,D2,19577,,119130337/50000000,864651670423/248237626050000000
9818,D3,19589,6545,291255967/50000000,42325333965304620403282100143/4964752521000000000000000000000000
9821,D1,19601,6533,125890811/12500000,14644710490047789150989/992950504200000000000000000
9824,D2,19613,,94971669/50000000,230302890817/82745875350000000
9827,D3,19625,6551,1114024567/50000000,40497897476722953005391525677/1241188130250000000000000000000000
