mode,row_kind,retarded_mode,auxiliary_mode,target,slack
6044,D2,4493,,120964071/100000000,878752327009/496475252100000000
6047,D3,4505,4031,786526931/100000000,57169350634363387305368559043/4964752521000000000000000000000000
6050,D1,4517,1505,322465459/50000000,586558925018727608321077/62059406512500000000000000000
6053,D2,4529,,55051571/12500000,399892739509/62059406512500000
6056,D3,4541,4037,40830791/12500000,2633135450863309323680759219/551639169000000000000000000000000
6059,D1,4553,1517,407598507/100000000,9146886416546032109129/1532331025000000000000000000
6062,D2,4565,,6932559/5000000,16822589587/8274587535000000
6065,D3,4577,4043,446770587/50000000,8122360173161949032050915711/620594065125000000000000000000000
6068,D1,4589,1529,948089373/100000000,344638613013508226941703/24823762605000000000000000000
6071,D2,4601,,19900229/10000000,144863772691/49647525210000000
6074,D3,4613,4049,41141579/2500000,119648004865722476770805637629/4964752521000000000000000000000000
6077,D1,4625,1541,551913013/100000000,111537424521783398514641/13790979225000000000000000000
6080,D2,4637,,184345593/50000000,1341218010047/248237626050000000
6083,D3,4649,4055,735463173/100000000,10698842904737044239766640639/992950504200000000000000000000000
6086,D1,4661,1553,460274523/100000000,208951827406964196968551/31029703256250000000000000000
6089,D2,4673,,196243103/100000000,1423651887337/496475252100000000
6092,D3,4685,4061,683907737/100000000,6214815075557529833402280727/620594065125000000000000000000000
6095,D1,4697,1565,187233323/12500000,272311603332544606427969/12411881302500000000000000000
6098,D2,4709,,121725381/100000000,294336854833/165491750700000000
6101,D3,4721,4067,43513197/3125000,101242837886757511543267925671/4964752521000000000000000000000000
6104,D1,4733,1577,190117499/50000000,230525640429830743288429/41372937675000000000000000000
6107,D2,4745,,50551429/25000000,122344032497/41372937675000000
6110,D3,4757,4073,261054973/100000000,6319176525560893688195227781/1654917507000000000000000000000000
6113,D1,4769,1589,1178970353/100000000,2142952983724077677335693/124118813025000000000000000000
6116,D2,4781,,19944319/6250000,144865121801/31029703256250000
