source_id,source,channel,child_mod3,target_id,target,weight_decimal,weight_formula,memberwise_precedent
113,d5:r37:peven:b2,retarded,,446,d5:r148:peven:b2,0.308641975308642,rho_star^(-2),retarded core
114,d5:r38:podd:b0,retarded,,458,d5:r152:peven:b2,0.308641975308642,rho_star^(-2),retarded core
114,d5:r38:podd:b0,advanced_parity_lift_c1,1,151,d5:r50:peven:b1,0.783524061400317,rho_star^(log_2(3)-1)*rho_star^(-1),row22 parity lift
115,d5:r38:peven:b1,retarded,,458,d5:r152:peven:b2,0.308641975308642,rho_star^(-2),retarded core
115,d5:r38:peven:b1,advanced_parity_lift_c1,1,151,d5:r50:peven:b1,0.783524061400317,rho_star^(log_2(3)-1)*rho_star^(-1),row22 parity lift
116,d5:r38:peven:b2,retarded,,458,d5:r152:peven:b2,0.308641975308642,rho_star^(-2),retarded core
116,d5:r38:peven:b2,advanced_parity_lift_c1,1,151,d5:r50:peven:b1,0.783524061400317,rho_star^(log_2(3)-1)*rho_star^(-1),row22 parity lift
117,d5:r39:podd:b0,retarded,,470,d5:r156:peven:b2,0.308641975308642,rho_star^(-2),retarded core
118,d5:r39:peven:b1,retarded,,470,d5:r156:peven:b2,0.308641975308642,rho_star^(-2),retarded core
119,d5:r39:peven:b2,retarded,,470,d5:r156:peven:b2,0.308641975308642,rho_star^(-2),retarded core
120,d5:r40:podd:b0,retarded,,482,d5:r160:peven:b2,0.308641975308642,rho_star^(-2),retarded core
121,d5:r40:peven:b1,retarded,,482,d5:r160:peven:b2,0.308641975308642,rho_star^(-2),retarded core
122,d5:r40:peven:b2,retarded,,482,d5:r160:peven:b2,0.308641975308642,rho_star^(-2),retarded core
123,d5:r41:podd:b0,retarded,,494,d5:r164:peven:b2,0.308641975308642,rho_star^(-2),retarded core
124,d5:r41:peven:b1,retarded,,494,d5:r164:peven:b2,0.308641975308642,rho_star^(-2),retarded core
125,d5:r41:peven:b2,retarded,,494,d5:r164:peven:b2,0.308641975308642,rho_star^(-2),retarded core
126,d5:r42:podd:b0,retarded,,506,d5:r168:peven:b2,0.308641975308642,rho_star^(-2),retarded core
127,d5:r42:peven:b1,retarded,,506,d5:r168:peven:b2,0.308641975308642,rho_star^(-2),retarded core
128,d5:r42:peven:b2,retarded,,506,d5:r168:peven:b2,0.308641975308642,rho_star^(-2),retarded core
129,d5:r43:podd:b0,retarded,,518,d5:r172:peven:b2,0.308641975308642,rho_star^(-2),retarded core
130,d5:r43:peven:b1,retarded,,518,d5:r172:peven:b2,0.308641975308642,rho_star^(-2),retarded core
131,d5:r43:peven:b2,retarded,,518,d5:r172:peven:b2,0.308641975308642,rho_star^(-2),retarded core
