a,c,x,qAdv,xAdv,target_count,retarded_count,advanced_full_count,advanced_window_count,e5_numerator,e5_gap,deterministic_atom_gap,advanced_window_gap,closure_percent,partition_ok,pairwise_disjoint_ok,advanced_subset_ok,gap_identity_ok,route_hooks_ok,window_hooks_ok,all_hooks_ok,target_sha256,retarded_sha256,advanced_full_sha256,advanced_window_sha256,advanced_boundary_examples
98,65,12544,64,12480,840,35,803,803,839,1,1,0,99.880952381,yes,yes,yes,yes,yes,yes,yes,0308a822f53c024a0291bfb9310f99f43b57562a5c1ccddef01a4e28de6f582e,af941442876b4c4853b1386105a2e5fb033d198c086f83dd7cd014ec60efd58a,2375e4b38417aedbcc1deec2b335f95076efee561457c3cd04b1c59d87385e35,2375e4b38417aedbcc1deec2b335f95076efee561457c3cd04b1c59d87385e35,
107,71,13696,64,13632,1774,32,1740,1724,1757,17,1,16,99.041713641,yes,yes,yes,yes,yes,yes,yes,59c42c50b7d5eca73e46f7736cd48a018a69d36447f5a6c555ac181ad57fb153,3c98330dbc8b6bee7a319d2fbc1ea27727d737568f6b3a6c07633ffe141101ab,ff7cac08e8f43f9a67e716c0727c8cc52e88ea06387c1a7f4dc3192d7a40cd22,31204a7087f4207bad471f3348e204c77a2cdd7a15dbfb6c0501807bce595063,2703 4055 5406 6083 8110 9105 9117 9125 10812 12166 13656 13658
116,77,14848,64,14784,533,56,475,475,532,1,1,0,99.812382739,yes,yes,yes,yes,yes,yes,yes,f962a2351dc3cf961fbd4ed5dd3341e9f8cf014a66841ac932e056f28b7bbd8f,272a5e50c53fcd56cde0fb48d8a3d06202f187a8fa19cd11ebfc54b4853244ed,87cedd8e872e491422077ebad0918e0587d4f5e681f1bd5e7c2a1467121143b2,87cedd8e872e491422077ebad0918e0587d4f5e681f1bd5e7c2a1467121143b2,
125,83,16000,64,15936,906,307,597,597,905,1,1,0,99.889624724,yes,yes,yes,yes,yes,yes,yes,3a761d85ef9a2011f815f482a320cbe0d6c528fcd2b15f5cfa8e1fde850b783e,1e7064a05126522edd06f81f4adfb41c251808b396636f4bd5ebcff68db4d3d0,8a5670490f2078b4ed125ac8cbabd5b7aa24b076763fccfc52288e439215e4c3,8a5670490f2078b4ed125ac8cbabd5b7aa24b076763fccfc52288e439215e4c3,
134,89,17152,64,17088,747,33,712,712,746,1,1,0,99.866131191,yes,yes,yes,yes,yes,yes,yes,1e6476e7c68ecc9f3074250db383283bf7077252f9d73c41a670866f9b171bd2,8aa28c70683a2e14c816ad77de453117eb175917dcf368ccc0cbb1d8e3039f21,d20fb594e2e2861c3a3a4fd1df539a13b8184e9a3857340389f5d557d3d4ff3b,d20fb594e2e2861c3a3a4fd1df539a13b8184e9a3857340389f5d557d3d4ff3b,
143,95,18304,64,18240,741,223,516,516,740,1,1,0,99.865047233,yes,yes,yes,yes,yes,yes,yes,d673dbe86229d97170f28cddca7d35f47dd83aa0c78332f6d3d990f97730b6c3,7f148c081354a52dff68bd01ceece4bc8c78237fd82aba0efe1b611bf2faf7b6,6704ce2e41afe57c2ef22aa02b079eb3889b880d2e87aa69ddc392bf85e8b72a,6704ce2e41afe57c2ef22aa02b079eb3889b880d2e87aa69ddc392bf85e8b72a,
152,101,19456,64,19392,1463,40,1421,1421,1462,1,1,0,99.931647300,yes,yes,yes,yes,yes,yes,yes,5044083fdf14f64893e047e0ce15979a160d476e8715f2dd20d80c1c1dd3af85,c80e28db201b502f2d189ac1cfaa20a8a21b73b069490a5cd0706371f5828398,2b3542e7b21e8603539a29f274d9a23686f9ed67c9e56aad50446a1f9917bafe,2b3542e7b21e8603539a29f274d9a23686f9ed67c9e56aad50446a1f9917bafe,
161,107,20608,64,20544,2639,32,2605,2587,2620,19,1,18,99.280030315,yes,yes,yes,yes,yes,yes,yes,0e568d70c0594cc421925904446a74e89447b9212843b8dd0c1f4a631052a6f2,2023c0ac2679273be8c0a34b121c44a5c4dda2a2eb7285b5422ba67a0435dfce,861d938bc866cd777b884668caba6ee0bdf5888baf14c668a250b413edac3229,91370396240af828b35b6ed59696ffeaaf892c5c658ff054de76c36a098065eb,6087 6103 8137 9131 9155 10849 12174 12206 13697 13733 16274 18262
170,113,21760,64,21696,351,50,299,299,350,1,1,0,99.715099715,yes,yes,yes,yes,yes,yes,yes,797f3a633d96dcde1da0c8e676695e6ad9436d7fe79c197ca16ce52575bbe3b6,9c36fff644553fe545edbdf3819af32824cd65c1a049f74d75b0c4e4589d071d,edce878c48307b5a01ac6221304d841b1fe0227d6c21edb5f97d10ffc51d1230,edce878c48307b5a01ac6221304d841b1fe0227d6c21edb5f97d10ffc51d1230,
179,119,22912,64,22848,619,38,579,579,618,1,1,0,99.838449111,yes,yes,yes,yes,yes,yes,yes,ba8572ab1e7b4aace35aec4e98ebdfa63f0ad2616d2d4a1a71e5559e1051afb7,b48abf96932a188d2918b1653abe8cfb6e20d4f647cbefee63d5c7e51b9f3a46,1168a164a54088d7851d637573f32d028440f6066e576b4e77599bfc3067937d,1168a164a54088d7851d637573f32d028440f6066e576b4e77599bfc3067937d,
188,125,24064,64,24000,1428,33,1393,1393,1427,1,1,0,99.929971989,yes,yes,yes,yes,yes,yes,yes,1366d207fa68db90a80942710aa3fa43529525da1e34c0df56e795432d301b2e,8d183c2bab44fb21b4168dc4a26c603ef912d4261a71e891b413a7a09cf54476,b40f19d93d1b31dabc63701f0d3247db4b73063534db7bd1e2786adedf98dbdf,b40f19d93d1b31dabc63701f0d3247db4b73063534db7bd1e2786adedf98dbdf,
197,131,25216,64,25152,443,91,350,350,442,1,1,0,99.774266366,yes,yes,yes,yes,yes,yes,yes,764a67035ee6131aa84c09eaa396854bd541cf95352fe30eec2f385e3094cd65,b1fb631a83d759302b5616fc13ef4b47238f0391ac3ebf30c3c3e751d1a0cff2,c0b9e49f18c9ddc5d3ddfcd4d0eee671fe1d1f7dc56aa0a45c78a416d264298f,c0b9e49f18c9ddc5d3ddfcd4d0eee671fe1d1f7dc56aa0a45c78a416d264298f,
206,137,26368,64,26304,5006,104,4900,4866,4971,35,1,34,99.300838993,yes,yes,yes,yes,yes,yes,yes,87d8b790a6939d7e6e56389ac3d6562b2ecfcc0a1e1d6292d2ea8617ca9eca73,f20a3dd40cc1fc9f90da3251deb1c87ba5ed2467f97603639f227d419a811139,32122ea512cacb90b9a4e936647dd057d0f15cffb92b226226146367c1935007,b308d821744d8511f00e05c57c033a55e589e5bf854b4e8a919f357bd2c62ac0,5199 7799 10398 11699 11715 15598 17541 17549 17553 17557 17565 17573
215,143,27520,64,27456,1107,50,1055,1055,1106,1,1,0,99.909665763,yes,yes,yes,yes,yes,yes,yes,173e58ad2fe74ffb7ad19bab4985e6794ec2fcb871de5681261cb31cd040f831,dba697b5371a387f22dfa8965ea62867f5034867d290704248e5d22c397d1523,82c095032d575c8707cded68a8e092e2d2e7d152a872008920c420bb0a28f855,82c095032d575c8707cded68a8e092e2d2e7d152a872008920c420bb0a28f855,
224,149,28672,64,28608,325,114,209,209,324,1,1,0,99.692307692,yes,yes,yes,yes,yes,yes,yes,022c3bdc2c6389a3594502d16753e2e593bf1caf3511c4f2cf68d356fac807d2,6d22cf77e79740afac3fdaee06eeafe995ec674b03ba178f946b5ecfd76036b2,eea87d62b839e4e034888e19f54b4103bd9d842a06fe3281045790a1e02816b2,eea87d62b839e4e034888e19f54b4103bd9d842a06fe3281045790a1e02816b2,
233,155,29824,64,29760,5876,39,5835,5830,5870,6,1,5,99.897889721,yes,yes,yes,yes,yes,yes,yes,3798b2212c4073e2c6a08434d2e3be18ead319174787ca77fad8753252f59612,6bfdd4221b5913ff96ce622072e83805898c2dd560e5e73a1cf86fe0acafb311,9fb6e5c7e64fa20d859ef0f43edbd51c547a2e80d15f11362adafa7e586d25cb,b03f8b3a00507df76cc73e8223ecb698b06febcd018b38514d01fc8a87964f87,19857 29764 29784 29786 29788
242,161,30976,64,30912,4047,35,4010,3996,4032,15,1,14,99.629355078,yes,yes,yes,yes,yes,yes,yes,19c4d8c6eac6aaa9a51898f11d544b3a5fdac2a82d9b32936b5923259cfd752b,28011e98b598387c3cfa531b54204006e7e83e751616876e84485e5c79ab4f75,a29b1a6966de98901b7e1d296bb8cf87b168e0b13ebd39f350462d4c5e7bb797,2de708111a749064767153b15d4be6105a451a0c51b47fe0fd75a29a3cd4badc,20613 20629 20637 30916 30920 30922 30924 30944 30948 30952 30954 30956
251,167,32128,64,32064,6780,57,6721,6711,6769,11,1,10,99.837758112,yes,yes,yes,yes,yes,yes,yes,a6fc20be9cda9e8edc9b2a2bb5bb13ff56423eff1d2177f44ded168872626fbd,42b75ae4be6d430c0bb960a6080137f8b5208e3752f8d429f014e48e42909618,64853417a22c878f9a3f596e48e351b1bb4a6429e4095544f692043d02ef9eea,be24459296de3ef32afad711406f6426f9f42a81252c31592d54d82e99f2e8d5,14259 21389 21393 28518 32068 32080 32084 32088 32090 32092
