phase,modulus,parent_class,parent_residue,lift,q,a,c,advanced_child,y,x,xAdv,target_count,advanced_count,root_residue_hook,lift_index_hook,q_membership_hook,integral_c_hook,route_hook,window_hook,member_count_transfer_hook,all_hooks
calibration,36,2,11,0,4,443,295,590,8,113408,113280,1159,180,True,True,True,True,True,True,True,True
calibration,36,2,11,0,4,443,295,590,9,226816,226560,2266,333,True,True,True,True,True,True,True,True
calibration,36,2,11,0,4,443,295,590,10,453632,453120,4399,640,True,True,True,True,True,True,True,True
calibration,36,2,11,0,5,551,367,734,8,141056,140928,949,660,True,True,True,True,True,True,True,True
calibration,36,2,11,0,5,551,367,734,9,282112,281856,1879,1387,True,True,True,True,True,True,True,True
calibration,36,2,11,0,5,551,367,734,10,564224,563712,3760,2788,True,True,True,True,True,True,True,True
calibration,36,2,11,0,6,659,439,878,8,168704,168576,1136,302,True,True,True,True,True,True,True,True
calibration,36,2,11,0,6,659,439,878,9,337408,337152,2352,580,True,True,True,True,True,True,True,True
calibration,36,2,11,0,6,659,439,878,10,674816,674304,5076,1054,True,True,True,True,True,True,True,True
calibration,36,2,11,0,7,767,511,1022,8,196352,196224,3030,242,True,True,True,True,True,True,True,True
calibration,36,2,11,0,7,767,511,1022,9,392704,392448,6140,589,True,True,True,True,True,True,True,True
calibration,36,2,11,0,7,767,511,1022,10,785408,784896,12240,1175,True,True,True,True,True,True,True,True
calibration,36,2,11,1,0,47,31,62,8,12032,11904,1410,674,True,True,True,True,True,True,True,True
calibration,36,2,11,1,0,47,31,62,9,24064,23808,2849,1418,True,True,True,True,True,True,True,True
calibration,36,2,11,1,0,47,31,62,10,48128,47616,5549,2723,True,True,True,True,True,True,True,True
calibration,36,2,11,1,1,155,103,206,8,39680,39552,7671,7357,True,True,True,True,True,True,True,True
calibration,36,2,11,1,1,155,103,206,9,79360,79104,15109,14568,True,True,True,True,True,True,True,True
calibration,36,2,11,1,1,155,103,206,10,158720,158208,29705,28716,True,True,True,True,True,True,True,True
calibration,36,2,11,1,2,263,175,350,8,67328,67200,13162,12741,True,True,True,True,True,True,True,True
calibration,36,2,11,1,2,263,175,350,9,134656,134400,26246,25344,True,True,True,True,True,True,True,True
calibration,36,2,11,1,2,263,175,350,10,269312,268800,51982,50277,True,True,True,True,True,True,True,True
calibration,36,2,11,1,3,371,247,494,8,94976,94848,1389,707,True,True,True,True,True,True,True,True
