source_id,source,deep_lift,channel,target_id,target,weight_decimal,multiplicity
78,d5:r26:podd:b0,0,advanced_direct_c2,51,d5:r17:podd:b0,4.701144368401899420e-01,1/3
78,d5:r26:podd:b0,1,advanced_direct_c2,537,d5:r179:podd:b0,4.701144368401899420e-01,1/3
78,d5:r26:podd:b0,2,advanced_direct_c2,294,d5:r98:podd:b0,4.701144368401899420e-01,1/3
79,d5:r26:peven:b1,,retarded,314,d5:r104:peven:b2,3.086419753086419582e-01,1
79,d5:r26:peven:b1,0,advanced_direct_c2,51,d5:r17:podd:b0,4.701144368401899420e-01,1/3
79,d5:r26:peven:b1,1,advanced_direct_c2,537,d5:r179:podd:b0,4.701144368401899420e-01,1/3
79,d5:r26:peven:b1,2,advanced_direct_c2,294,d5:r98:podd:b0,4.701144368401899420e-01,1/3
80,d5:r26:peven:b2,,retarded,314,d5:r104:peven:b2,3.086419753086419582e-01,1
80,d5:r26:peven:b2,0,advanced_direct_c2,51,d5:r17:podd:b0,4.701144368401899420e-01,1/3
80,d5:r26:peven:b2,1,advanced_direct_c2,537,d5:r179:podd:b0,4.701144368401899420e-01,1/3
80,d5:r26:peven:b2,2,advanced_direct_c2,294,d5:r98:podd:b0,4.701144368401899420e-01,1/3
81,d5:r27:podd:b0,,retarded,326,d5:r108:peven:b2,3.086419753086419582e-01,1
82,d5:r27:peven:b1,,retarded,326,d5:r108:peven:b2,3.086419753086419582e-01,1
83,d5:r27:peven:b2,,retarded,326,d5:r108:peven:b2,3.086419753086419582e-01,1
84,d5:r28:podd:b0,,retarded,338,d5:r112:peven:b2,3.086419753086419582e-01,1
85,d5:r28:peven:b1,,retarded,338,d5:r112:peven:b2,3.086419753086419582e-01,1
86,d5:r28:peven:b2,,retarded,338,d5:r112:peven:b2,3.086419753086419582e-01,1
87,d5:r29:podd:b0,,retarded,350,d5:r116:peven:b2,3.086419753086419582e-01,1
87,d5:r29:podd:b0,0,advanced_parity_lift_c1,115,d5:r38:peven:b1,2.611746871334388875e-01,1/3
87,d5:r29:podd:b0,1,advanced_parity_lift_c1,358,d5:r119:peven:b1,2.611746871334388875e-01,1/3
87,d5:r29:podd:b0,2,advanced_parity_lift_c1,601,d5:r200:peven:b1,2.611746871334388875e-01,1/3
