component_id,size,spectral_radius_decimal,is_sink
190,1,0.000000000000000000e+00,no
191,1,0.000000000000000000e+00,no
192,1,0.000000000000000000e+00,no
193,1,0.000000000000000000e+00,no
194,1,0.000000000000000000e+00,no
195,1,0.000000000000000000e+00,no
196,1,0.000000000000000000e+00,no
197,1,0.000000000000000000e+00,no
198,1,0.000000000000000000e+00,no
199,1,0.000000000000000000e+00,no
200,1,0.000000000000000000e+00,no
201,1,0.000000000000000000e+00,no
202,1,0.000000000000000000e+00,no
203,1,0.000000000000000000e+00,no
204,1,0.000000000000000000e+00,no
205,1,0.000000000000000000e+00,no
206,1,0.000000000000000000e+00,no
207,1,0.000000000000000000e+00,no
208,1,0.000000000000000000e+00,no
209,1,0.000000000000000000e+00,no
210,1,0.000000000000000000e+00,no
211,1,0.000000000000000000e+00,no
212,1,0.000000000000000000e+00,no
213,1,0.000000000000000000e+00,no
214,1,0.000000000000000000e+00,no
215,1,0.000000000000000000e+00,no
216,1,0.000000000000000000e+00,no
217,1,3.086419753086419582e-01,yes
218,1,0.000000000000000000e+00,no
219,1,0.000000000000000000e+00,no
220,1,0.000000000000000000e+00,no
221,1,0.000000000000000000e+00,no
222,1,0.000000000000000000e+00,no
223,1,0.000000000000000000e+00,no
224,1,0.000000000000000000e+00,no
225,1,0.000000000000000000e+00,no
226,1,0.000000000000000000e+00,no
227,1,0.000000000000000000e+00,no
228,1,0.000000000000000000e+00,no
229,1,0.000000000000000000e+00,no
230,1,0.000000000000000000e+00,no
231,1,0.000000000000000000e+00,no
232,1,0.000000000000000000e+00,no
233,1,0.000000000000000000e+00,no
234,1,0.000000000000000000e+00,no
235,1,0.000000000000000000e+00,no
236,1,0.000000000000000000e+00,no
237,1,0.000000000000000000e+00,no
238,1,0.000000000000000000e+00,no
239,1,0.000000000000000000e+00,no
240,1,0.000000000000000000e+00,no
241,1,0.000000000000000000e+00,no
242,1,0.000000000000000000e+00,no
243,1,0.000000000000000000e+00,no
244,1,0.000000000000000000e+00,no
245,1,0.000000000000000000e+00,no
246,1,0.000000000000000000e+00,no
247,1,0.000000000000000000e+00,no
248,1,0.000000000000000000e+00,no
249,1,0.000000000000000000e+00,no
250,1,0.000000000000000000e+00,no
251,1,0.000000000000000000e+00,no
252,1,0.000000000000000000e+00,no
253,1,0.000000000000000000e+00,no
254,3,3.086419753086420137e-01,yes
255,1,0.000000000000000000e+00,no
256,1,0.000000000000000000e+00,no
257,1,0.000000000000000000e+00,no
258,1,0.000000000000000000e+00,no
259,1,0.000000000000000000e+00,no
260,1,0.000000000000000000e+00,no
261,1,0.000000000000000000e+00,no
262,1,0.000000000000000000e+00,no
263,1,0.000000000000000000e+00,no
264,1,0.000000000000000000e+00,no
265,1,0.000000000000000000e+00,no
266,1,0.000000000000000000e+00,no
267,1,0.000000000000000000e+00,no
268,1,0.000000000000000000e+00,no
269,1,0.000000000000000000e+00,no
270,1,0.000000000000000000e+00,no
271,1,0.000000000000000000e+00,no
272,1,0.000000000000000000e+00,no
273,1,0.000000000000000000e+00,no
274,1,0.000000000000000000e+00,no
