source_id,source,deep_lift,channel,tail_weight_decimal,multiplicity,tail_name
447,d5:r149:podd:b0,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
448,d5:r149:peven:b1,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
448,d5:r149:peven:b1,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
448,d5:r149:peven:b1,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
449,d5:r149:peven:b2,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
449,d5:r149:peven:b2,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
449,d5:r149:peven:b2,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
474,d5:r158:podd:b0,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
474,d5:r158:podd:b0,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
474,d5:r158:podd:b0,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
475,d5:r158:peven:b1,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
475,d5:r158:peven:b1,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
475,d5:r158:peven:b1,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
476,d5:r158:peven:b2,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
476,d5:r158:peven:b2,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
476,d5:r158:peven:b2,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
501,d5:r167:podd:b0,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
501,d5:r167:podd:b0,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
501,d5:r167:podd:b0,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
502,d5:r167:peven:b1,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
502,d5:r167:peven:b1,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
502,d5:r167:peven:b1,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
503,d5:r167:peven:b2,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
503,d5:r167:peven:b2,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
503,d5:r167:peven:b2,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
528,d5:r176:podd:b0,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
528,d5:r176:podd:b0,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
528,d5:r176:podd:b0,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
529,d5:r176:peven:b1,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
529,d5:r176:peven:b1,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
529,d5:r176:peven:b1,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
530,d5:r176:peven:b2,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
530,d5:r176:peven:b2,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
530,d5:r176:peven:b2,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
555,d5:r185:podd:b0,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
555,d5:r185:podd:b0,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
555,d5:r185:podd:b0,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
556,d5:r185:peven:b1,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
556,d5:r185:peven:b1,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
556,d5:r185:peven:b1,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
557,d5:r185:peven:b2,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
557,d5:r185:peven:b2,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
557,d5:r185:peven:b2,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
