core_local_id,state_id,v_integer,v_denominator,lhs_num,lhs_den,rhs_num,rhs_den,slack_num,slack_den,lhs_over_rhs_decimal,passes
67,205,2252783,1000000,337073624999999981315334819,156250000000000000000,110386367,50,7883771875000018684665181,156250000000000000000,0.9771456650982996,True
68,206,2252783,1000000,337073624999999981315334819,156250000000000000000,110386367,50,7883771875000018684665181,156250000000000000000,0.9771456650982996,True
69,213,43498420,1000000,83308431986380824911971222220372054607759,2000000000000000000000000000000000,213142258,5,1948471213619175088028777779627945392241,2000000000000000000000000000000000,0.9771458833186991,True
70,214,43498420,1000000,83308431986380824911971222220372054607759,2000000000000000000000000000000000,213142258,5,1948471213619175088028777779627945392241,2000000000000000000000000000000000,0.9771458833186991,True
71,215,43498420,1000000,83308431986380824911971222220372054607759,2000000000000000000000000000000000,213142258,5,1948471213619175088028777779627945392241,2000000000000000000000000000000000,0.9771458833186991,True
72,222,17998007,1000000,1378795610464029570937561243214773333869573,80000000000000000000000000000000000,881902343,50,32248138335970429062438756785226666130427,80000000000000000000000000000000000,0.9771458975929022,True
73,223,17998007,1000000,1378795610464029570937561243214773333869573,80000000000000000000000000000000000,881902343,50,32248138335970429062438756785226666130427,80000000000000000000000000000000000,0.9771458975929022,True
74,224,17998007,1000000,1378795610464029570937561243214773333869573,80000000000000000000000000000000000,881902343,50,32248138335970429062438756785226666130427,80000000000000000000000000000000000,0.9771458975929022,True
75,231,2458691,1000000,459853374999999974509407717,195312500000000000000,120475859,50,10755449218750025490592283,195312500000000000000,0.9771456703205577,True
76,232,2458691,1000000,459853374999999974509407717,195312500000000000000,120475859,50,10755449218750025490592283,195312500000000000000,0.9771456703205577,True
77,233,2458691,1000000,459853374999999974509407717,195312500000000000000,120475859,50,10755449218750025490592283,195312500000000000000,0.9771456703205577,True
78,240,34937748,1000000,2091030790381575484402500898334235306496443,62500000000000000000000000000000000,855974826,25,48906274618424515597499101665764693503557,62500000000000000000000000000000000,0.9771459285329849,True
79,241,34937748,1000000,2091030790381575484402500898334235306496443,62500000000000000000000000000000000,855974826,25,48906274618424515597499101665764693503557,62500000000000000000000000000000000,0.9771459285329849,True
80,242,34937748,1000000,2091030790381575484402500898334235306496443,62500000000000000000000000000000000,855974826,25,48906274618424515597499101665764693503557,62500000000000000000000000000000000,0.9771459285329849,True
81,249,9354366,1000000,716621486368505255320725405087962822161251,80000000000000000000000000000000000,229181967,25,16760808031494744679274594912037177838749,80000000000000000000000000000000000,0.9771458785418221,True
82,250,9354366,1000000,716621486368505255320725405087962822161251,80000000000000000000000000000000000,229181967,25,16760808031494744679274594912037177838749,80000000000000000000000000000000000,0.9771458785418221,True
83,251,9354366,1000000,716621486368505255320725405087962822161251,80000000000000000000000000000000000,229181967,25,16760808031494744679274594912037177838749,80000000000000000000000000000000000,0.9771458785418221,True
84,258,7190791,1000000,2689813374999999850898264997,390625000000000000000,352348759,50,62911304687500149101735003,390625000000000000000,0.9771458056987224,True
85,259,7190791,1000000,2689813374999999850898264997,390625000000000000000,352348759,50,62911304687500149101735003,390625000000000000000,0.9771458056987224,True
86,260,7190791,1000000,2689813374999999850898264997,390625000000000000000,352348759,50,62911304687500149101735003,390625000000000000000,0.9771458056987224,True
87,267,13527934,1000000,3238597789266531058159726775870611143518763,250000000000000000000000000000000000,331434383,25,75746040733468941840273224129388856481237,250000000000000000000000000000000000,0.9771459919010669,True
88,268,13527934,1000000,3238597789266531058159726775870611143518763,250000000000000000000000000000000000,331434383,25,75746040733468941840273224129388856481237,250000000000000000000000000000000000,0.9771459919010669,True
89,269,13527934,1000000,3238597789266531058159726775870611143518763,250000000000000000000000000000000000,331434383,25,75746040733468941840273224129388856481237,250000000000000000000000000000000000,0.9771459919010669,True
90,276,8301473,1000000,12719224218094708386616823116506015561519,1600000000000000000000000000000000,406772177,50,297485445905291613383176883493984438481,1600000000000000000000000000000000,0.9771458799048088,True
91,277,8301473,1000000,12719224218094708386616823116506015561519,1600000000000000000000000000000000,406772177,50,297485445905291613383176883493984438481,1600000000000000000000000000000000,0.9771458799048088,True
92,278,8301473,1000000,12719224218094708386616823116506015561519,1600000000000000000000000000000000,406772177,50,297485445905291613383176883493984438481,1600000000000000000000000000000000,0.9771458799048088,True
93,285,11906090,1000000,8907271124999999506252146999,781250000000000000000,58339841,5,208329031250000493747853001,781250000000000000000,0.9771458787486239,True
94,286,11906090,1000000,8907271124999999506252146999,781250000000000000000,58339841,5,208329031250000493747853001,781250000000000000000,0.9771458787486239,True
95,287,11906090,1000000,8907271124999999506252146999,781250000000000000000,58339841,5,208329031250000493747853001,781250000000000000000,0.9771458787486239,True
96,294,18759738,1000000,4491095191012186655961697186502221498118961,250000000000000000000000000000000000,459613581,25,105040618987813344038302813497778501881039,250000000000000000000000000000000000,0.9771458844276811,True
97,295,18759738,1000000,4491095191012186655961697186502221498118961,250000000000000000000000000000000000,459613581,25,105040618987813344038302813497778501881039,250000000000000000000000000000000000,0.9771458844276811,True
98,296,18759738,1000000,4491095191012186655961697186502221498118961,250000000000000000000000000000000000,459613581,25,105040618987813344038302813497778501881039,250000000000000000000000000000000000,0.9771458844276811,True
99,303,43037014,1000000,824247453488841662413171015105050728347443,20000000000000000000000000000000000,1054406843,25,19278020911158337586828984894949271652557,20000000000000000000000000000000000,0.9771458936378054,True
100,304,43037014,1000000,824247453488841662413171015105050728347443,20000000000000000000000000000000000,1054406843,25,19278020911158337586828984894949271652557,20000000000000000000000000000000000,0.9771458936378054,True
101,305,43037014,1000000,824247453488841662413171015105050728347443,20000000000000000000000000000000000,1054406843,25,19278020911158337586828984894949271652557,20000000000000000000000000000000000,0.9771458936378054,True
102,312,2280656,1000000,853110374999999952710385693,390625000000000000000,55876072,25,19953250000000047289614307,390625000000000000000,0.9771457091686759,True
103,313,2280656,1000000,853110374999999952710385693,390625000000000000000,55876072,25,19953250000000047289614307,390625000000000000000,0.9771457091686759,True
104,314,2280656,1000000,853110374999999952710385693,390625000000000000000,55876072,25,19953250000000047289614307,390625000000000000000,0.9771457091686759,True
105,321,175483114,1000000,21005394052834194133445655645065060402540469,125000000000000000000000000000000000,4299336293,25,491287412165805866554344354934939597459531,125000000000000000000000000000000000,0.9771458951482488,True
106,322,175483114,1000000,21005394052834194133445655645065060402540469,125000000000000000000000000000000000,4299336293,25,491287412165805866554344354934939597459531,125000000000000000000000000000000000,0.9771458951482488,True
107,323,175483114,1000000,21005394052834194133445655645065060402540469,125000000000000000000000000000000000,4299336293,25,491287412165805866554344354934939597459531,125000000000000000000000000000000000,0.9771458951482488,True
108,330,8641886,1000000,662039666049559954201733791913855643095961,80000000000000000000000000000000000,211726207,25,15484196350440045798266208086144356904039,80000000000000000000000000000000000,0.9771459025877107,True
109,331,8641886,1000000,662039666049559954201733791913855643095961,80000000000000000000000000000000000,211726207,25,15484196350440045798266208086144356904039,80000000000000000000000000000000000,0.9771459025877107,True
110,332,8641886,1000000,662039666049559954201733791913855643095961,80000000000000000000000000000000000,211726207,25,15484196350440045798266208086144356904039,80000000000000000000000000000000000,0.9771459025877107,True
111,339,5493405,1000000,4109766124999999772187444159,781250000000000000000,53835369,10,96122078125000227812555841,781250000000000000000,0.9771458313957131,True
112,340,5493405,1000000,4109766124999999772187444159,781250000000000000000,53835369,10,96122078125000227812555841,781250000000000000000,0.9771458313957131,True
113,341,5493405,1000000,4109766124999999772187444159,781250000000000000000,53835369,10,96122078125000227812555841,781250000000000000000,0.9771458313957131,True
114,348,4091085,1000000,979408954846748392783767540137413650115503,250000000000000000000000000000000000,40092633,10,22906870153251607216232459862586349884497,250000000000000000000000000000000000,0.9771460555825788,True
115,349,4091085,1000000,979408954846748392783767540137413650115503,250000000000000000000000000000000000,40092633,10,22906870153251607216232459862586349884497,250000000000000000000000000000000000,0.9771460555825788,True
116,350,4091085,1000000,979408954846748392783767540137413650115503,250000000000000000000000000000000000,40092633,10,22906870153251607216232459862586349884497,250000000000000000000000000000000000,0.9771460555825788,True
117,357,13891364,1000000,1064192913260383753441689199840866290386503,80000000000000000000000000000000000,340338418,25,24890024339616246558310800159133709613497,80000000000000000000000000000000000,0.9771458871677247,True
118,358,13891364,1000000,1064192913260383753441689199840866290386503,80000000000000000000000000000000000,340338418,25,24890024339616246558310800159133709613497,80000000000000000000000000000000000,0.9771458871677247,True
119,359,13891364,1000000,1064192913260383753441689199840866290386503,80000000000000000000000000000000000,340338418,25,24890024339616246558310800159133709613497,80000000000000000000000000000000000,0.9771458871677247,True
120,366,3160210,1000000,2364239124999999868945496823,781250000000000000000,15485029,5,55296656250000131054503177,781250000000000000000,0.9771457580092359,True
121,367,3160210,1000000,2364239124999999868945496823,781250000000000000000,15485029,5,55296656250000131054503177,781250000000000000000,0.9771457580092359,True
122,368,3160210,1000000,2364239124999999868945496823,781250000000000000000,15485029,5,55296656250000131054503177,781250000000000000000,0.9771457580092359,True
123,375,35740162,1000000,427811073022836267014200752042299019645507,12500000000000000000000000000000000,875633969,25,10005911477163732985799247957700980354493,12500000000000000000000000000000000,0.977145903810491,True
124,376,35740162,1000000,427811073022836267014200752042299019645507,12500000000000000000000000000000000,875633969,25,10005911477163732985799247957700980354493,12500000000000000000000000000000000,0.977145903810491,True
125,377,35740162,1000000,427811073022836267014200752042299019645507,12500000000000000000000000000000000,875633969,25,10005911477163732985799247957700980354493,12500000000000000000000000000000000,0.977145903810491,True
126,384,19058435,1000000,1460033118787726928047810482046450226775927,80000000000000000000000000000000000,186772663,10,34148185212273071952189517953549773224073,80000000000000000000000000000000000,0.9771458891094028,True
