core_local_id,state_id,state,residue_mod_9,bucket,integer_weight_over_D,rational_weight_decimal,lhs_wM_decimal,rhs_1_plus_delta_w_decimal,ratio_lhs_over_rhs,passes
31,97,d5:r32:peven:b1,5,1,3100,3.099999999999999891e-03,3.224201512662303124e-03,3.131000000000000102e-03,1.029767330776845347e+00,yes
32,98,d5:r32:peven:b2,5,2,3664,3.664000000000000156e-03,3.810185185185184682e-03,3.700640000000000266e-03,1.029601686515084991e+00,yes
33,105,d5:r35:podd:b0,8,0,5581,5.581000000000000023e-03,5.803562722792145537e-03,5.636809999999999911e-03,1.029582817727073607e+00,yes
34,106,d5:r35:peven:b1,8,1,3100,3.099999999999999891e-03,3.224201512662303124e-03,3.131000000000000102e-03,1.029767330776845347e+00,yes
35,107,d5:r35:peven:b2,8,2,3664,3.664000000000000156e-03,3.810185185185184682e-03,3.700640000000000266e-03,1.029601686515084991e+00,yes
36,114,d5:r38:podd:b0,2,0,5581,5.581000000000000023e-03,5.803562722792145537e-03,5.636809999999999911e-03,1.029582817727073607e+00,yes
37,115,d5:r38:peven:b1,2,1,3100,3.099999999999999891e-03,3.224201512662303124e-03,3.131000000000000102e-03,1.029767330776845347e+00,yes
38,116,d5:r38:peven:b2,2,2,3664,3.664000000000000156e-03,3.810185185185184682e-03,3.700640000000000266e-03,1.029601686515084991e+00,yes
39,123,d5:r41:podd:b0,5,0,5581,5.581000000000000023e-03,5.803562722792145537e-03,5.636809999999999911e-03,1.029582817727073607e+00,yes
40,124,d5:r41:peven:b1,5,1,3100,3.099999999999999891e-03,3.224201512662303124e-03,3.131000000000000102e-03,1.029767330776845347e+00,yes
41,125,d5:r41:peven:b2,5,2,3664,3.664000000000000156e-03,3.810185185185184682e-03,3.700640000000000266e-03,1.029601686515084991e+00,yes
42,132,d5:r44:podd:b0,8,0,5581,5.581000000000000023e-03,5.803562722792145537e-03,5.636809999999999911e-03,1.029582817727073607e+00,yes
43,133,d5:r44:peven:b1,8,1,3100,3.099999999999999891e-03,3.224201512662303124e-03,3.131000000000000102e-03,1.029767330776845347e+00,yes
44,134,d5:r44:peven:b2,8,2,3664,3.664000000000000156e-03,3.810185185185184682e-03,3.700640000000000266e-03,1.029601686515084991e+00,yes
45,141,d5:r47:podd:b0,2,0,5581,5.581000000000000023e-03,5.803562722792145537e-03,5.636809999999999911e-03,1.029582817727073607e+00,yes
46,142,d5:r47:peven:b1,2,1,3100,3.099999999999999891e-03,3.224201512662303124e-03,3.131000000000000102e-03,1.029767330776845347e+00,yes
47,143,d5:r47:peven:b2,2,2,3664,3.664000000000000156e-03,3.810185185185184682e-03,3.700640000000000266e-03,1.029601686515084991e+00,yes
48,150,d5:r50:podd:b0,5,0,5581,5.581000000000000023e-03,5.803562722792145537e-03,5.636809999999999911e-03,1.029582817727073607e+00,yes
49,151,d5:r50:peven:b1,5,1,3100,3.099999999999999891e-03,3.224201512662303124e-03,3.131000000000000102e-03,1.029767330776845347e+00,yes
50,152,d5:r50:peven:b2,5,2,3664,3.664000000000000156e-03,3.810185185185184682e-03,3.700640000000000266e-03,1.029601686515084991e+00,yes
51,159,d5:r53:podd:b0,8,0,5581,5.581000000000000023e-03,5.803562722792145537e-03,5.636809999999999911e-03,1.029582817727073607e+00,yes
52,160,d5:r53:peven:b1,8,1,3100,3.099999999999999891e-03,3.224201512662303124e-03,3.131000000000000102e-03,1.029767330776845347e+00,yes
53,161,d5:r53:peven:b2,8,2,3664,3.664000000000000156e-03,3.810185185185184682e-03,3.700640000000000266e-03,1.029601686515084991e+00,yes
54,168,d5:r56:podd:b0,2,0,5581,5.581000000000000023e-03,5.803562722792145537e-03,5.636809999999999911e-03,1.029582817727073607e+00,yes
55,169,d5:r56:peven:b1,2,1,3100,3.099999999999999891e-03,3.224201512662303124e-03,3.131000000000000102e-03,1.029767330776845347e+00,yes
56,170,d5:r56:peven:b2,2,2,3664,3.664000000000000156e-03,3.810185185185184682e-03,3.700640000000000266e-03,1.029601686515084991e+00,yes
57,177,d5:r59:podd:b0,5,0,5581,5.581000000000000023e-03,5.803562722792145537e-03,5.636809999999999911e-03,1.029582817727073607e+00,yes
58,178,d5:r59:peven:b1,5,1,3100,3.099999999999999891e-03,3.224201512662303124e-03,3.131000000000000102e-03,1.029767330776845347e+00,yes
59,179,d5:r59:peven:b2,5,2,3664,3.664000000000000156e-03,3.810185185185184682e-03,3.700640000000000266e-03,1.029601686515084991e+00,yes
60,186,d5:r62:podd:b0,8,0,5581,5.581000000000000023e-03,5.803562722792145537e-03,5.636809999999999911e-03,1.029582817727073607e+00,yes
61,187,d5:r62:peven:b1,8,1,3100,3.099999999999999891e-03,3.224201512662303124e-03,3.131000000000000102e-03,1.029767330776845347e+00,yes
62,188,d5:r62:peven:b2,8,2,3664,3.664000000000000156e-03,3.810185185185184682e-03,3.700640000000000266e-03,1.029601686515084991e+00,yes
63,195,d5:r65:podd:b0,2,0,5581,5.581000000000000023e-03,5.803562722792145537e-03,5.636809999999999911e-03,1.029582817727073607e+00,yes
64,196,d5:r65:peven:b1,2,1,3100,3.099999999999999891e-03,3.224201512662303124e-03,3.131000000000000102e-03,1.029767330776845347e+00,yes
65,197,d5:r65:peven:b2,2,2,3664,3.664000000000000156e-03,3.810185185185184682e-03,3.700640000000000266e-03,1.029601686515084991e+00,yes
66,204,d5:r68:podd:b0,5,0,5581,5.581000000000000023e-03,5.803562722792145537e-03,5.636809999999999911e-03,1.029582817727073607e+00,yes
67,205,d5:r68:peven:b1,5,1,3100,3.099999999999999891e-03,3.224201512662303124e-03,3.131000000000000102e-03,1.029767330776845347e+00,yes
68,206,d5:r68:peven:b2,5,2,3664,3.664000000000000156e-03,3.810185185185184682e-03,3.700640000000000266e-03,1.029601686515084991e+00,yes
69,213,d5:r71:podd:b0,8,0,5581,5.581000000000000023e-03,5.803562722792145537e-03,5.636809999999999911e-03,1.029582817727073607e+00,yes
70,214,d5:r71:peven:b1,8,1,3100,3.099999999999999891e-03,3.224201512662303124e-03,3.131000000000000102e-03,1.029767330776845347e+00,yes
71,215,d5:r71:peven:b2,8,2,3664,3.664000000000000156e-03,3.810185185185184682e-03,3.700640000000000266e-03,1.029601686515084991e+00,yes
72,222,d5:r74:podd:b0,2,0,5581,5.581000000000000023e-03,5.803562722792145537e-03,5.636809999999999911e-03,1.029582817727073607e+00,yes
73,223,d5:r74:peven:b1,2,1,3100,3.099999999999999891e-03,3.224201512662303124e-03,3.131000000000000102e-03,1.029767330776845347e+00,yes
74,224,d5:r74:peven:b2,2,2,3664,3.664000000000000156e-03,3.810185185185184682e-03,3.700640000000000266e-03,1.029601686515084991e+00,yes
75,231,d5:r77:podd:b0,5,0,5581,5.581000000000000023e-03,5.803562722792145537e-03,5.636809999999999911e-03,1.029582817727073607e+00,yes
76,232,d5:r77:peven:b1,5,1,3100,3.099999999999999891e-03,3.224201512662303124e-03,3.131000000000000102e-03,1.029767330776845347e+00,yes
77,233,d5:r77:peven:b2,5,2,3664,3.664000000000000156e-03,3.810185185185184682e-03,3.700640000000000266e-03,1.029601686515084991e+00,yes
